network_id,role,site_id,variable,information_group,target_start,request_start,request_end,n_target_calendar_days,n_expected_provider_days,n_provider_rows,n_provider_eligible_rows,provider_row_coverage,eligible_coverage,pre_power_archive_days,source_status
huc8_04060103,development,04124000,Ta,M,1996-10-01,1996-10-01,2025-12-02,10655,10655,10655,10655,1.0,1.0,0,materialized
huc8_04060103,development,04124000,P,M,1996-10-01,1996-10-01,2025-12-02,10655,10655,10655,10655,1.0,1.0,0,materialized
huc8_04060103,development,04124000,W,M,1996-10-01,1996-10-01,2025-12-02,10655,10655,10655,10655,1.0,1.0,0,materialized
huc8_04060103,development,04124000,RH,M,1996-10-01,1996-10-01,2025-12-02,10655,10655,10655,10655,1.0,1.0,0,materialized
huc8_04060103,development,04124000,Rs,M,1996-10-01,1996-10-01,2025-12-02,10655,10655,10655,10655,1.0,1.0,0,materialized
huc8_04060103,development,04124000,F,H,1996-10-01,1996-10-01,2025-12-02,10655,10655,0,0,0.0,0.0,0,failed_or_unavailable
huc8_04060103,development,04124000,L,H,1996-10-01,1996-10-01,2025-12-02,10655,10655,0,0,0.0,0.0,0,failed_or_unavailable
huc8_04060103,development,04124200,Ta,M,1996-12-01,1996-12-01,2025-12-02,10594,10594,10594,10594,1.0,1.0,0,materialized
huc8_04060103,development,04124200,P,M,1996-12-01,1996-12-01,2025-12-02,10594,10594,10594,10594,1.0,1.0,0,materialized
huc8_04060103,development,04124200,W,M,1996-12-01,1996-12-01,2025-12-02,10594,10594,10594,10594,1.0,1.0,0,materialized
huc8_04060103,development,04124200,RH,M,1996-12-01,1996-12-01,2025-12-02,10594,10594,10594,10594,1.0,1.0,0,materialized
huc8_04060103,development,04124200,Rs,M,1996-12-01,1996-12-01,2025-12-02,10594,10594,10594,10594,1.0,1.0,0,materialized
huc8_04060103,development,04124200,F,H,1996-12-01,1996-12-01,2025-12-02,10594,10594,0,0,0.0,0.0,0,failed_or_unavailable
huc8_04060103,development,04124200,L,H,1996-12-01,1996-12-01,2025-12-02,10594,10594,0,0,0.0,0.0,0,failed_or_unavailable
huc8_04060103,development,04125460,Ta,M,1996-12-01,1996-12-01,2025-12-02,10594,10594,10594,10594,1.0,1.0,0,materialized
huc8_04060103,development,04125460,P,M,1996-12-01,1996-12-01,2025-12-02,10594,10594,10594,10594,1.0,1.0,0,materialized
huc8_04060103,development,04125460,W,M,1996-12-01,1996-12-01,2025-12-02,10594,10594,10594,10594,1.0,1.0,0,materialized
huc8_04060103,development,04125460,RH,M,1996-12-01,1996-12-01,2025-12-02,10594,10594,10594,10594,1.0,1.0,0,materialized
huc8_04060103,development,04125460,Rs,M,1996-12-01,1996-12-01,2025-12-02,10594,10594,10594,10594,1.0,1.0,0,materialized
huc8_04060103,development,04125460,F,H,1996-12-01,1996-12-01,2025-12-02,10594,10594,0,0,0.0,0.0,0,failed_or_unavailable
huc8_04060103,development,04125460,L,H,1996-12-01,1996-12-01,2025-12-02,10594,10594,0,0,0.0,0.0,0,failed_or_unavailable
huc8_04060103,development,04125550,Ta,M,1996-10-01,1996-10-01,2025-12-01,10654,10654,10654,10654,1.0,1.0,0,materialized
huc8_04060103,development,04125550,P,M,1996-10-01,1996-10-01,2025-12-01,10654,10654,10654,10654,1.0,1.0,0,materialized
huc8_04060103,development,04125550,W,M,1996-10-01,1996-10-01,2025-12-01,10654,10654,10654,10654,1.0,1.0,0,materialized
huc8_04060103,development,04125550,RH,M,1996-10-01,1996-10-01,2025-12-01,10654,10654,10654,10654,1.0,1.0,0,materialized
huc8_04060103,development,04125550,Rs,M,1996-10-01,1996-10-01,2025-12-01,10654,10654,10654,10654,1.0,1.0,0,materialized
huc8_04060103,development,04125550,F,H,1996-10-01,1996-10-01,2025-12-01,10654,10654,0,0,0.0,0.0,0,failed_or_unavailable
huc8_04060103,development,04125550,L,H,1996-10-01,1996-10-01,2025-12-01,10654,10654,0,0,0.0,0.0,0,failed_or_unavailable
