network_id,role,site_id,variable,information_group,target_start,request_start,request_end,n_target_calendar_days,n_expected_provider_days,n_provider_rows,n_provider_eligible_rows,provider_row_coverage,eligible_coverage,pre_power_archive_days,source_status
huc8_05040001,development,03119341,Ta,M,2015-06-26,2015-06-26,2025-11-02,3783,3783,3783,3783,1.0,1.0,0,materialized
huc8_05040001,development,03119341,P,M,2015-06-26,2015-06-26,2025-11-02,3783,3783,3783,3783,1.0,1.0,0,materialized
huc8_05040001,development,03119341,W,M,2015-06-26,2015-06-26,2025-11-02,3783,3783,3783,3783,1.0,1.0,0,materialized
huc8_05040001,development,03119341,RH,M,2015-06-26,2015-06-26,2025-11-02,3783,3783,3783,3783,1.0,1.0,0,materialized
huc8_05040001,development,03119341,Rs,M,2015-06-26,2015-06-26,2025-11-02,3783,3783,3783,3783,1.0,1.0,0,materialized
huc8_05040001,development,03119341,F,H,2015-06-26,2015-06-26,2025-11-02,3783,3783,0,0,0.0,0.0,0,failed_or_unavailable
huc8_05040001,development,03119341,L,H,2015-06-26,2015-06-26,2025-11-02,3783,3783,2946,2946,0.7787470261697066,0.7787470261697066,0,materialized
huc8_05040001,development,03119971,Ta,M,2015-06-22,2015-06-22,2025-11-17,3802,3802,3802,3802,1.0,1.0,0,materialized
huc8_05040001,development,03119971,P,M,2015-06-22,2015-06-22,2025-11-17,3802,3802,3802,3802,1.0,1.0,0,materialized
huc8_05040001,development,03119971,W,M,2015-06-22,2015-06-22,2025-11-17,3802,3802,3802,3802,1.0,1.0,0,materialized
huc8_05040001,development,03119971,RH,M,2015-06-22,2015-06-22,2025-11-17,3802,3802,3802,3802,1.0,1.0,0,materialized
huc8_05040001,development,03119971,Rs,M,2015-06-22,2015-06-22,2025-11-17,3802,3802,3802,3802,1.0,1.0,0,materialized
huc8_05040001,development,03119971,F,H,2015-06-22,2015-06-22,2025-11-17,3802,3802,0,0,0.0,0.0,0,failed_or_unavailable
huc8_05040001,development,03119971,L,H,2015-06-22,2015-06-22,2025-11-17,3802,3802,2922,2922,0.7685428721725408,0.7685428721725408,0,materialized
huc8_05040001,development,03119979,Ta,M,2015-06-22,2015-06-22,2025-11-17,3802,3802,3802,3802,1.0,1.0,0,materialized
huc8_05040001,development,03119979,P,M,2015-06-22,2015-06-22,2025-11-17,3802,3802,3802,3802,1.0,1.0,0,materialized
huc8_05040001,development,03119979,W,M,2015-06-22,2015-06-22,2025-11-17,3802,3802,3802,3802,1.0,1.0,0,materialized
huc8_05040001,development,03119979,RH,M,2015-06-22,2015-06-22,2025-11-17,3802,3802,3802,3802,1.0,1.0,0,materialized
huc8_05040001,development,03119979,Rs,M,2015-06-22,2015-06-22,2025-11-17,3802,3802,3802,3802,1.0,1.0,0,materialized
huc8_05040001,development,03119979,F,H,2015-06-22,2015-06-22,2025-11-17,3802,3802,0,0,0.0,0.0,0,failed_or_unavailable
huc8_05040001,development,03119979,L,H,2015-06-22,2015-06-22,2025-11-17,3802,3802,2880,2880,0.7574960547080484,0.7574960547080484,0,materialized
huc8_05040001,development,03120820,Ta,M,2015-06-22,2015-06-22,2025-11-19,3804,3804,3804,3804,1.0,1.0,0,materialized
huc8_05040001,development,03120820,P,M,2015-06-22,2015-06-22,2025-11-19,3804,3804,3804,3804,1.0,1.0,0,materialized
huc8_05040001,development,03120820,W,M,2015-06-22,2015-06-22,2025-11-19,3804,3804,3804,3804,1.0,1.0,0,materialized
huc8_05040001,development,03120820,RH,M,2015-06-22,2015-06-22,2025-11-19,3804,3804,3804,3804,1.0,1.0,0,materialized
huc8_05040001,development,03120820,Rs,M,2015-06-22,2015-06-22,2025-11-19,3804,3804,3804,3804,1.0,1.0,0,materialized
huc8_05040001,development,03120820,F,H,2015-06-22,2015-06-22,2025-11-19,3804,3804,0,0,0.0,0.0,0,failed_or_unavailable
huc8_05040001,development,03120820,L,H,2015-06-22,2015-06-22,2025-11-19,3804,3804,2964,2964,0.7791798107255521,0.7791798107255521,0,materialized
huc8_05040001,development,03120869,Ta,M,2015-07-01,2015-07-01,2025-11-19,3795,3795,3795,3795,1.0,1.0,0,materialized
huc8_05040001,development,03120869,P,M,2015-07-01,2015-07-01,2025-11-19,3795,3795,3795,3795,1.0,1.0,0,materialized
huc8_05040001,development,03120869,W,M,2015-07-01,2015-07-01,2025-11-19,3795,3795,3795,3795,1.0,1.0,0,materialized
huc8_05040001,development,03120869,RH,M,2015-07-01,2015-07-01,2025-11-19,3795,3795,3795,3795,1.0,1.0,0,materialized
huc8_05040001,development,03120869,Rs,M,2015-07-01,2015-07-01,2025-11-19,3795,3795,3795,3795,1.0,1.0,0,materialized
huc8_05040001,development,03120869,F,H,2015-07-01,2015-07-01,2025-11-19,3795,3795,0,0,0.0,0.0,0,failed_or_unavailable
huc8_05040001,development,03120869,L,H,2015-07-01,2015-07-01,2025-11-19,3795,3795,2995,2995,0.7891963109354414,0.7891963109354414,0,materialized
huc8_05040001,development,03120961,Ta,M,2015-06-22,2015-06-22,2025-11-19,3804,3804,3804,3804,1.0,1.0,0,materialized
huc8_05040001,development,03120961,P,M,2015-06-22,2015-06-22,2025-11-19,3804,3804,3804,3804,1.0,1.0,0,materialized
huc8_05040001,development,03120961,W,M,2015-06-22,2015-06-22,2025-11-19,3804,3804,3804,3804,1.0,1.0,0,materialized
huc8_05040001,development,03120961,RH,M,2015-06-22,2015-06-22,2025-11-19,3804,3804,3804,3804,1.0,1.0,0,materialized
huc8_05040001,development,03120961,Rs,M,2015-06-22,2015-06-22,2025-11-19,3804,3804,3804,3804,1.0,1.0,0,materialized
huc8_05040001,development,03120961,F,H,2015-06-22,2015-06-22,2025-11-19,3804,3804,0,0,0.0,0.0,0,failed_or_unavailable
huc8_05040001,development,03120961,L,H,2015-06-22,2015-06-22,2025-11-19,3804,3804,2773,2735,0.7289695057833859,0.7189800210304942,0,materialized
huc8_05040001,development,03125338,Ta,M,2015-06-30,2015-06-30,2025-11-16,3793,3793,3793,3793,1.0,1.0,0,materialized
huc8_05040001,development,03125338,P,M,2015-06-30,2015-06-30,2025-11-16,3793,3793,3793,3793,1.0,1.0,0,materialized
huc8_05040001,development,03125338,W,M,2015-06-30,2015-06-30,2025-11-16,3793,3793,3793,3793,1.0,1.0,0,materialized
huc8_05040001,development,03125338,RH,M,2015-06-30,2015-06-30,2025-11-16,3793,3793,3793,3793,1.0,1.0,0,materialized
huc8_05040001,development,03125338,Rs,M,2015-06-30,2015-06-30,2025-11-16,3793,3793,3793,3793,1.0,1.0,0,materialized
huc8_05040001,development,03125338,F,H,2015-06-30,2015-06-30,2025-11-16,3793,3793,365,364,0.09622989717901398,0.09596625362509886,0,materialized
