network_id,role,n_sites_planned,network_plan_sha256,materialization_status,n_auxiliary_rows,n_source_failures_or_unavailable,n_attempt_archives
huc8_01070004,development,3,dbcc6c7531b2dfa3fb71ee1d500d45670de3f1b89cbe3cca4847d7eeea30124a,not_materialized,0,0,0
huc8_01090001,development,9,bf0627a9dab3a9eb256dad9c0dbb94ae6540ea3a92e01d8faccf44b86768bfea,not_materialized,0,0,0
huc8_01090004,development,9,5f28d16382d5f3387c39fa36627a3a43dd369235b63d24a9612147f4bc446ae1,not_materialized,0,0,0
huc8_02020006,development,3,1041d22fc545cc8ecf60635805c784a68e3d3f256c8c48a17d17013cb514915d,not_materialized,0,0,0
huc8_02040103,development,3,b4bd4c7323018864341c26717813486c893ee2b668aafa8eedd52ffb35ea4d22,materialized_partial,205044,3,0
huc8_02040106,development,5,31698977e3fc5d3895752d73de204be72fec08507524f994806ca144c3af8b50,not_materialized,0,0,0
huc8_02040203,development,3,c2d114da443a770d6bdb2133e881561a61c027e752d63e319e396f4cefb4dbee,not_materialized,0,0,0
huc8_02040205,development,8,f6822360e14290a1c411715270bd424f3f04d538ca494bba17de119f51237cc6,not_materialized,0,0,0
huc8_02050104,development,3,770d0386e3db1acd46d73024f05aa93e08b4aaab04a8927cf112ac20317324a6,not_materialized,0,0,0
huc8_02050305,development,4,d34dc3d88d6f3a364379c488a8d294bb728825d07de1819e51ecb74e40c75362,not_materialized,0,0,0
huc8_02060003,development,4,8a0fb92a7fb50b8d3e1f343bb1f4db6dbdfbffe1eb64fd4960c8b5a2150b7096,not_materialized,0,0,0
huc8_02070002,development,3,24323efc21e960c3e3e1cba9c34c29abeff444b1756bf20a034841a2a236d3c0,not_materialized,0,0,0
huc8_02070008,development,3,e3d3b2f043d74ef502fd7bcebcf3f7a51842541aa89ddf8093aaa76ce8deb1ab,not_materialized,0,0,0
huc8_02070010,development,4,420a3eacc7975d32cfa0bdd68ba7952db7dc56c23559f9445913d9c537b9b1d4,not_materialized,0,0,0
huc8_02080201,development,7,e94bd24a12a226c551cd0701786329ba5af9cac406e6952ee5d0027a26dc0f78,not_materialized,0,0,0
huc8_03070101,development,3,71a998d6d67e06abcd3663fb2e05a34404ef18bc438c78c716f3dbe2913f2b45,not_materialized,0,0,0
huc8_04020105,development,3,7eda510b6ec7d4d533780b645717fa8b7312323c6b3cc9210cece046649b955b,not_materialized,0,0,0
huc8_04040003,development,3,261eb452e84bb494f51de2868bb9eb06336b0929836f7ee9d8a902ee80bb03b3,not_materialized,0,0,0
huc8_04060102,development,5,4628cd07140699ae2381d971a4b485dbfe058baea4dbb470ac71dc47f3e0cbfc,not_materialized,0,0,0
huc8_04060103,development,4,6da4031f69555ba0009a6b87b875884012ce451331204fe3eebbf407f40e8a19,not_materialized,0,0,0
huc8_04070007,development,8,75a58fe00e06e18b6dade61ce2e6d4d52190a94e0c30057c7d75fdfa8aa4c822,not_materialized,0,0,0
huc8_04140101,development,3,e90798d62ea2df49390d4a4bd66d5ace1140c14733eac22568442e84d222adf6,not_materialized,0,0,0
huc8_05010005,development,4,9ab018e0154ae8de7bfac0fc09ed5020a1a71af6c5600ed11c03871aed52981a,not_materialized,0,0,0
huc8_05010006,development,5,023ebf64491f7cf7a60b8814c8289db2ec2a2bbb5cb84e929feafc009ee0650c,not_materialized,0,0,0
huc8_05010007,development,4,2ccbaaed6eb0ca6b18ee2d02a1ee5b77ff0980efba754a101514b1ee8c59782c,not_materialized,0,0,0
huc8_05020001,development,3,5aaace108ea3f18afc32c2c8f688d9580fb996debc9cad2b5275f7efa73d9416,not_materialized,0,0,0
huc8_05020005,development,4,a7364f8ceb601eb8ebdb91d1196bb0077696cf01b7f582b6ab79bb0600881606,not_materialized,0,0,0
huc8_05020006,development,5,21093af4d9584dd2fc4ed96e0b4d2f37399e87013ddb5bf2c00858153552f92e,not_materialized,0,0,0
huc8_05030102,development,5,dfd2ee1163ae85c2dc4f3e4548d22d61f74f855f0836b46a6dbe95f4033c97cf,not_materialized,0,0,0
huc8_05040001,development,11,5959a0712a014c3f3deac1b142175f153c8d85690558977bff3f4c481f727fa3,not_materialized,0,0,0
huc8_05040005,development,3,4807d98375bf159163ca881eb26e2a27cf6fdd86afce40c7305299f681c29f01,not_materialized,0,0,0
huc8_05090203,development,3,463bd78def0d1112d5915ba5a6142dfa0562bc97293ca9fe7318ffc50363294a,not_materialized,0,0,0
huc8_05110001,development,3,dc565076ef548035c6505ca19b095648f3aeebc8ae432b1d02254b3ad8fef463,not_materialized,0,0,0
huc8_05120201,development,5,e2a639ac2c46baa7d9764e9d91fbc29a3f164442d742e8ed698cb9a8b3e03667,not_materialized,0,0,0
huc8_05130202,development,3,bc16f7b2ccf360afdf5481e2ace8327bee8176218cd00f711ac6bb1a987fab8c,not_materialized,0,0,0
huc8_05140101,development,8,8a7947c35a5a9ba6f736f380487d9605ee71fbb2c3e9b474d2e7a28b453ef3d3,not_materialized,0,0,0
huc8_05140102,development,13,153f2c5a3ca346d0afa0b8ac4d749d6aa2c0332b041fed4f69e9a042224d586e,not_materialized,0,0,0
huc8_07040006,development,4,c3db6fc8778eaae8d38377400ce10112686af0b39f0f78e0a8ccfb4c25100d7d,not_materialized,0,0,0
huc8_07070005,development,3,e98ef26138a4e1effdb978866f1c1b815d164c505773ba44234deef46d8fde8d,not_materialized,0,0,0
huc8_07120001,development,9,a3274cadafa85315796cf4409f0bc7f9e7208bdb325d902800cced4eda774874,not_materialized,0,0,0
