site_id,n_raw,n_sentinel,n_out_of_range,n_provisional_dropped,n_constant_run_days,n_jump,qualified_years,verdict,notes,network_id,eligible_for_network,exclusion_reason
01095220,10304,0,0,134,18,0,27,accepted_with_flags,suspect_constant_run,huc8_01070004,True,
01095375,10416,0,0,118,144,0,28,accepted_with_flags,suspect_constant_run,huc8_01070004,True,
01095434,4951,0,0,132,0,0,11,accepted,,huc8_01070004,True,
01192500,205,0,0,0,0,0,0,accepted,,huc8_01080205,False,qualified_years_lt_6
01193050,4855,0,0,0,45,0,11,accepted_with_flags,suspect_constant_run,huc8_01080205,True,
01193500,7011,0,0,0,199,0,15,accepted_with_flags,suspect_constant_run,huc8_01080205,True,
01104370,6051,0,0,458,0,0,15,accepted,,huc8_01090001,True,
01104405,5521,12,0,389,20,0,11,rejected_sentinel,suspect_constant_run,huc8_01090001,False,rejected_sentinel
01104410,4827,0,0,915,0,0,8,accepted,,huc8_01090001,True,
01104415,8024,0,0,271,0,0,19,accepted_with_flags,estimated_approved,huc8_01090001,True,
01104420,5142,0,0,409,0,0,11,accepted,,huc8_01090001,True,
01104430,9960,0,0,760,0,0,24,accepted,,huc8_01090001,True,
01104453,6211,0,0,417,0,0,13,accepted,,huc8_01090001,True,
01104455,8237,0,0,1086,0,0,18,accepted_with_flags,estimated_approved,huc8_01090001,True,
01104460,8919,0,0,648,0,0,21,accepted,,huc8_01090001,True,
01104475,8232,0,0,752,0,0,20,accepted_with_flags,estimated_approved,huc8_01090001,True,
01115098,8512,0,0,260,0,0,22,accepted_with_flags,estimated_approved,huc8_01090004,True,
01115110,7948,0,0,244,197,0,19,accepted_with_flags,suspect_constant_run,huc8_01090004,True,
01115114,6054,1,0,399,97,0,15,rejected_sentinel,estimated_approved;suspect_constant_run,huc8_01090004,False,rejected_sentinel
01115120,3816,0,0,0,102,0,2,accepted_with_flags,suspect_constant_run,huc8_01090004,False,qualified_years_lt_6
01115170,8389,0,0,489,0,0,19,accepted,,huc8_01090004,True,
01115183,8531,0,0,423,370,0,21,accepted_with_flags,estimated_approved;suspect_constant_run,huc8_01090004,True,
01115184,5241,0,0,1,0,0,13,accepted_with_flags,estimated_approved,huc8_01090004,True,
