dimension,level,candidate_count,qualified_count,excluded_count,qualification_rate
provider,foen,11,3,8,0.2727272727272727
provider,usgs_nwis,166,96,70,0.5783132530120482
locked_role,development,74,47,27,0.6351351351351351
locked_role,historical,2,0,2,0.0
locked_role,never_sealed,18,0,18,0.0
locked_role,sealed,54,32,22,0.5925925925925926
locked_role,validation,29,20,9,0.6896551724137931
climate_band,cold_arid_highland,9,1,8,0.1111111111111111
climate_band,cold_semiarid,11,4,7,0.36363636363636365
climate_band,hot_arid,1,1,0,1.0
climate_band,humid_continental,57,40,17,0.7017543859649122
climate_band,humid_subtropical,41,24,17,0.5853658536585366
climate_band,marine_west_coast,31,18,13,0.5806451612903226
climate_band,mediterranean,5,3,2,0.6
climate_band,not_available,11,3,8,0.2727272727272727
climate_band,subarctic,2,1,1,0.5
climate_band,subtropical_semiarid,4,2,2,0.5
climate_band,unspecified,5,2,3,0.4
size_tertile,T1_small,49,24,25,0.4897959183673469
size_tertile,T2_mid,49,29,20,0.5918367346938775
size_tertile,T3_large,49,43,6,0.8775510204081632
size_tertile,excluded,19,0,19,0.0
size_tertile,not_available,11,3,8,0.2727272727272727
regulation_stratum,not_available,11,3,8,0.2727272727272727
regulation_stratum,regulated,102,56,46,0.5490196078431373
regulation_stratum,unmatched_gages,30,16,14,0.5333333333333333
regulation_stratum,unregulated,34,24,10,0.7058823529411765
