network_id,provider,locked_role,climate_band,size_tertile,regulation_stratum,n_catalog_stations,exclusion_stage,exclusion_reason
foen_aare_aaregebiet,foen,never_sealed,not_available,not_available,not_available,10,role_assignment,locked_role_never_sealed_not_in_inference_corpus
foen_doubs_rhonegebiet,foen,sealed,not_available,not_available,not_available,4,sealed_qc,fewer_than_3_qc_accepted_stations;fewer_than_8_common_300_day_years
foen_emme_aaregebiet,foen,sealed,not_available,not_available,not_available,3,sealed_qc,fewer_than_3_qc_accepted_stations;fewer_than_8_common_300_day_years
foen_inn_inngebiet,foen,sealed,not_available,not_available,not_available,6,sealed_qc,fewer_than_8_common_300_day_years
foen_linth_limmatgebiet,foen,sealed,not_available,not_available,not_available,3,sealed_qc,fewer_than_3_qc_accepted_stations;fewer_than_8_common_300_day_years
foen_simme_aaregebiet,foen,sealed,not_available,not_available,not_available,3,sealed_qc,fewer_than_3_qc_accepted_stations;fewer_than_8_common_300_day_years
foen_thur_rheingebiet,foen,sealed,not_available,not_available,not_available,3,sealed_qc,fewer_than_3_qc_accepted_stations;fewer_than_8_common_300_day_years
foen_ticino_tessingebiet,foen,sealed,not_available,not_available,not_available,4,sealed_qc,fewer_than_3_qc_accepted_stations;fewer_than_8_common_300_day_years
huc8_01080205,usgs_nwis,development,humid_continental,T1_small,regulated,3,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_02030103,usgs_nwis,development,humid_continental,T2_mid,regulated,5,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_02030105,usgs_nwis,development,humid_continental,T2_mid,regulated,4,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_02040101,usgs_nwis,never_sealed,humid_continental,excluded,regulated,7,role_assignment,locked_role_never_sealed_not_in_inference_corpus
huc8_02040102,usgs_nwis,never_sealed,humid_continental,excluded,regulated,3,role_assignment,locked_role_never_sealed_not_in_inference_corpus
huc8_02040104,usgs_nwis,never_sealed,humid_continental,excluded,regulated,8,role_assignment,locked_role_never_sealed_not_in_inference_corpus
huc8_02040202,usgs_nwis,never_sealed,humid_continental,excluded,unregulated,5,role_assignment,locked_role_never_sealed_not_in_inference_corpus
huc8_03010107,usgs_nwis,never_sealed,humid_subtropical,excluded,unmatched_gages,4,role_assignment,locked_role_never_sealed_not_in_inference_corpus
huc8_03040207,usgs_nwis,validation,humid_subtropical,T2_mid,unmatched_gages,4,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_03050101,usgs_nwis,validation,humid_subtropical,T3_large,unregulated,7,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_03050103,usgs_nwis,validation,humid_subtropical,T2_mid,unmatched_gages,4,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_03050112,usgs_nwis,validation,humid_subtropical,T1_small,regulated,3,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_03080101,usgs_nwis,validation,humid_subtropical,T2_mid,regulated,4,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_03110203,usgs_nwis,validation,humid_subtropical,T1_small,unregulated,3,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_03110205,usgs_nwis,never_sealed,humid_subtropical,excluded,regulated,3,role_assignment,locked_role_never_sealed_not_in_inference_corpus
huc8_03110206,usgs_nwis,never_sealed,humid_subtropical,excluded,unregulated,5,role_assignment,locked_role_never_sealed_not_in_inference_corpus
huc8_03130001,usgs_nwis,historical,humid_subtropical,excluded,regulated,28,role_assignment,locked_role_historical_not_in_inference_corpus
huc8_03130002,usgs_nwis,historical,humid_subtropical,excluded,regulated,7,role_assignment,locked_role_historical_not_in_inference_corpus
huc8_03150105,usgs_nwis,development,humid_subtropical,T1_small,regulated,3,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_03150202,usgs_nwis,never_sealed,humid_subtropical,excluded,regulated,5,role_assignment,locked_role_never_sealed_not_in_inference_corpus
huc8_04090004,usgs_nwis,development,humid_continental,T3_large,unregulated,6,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_05010001,usgs_nwis,development,humid_continental,T1_small,regulated,3,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_05020004,usgs_nwis,development,humid_continental,T1_small,unmatched_gages,3,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_05030103,usgs_nwis,never_sealed,humid_continental,excluded,regulated,9,role_assignment,locked_role_never_sealed_not_in_inference_corpus
huc8_05060001,usgs_nwis,development,humid_continental,T2_mid,unregulated,4,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_05100101,usgs_nwis,development,humid_continental,T1_small,regulated,3,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_05100205,usgs_nwis,development,humid_continental,T2_mid,regulated,4,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_05130204,usgs_nwis,development,humid_continental,T2_mid,regulated,4,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_06010106,usgs_nwis,validation,humid_subtropical,T1_small,regulated,3,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_07050002,usgs_nwis,development,humid_continental,T1_small,unmatched_gages,3,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_07100006,usgs_nwis,development,humid_continental,T1_small,regulated,3,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_08030207,usgs_nwis,sealed,unspecified,T2_mid,regulated,4,sealed_qc,fewer_than_3_qc_accepted_stations;fewer_than_8_common_300_day_years
huc8_08080101,usgs_nwis,sealed,unspecified,T1_small,unmatched_gages,3,sealed_qc,fewer_than_8_common_300_day_years
