site_id,n_raw,n_sentinel,n_out_of_range,n_provisional_dropped,n_constant_run_days,n_jump,qualified_years,verdict,notes,network_id,eligible_for_network,exclusion_reason
01192500,205,0,0,0,0,0,0,accepted,,huc8_01080205,False,qualified_years_lt_8
01193050,4855,0,0,0,45,0,11,accepted_with_flags,suspect_constant_run,huc8_01080205,True,
01193500,7011,0,0,0,199,0,15,accepted_with_flags,suspect_constant_run,huc8_01080205,True,
01470779,3195,0,0,56,0,0,8,accepted,,huc8_02040203,True,
01470960,3231,0,0,54,0,0,8,accepted,,huc8_02040203,True,
01472157,4212,0,0,261,66,0,9,accepted_with_flags,suspect_constant_run,huc8_02040203,True,
01473500,4127,0,0,102,0,0,0,accepted,,huc8_02040203,False,qualified_years_lt_8
01516350,3888,0,0,400,101,0,8,accepted_with_flags,suspect_constant_run,huc8_02050104,True,
01518700,6939,0,0,362,110,0,17,accepted_with_flags,suspect_constant_run,huc8_02050104,True,
01520000,6879,0,0,139,219,1,12,accepted_with_flags,suspect_constant_run;suspect_jump,huc8_02050104,True,
01581752,4643,0,0,109,15,0,12,accepted_with_flags,suspect_constant_run,huc8_02060003,True,
01581920,5577,0,0,79,0,0,14,accepted,,huc8_02060003,True,
01585075,3906,0,0,18,0,0,10,accepted,,huc8_02060003,True,
01589290,3796,0,0,95,0,0,10,accepted,,huc8_02060003,True,
01649190,6614,0,0,77,15,0,18,accepted_with_flags,suspect_constant_run,huc8_02070010,True,
01649500,7772,0,0,137,0,0,20,accepted,,huc8_02070010,True,
01654500,4410,0,0,0,0,0,12,accepted,,huc8_02070010,True,
01656903,6292,0,0,0,0,0,17,accepted,,huc8_02070010,True,
02011400,14367,0,0,0,111,0,37,accepted_with_flags,suspect_constant_run,huc8_02080201,True,
02011460,3969,0,0,0,17,0,10,accepted_with_flags,suspect_constant_run,huc8_02080201,True,
02011470,3732,0,0,2,0,0,8,accepted,,huc8_02080201,True,
02011490,3732,0,0,0,0,0,8,accepted,,huc8_02080201,True,
