network_id,role,climate_band,regulation_stratum,size_tertile,site_id,start,end
huc8_01080205,development,humid_continental,regulated,T1_small,01192500,1997-04-25,2017-10-18
huc8_01080205,development,humid_continental,regulated,T1_small,01193050,1995-10-01,2020-09-29
huc8_01080205,development,humid_continental,regulated,T1_small,01193500,1975-03-27,2020-02-04
huc8_02040203,development,humid_continental,regulated,T2_mid,01470779,2017-10-01,2026-08-24
huc8_02040203,development,humid_continental,regulated,T2_mid,01470960,2017-10-01,2026-08-24
huc8_02040203,development,humid_continental,regulated,T2_mid,01472157,1998-11-05,2026-08-24
huc8_02040203,development,humid_continental,regulated,T2_mid,01473500,2012-02-23,2026-08-24
huc8_02050104,development,humid_continental,regulated,T1_small,01516350,2015-10-01,2026-08-24
huc8_02050104,development,humid_continental,regulated,T1_small,01518700,1976-09-27,2026-08-24
huc8_02050104,development,humid_continental,regulated,T1_small,01520000,1972-05-18,2026-08-24
huc8_02060003,development,humid_continental,regulated,T2_mid,01581752,2013-08-30,2026-08-24
huc8_02060003,development,humid_continental,regulated,T2_mid,01581920,2011-03-09,2026-08-24
huc8_02060003,development,humid_continental,regulated,T2_mid,01585075,2015-09-30,2026-08-24
huc8_02060003,development,humid_continental,regulated,T2_mid,01589290,2016-01-16,2026-08-23
huc8_02070010,development,humid_continental,unregulated,T2_mid,01649190,2007-10-01,2026-08-24
huc8_02070010,development,humid_continental,unregulated,T2_mid,01649500,2003-12-18,2026-08-24
huc8_02070010,development,humid_continental,unregulated,T2_mid,01654500,2013-02-08,2026-01-06
huc8_02070010,development,humid_continental,unregulated,T2_mid,01656903,2007-09-30,2025-06-03
huc8_02080201,development,humid_continental,regulated,T3_large,02011400,1978-03-01,2022-02-28
huc8_02080201,development,humid_continental,regulated,T3_large,02011460,1984-10-01,1995-10-02
huc8_02080201,development,humid_continental,regulated,T3_large,02011470,1984-10-01,2022-03-21
huc8_02080201,development,humid_continental,regulated,T3_large,02011490,1984-10-01,1995-10-02
huc8_02080201,development,humid_continental,regulated,T3_large,02011500,1978-06-22,2022-02-28
huc8_02080201,development,humid_continental,regulated,T3_large,02011800,1978-09-20,2003-09-30
huc8_02080201,development,humid_continental,regulated,T3_large,02012800,1978-06-23,2003-09-30
huc8_04090004,development,humid_continental,unregulated,T3_large,04166100,1999-04-14,2026-08-25
huc8_04090004,development,humid_continental,unregulated,T3_large,04166470,1999-04-14,2017-10-31
huc8_04090004,development,humid_continental,unregulated,T3_large,04166500,1999-04-16,2026-08-24
huc8_04090004,development,humid_continental,unregulated,T3_large,04167150,1999-04-15,2017-10-31
