catalog_schema_version,pair_id,anchor_id,event_id,control_id,station_id,target,event_type,season,episode_length,raw_episode_length,window_length,episode_component_count,raw_episode_start_index,raw_episode_end_index,raw_episode_start_date,raw_episode_end_date,window_start_index,window_end_index,window_center_index,window_start_date,window_end_date,window_center_date,event_start_index,event_end_index,event_center_index,event_start_date,event_end_date,event_center_date,event_peak_index,event_peak_date,event_peak_value,event_min_index,event_min_date,event_min_value,event_intensity,rising_phase_start_index,rising_phase_end_index,rising_phase_start_date,rising_phase_end_date,peak_phase_start_index,peak_phase_end_index,peak_phase_start_date,peak_phase_end_date,recession_phase_start_index,recession_phase_end_index,recession_phase_start_date,recession_phase_end_date,control_start_index,control_end_index,control_center_index,control_start_date,control_end_date,control_center_date,threshold,threshold_quantile,threshold_operator,threshold_reference_split,threshold_reference_scope,threshold_training_samples,minimum_training_samples,event_definition,minimum_duration_days,merge_gap_days,fixed_window_length,climatology_half_window_days,threshold_doy_half_window_days,event_climatology_value,control_context_days,event_window_eligible,event_left_context_available,event_right_context_available,analysis_eligible,analysis_exclusion_reason,episode_boundary_policy,control_match_year_distance,control_match_day_of_year_distance,control_reuse_policy,data_version,evaluation_split,source_split
event_catalog_v2,M7BPAIR-M7BEVENT201805252018051720180531A12048912C83-M7BCONTROL2018053120180502201805168FF645C6C8FA-A1B45F4F54A7,M7BANCHOR-M7BEVENT201805252018051720180531A12048912C83-M7BCONTROL2018053120180502201805168FF645C6C8FA-A1B45F4F54A7,M7BEVENT-20180525-20180517-20180531-A12048912C83,M7BCONTROL-20180531-20180502-20180516-8FF645C6C8FA,B1,F,flood,MAM,15,2,15,1,4526,4527,2018-05-24,2018-05-25,4519,4533,4526,2018-05-17,2018-05-31,2018-05-24,4519,4533,4526,2018-05-17,2018-05-31,2018-05-24,4526,2018-05-24,784,,,,21.299999999999841,,,,,4526,4526,2018-05-24,2018-05-24,4527,4527,2018-05-25,2018-05-25,4504,4518,4511,2018-05-02,2018-05-16,2018-05-09,762.70000000000016,0.90000000000000002,>=,train,station_season,920,30,F >= train-only station-season q90; exceedance runs separated by <=2 days form one flood process; audit window is 15 days centered on the process peak,1,2,15,0,0,,1,True,True,True,True,,catalog_all_analyze_only_complete_window_and_context,0,15,no_exact_window_reuse_within_station_event,published_v1,development_test,test
event_catalog_v2,M7BPAIR-M7BEVENT201807142018070620180720D630FBDE3179-M7BCONTROL20180720201806212018070555460C0555D9-C0A5B46D8BE3,M7BANCHOR-M7BEVENT201807142018070620180720D630FBDE3179-M7BCONTROL20180720201806212018070555460C0555D9-C0A5B46D8BE3,M7BEVENT-20180714-20180706-20180720-D630FBDE3179,M7BCONTROL-20180720-20180621-20180705-55460C0555D9,B1,F,flood,JJA,15,8,15,1,4570,4577,2018-07-07,2018-07-14,4569,4583,4576,2018-07-06,2018-07-20,2018-07-13,4569,4583,4576,2018-07-06,2018-07-20,2018-07-13,4576,2018-07-13,3940,,,,730,4570,4575,2018-07-07,2018-07-12,4576,4576,2018-07-13,2018-07-13,4577,4577,2018-07-14,2018-07-14,4554,4568,4561,2018-06-21,2018-07-05,2018-06-28,3210,0.90000000000000002,>=,train,station_season,920,30,F >= train-only station-season q90; exceedance runs separated by <=2 days form one flood process; audit window is 15 days centered on the process peak,1,2,15,0,0,,1,True,True,True,True,,catalog_all_analyze_only_complete_window_and_context,0,15,no_exact_window_reuse_within_station_event,published_v1,development_test,test
event_catalog_v2,M7BPAIR-M7BEVENT201810062018090720180921EBFA0658167B-M7BCONTROL201809212018102120181104F5555DC9FBDD-854041C615FA,M7BANCHOR-M7BEVENT201810062018090720180921EBFA0658167B-M7BCONTROL201809212018102120181104F5555DC9FBDD-854041C615FA,M7BEVENT-20181006-20180907-20180921-EBFA0658167B,M7BCONTROL-20180921-20181021-20181104-F5555DC9FBDD,B1,F,flood,SON,15,36,15,1,4626,4661,2018-09-01,2018-10-06,4632,4646,4639,2018-09-07,2018-09-21,2018-09-14,4632,4646,4639,2018-09-07,2018-09-21,2018-09-14,4639,2018-09-14,4300,,,,1969,4626,4638,2018-09-01,2018-09-13,4639,4639,2018-09-14,2018-09-14,4640,4661,2018-09-15,2018-10-06,4676,4690,4683,2018-10-21,2018-11-04,2018-10-28,2331,0.90000000000000002,>=,train,station_season,910,30,F >= train-only station-season q90; exceedance runs separated by <=2 days form one flood process; audit window is 15 days centered on the process peak,1,2,15,0,0,,1,True,True,True,True,,catalog_all_analyze_only_complete_window_and_context,0,44,no_exact_window_reuse_within_station_event,published_v1,development_test,test
event_catalog_v2,M7BPAIR-M7BEVENT201810132018100620181020101AAE968D8B-M7BCONTROL20181020201810222018110500C6A5A30362-2A5C5540B411,M7BANCHOR-M7BEVENT201810132018100620181020101AAE968D8B-M7BCONTROL20181020201810222018110500C6A5A30362-2A5C5540B411,M7BEVENT-20181013-20181006-20181020-101AAE968D8B,M7BCONTROL-20181020-20181022-20181105-00C6A5A30362,B1,F,flood,SON,15,1,15,1,4668,4668,2018-10-13,2018-10-13,4661,4675,4668,2018-10-06,2018-10-20,2018-10-13,4661,4675,4668,2018-10-06,2018-10-20,2018-10-13,4668,2018-10-13,2980,,,,649,,,,,4668,4668,2018-10-13,2018-10-13,,,,,4677,4691,4684,2018-10-22,2018-11-05,2018-10-29,2331,0.90000000000000002,>=,train,station_season,910,30,F >= train-only station-season q90; exceedance runs separated by <=2 days form one flood process; audit window is 15 days centered on the process peak,1,2,15,0,0,,1,True,True,True,True,,catalog_all_analyze_only_complete_window_and_context,0,16,no_exact_window_reuse_within_station_event,published_v1,development_test,test
event_catalog_v2,M7BPAIR-M7BEVENT2018111420181107201811218C3324B97270-M7BCONTROL201811212018102320181106691D7A869AAC-BAA209B90D39,M7BANCHOR-M7BEVENT2018111420181107201811218C3324B97270-M7BCONTROL201811212018102320181106691D7A869AAC-BAA209B90D39,M7BEVENT-20181114-20181107-20181121-8C3324B97270,M7BCONTROL-20181121-20181023-20181106-691D7A869AAC,B1,F,flood,SON,15,1,15,1,4700,4700,2018-11-14,2018-11-14,4693,4707,4700,2018-11-07,2018-11-21,2018-11-14,4693,4707,4700,2018-11-07,2018-11-21,2018-11-14,4700,2018-11-14,5760,,,,3429,,,,,4700,4700,2018-11-14,2018-11-14,,,,,4678,4692,4685,2018-10-23,2018-11-06,2018-10-30,2331,0.90000000000000002,>=,train,station_season,910,30,F >= train-only station-season q90; exceedance runs separated by <=2 days form one flood process; audit window is 15 days centered on the process peak,1,2,15,0,0,,1,True,True,True,True,,catalog_all_analyze_only_complete_window_and_context,0,15,no_exact_window_reuse_within_station_event,published_v1,development_test,test
event_catalog_v2,M7BPAIR-M7BEVENT2018123020181124201812080E314BE8492C-M7BCONTROL2018120820180102201801162CD7A1EF1A75-48D7631F3B92,M7BANCHOR-M7BEVENT2018123020181124201812080E314BE8492C-M7BCONTROL2018120820180102201801162CD7A1EF1A75-48D7631F3B92,M7BEVENT-20181230-20181124-20181208-0E314BE8492C,M7BCONTROL-20181208-20180102-20180116-2CD7A1EF1A75,B1,F,flood,DJF,15,30,15,1,4717,4746,2018-12-01,2018-12-30,4710,4724,4717,2018-11-24,2018-12-08,2018-12-01,4710,4724,4717,2018-11-24,2018-12-08,2018-12-01,4717,2018-12-01,618,,,,239.10000000000002,,,,,4717,4717,2018-12-01,2018-12-01,4718,4746,2018-12-02,2018-12-30,4384,4398,4391,2018-01-02,2018-01-16,2018-01-09,378.89999999999998,0.90000000000000002,>=,train,station_season,902,30,F >= train-only station-season q90; exceedance runs separated by <=2 days form one flood process; audit window is 15 days centered on the process peak,1,2,15,0,0,,1,True,True,True,True,,catalog_all_analyze_only_complete_window_and_context,0,39,no_exact_window_reuse_within_station_event,published_v1,development_test,test
event_catalog_v2,M7BPAIR-M7BEVENT2019051220190429201905136ED454357548-M7BCONTROL2019051320190405201904196D5EEA2B67F2-B5E8FC7EE5F9,M7BANCHOR-M7BEVENT2019051220190429201905136ED454357548-M7BCONTROL2019051320190405201904196D5EEA2B67F2-B5E8FC7EE5F9,M7BEVENT-20190512-20190429-20190513-6ED454357548,M7BCONTROL-20190513-20190405-20190419-6D5EEA2B67F2,B1,F,flood,MAM,15,23,15,1,4857,4879,2019-04-20,2019-05-12,4866,4880,4873,2019-04-29,2019-05-13,2019-05-06,4866,4880,4873,2019-04-29,2019-05-13,2019-05-06,4873,2019-05-06,1190,,,,427.29999999999984,4857,4872,2019-04-20,2019-05-05,4873,4873,2019-05-06,2019-05-06,4874,4879,2019-05-07,2019-05-12,4842,4856,4849,2019-04-05,2019-04-19,2019-04-12,762.70000000000016,0.90000000000000002,>=,train,station_season,920,30,F >= train-only station-season q90; exceedance runs separated by <=2 days form one flood process; audit window is 15 days centered on the process peak,1,2,15,0,0,,1,True,True,True,True,,catalog_all_analyze_only_complete_window_and_context,0,24,no_exact_window_reuse_within_station_event,published_v1,development_test,test
event_catalog_v2,M7BPAIR-M7BEVENT201905312019052220190605FBF08D5A6660-M7BCONTROL201906052019040420190418AA2BEAEA1436-09785630E763,M7BANCHOR-M7BEVENT201905312019052220190605FBF08D5A6660-M7BCONTROL201906052019040420190418AA2BEAEA1436-09785630E763,M7BEVENT-20190531-20190522-20190605-FBF08D5A6660,M7BCONTROL-20190605-20190404-20190418-AA2BEAEA1436,B1,F,flood,MAM,15,12,15,1,4887,4898,2019-05-20,2019-05-31,4889,4903,4896,2019-05-22,2019-06-05,2019-05-29,4889,4903,4896,2019-05-22,2019-06-05,2019-05-29,4896,2019-05-29,1010,,,,247.29999999999984,4887,4895,2019-05-20,2019-05-28,4896,4896,2019-05-29,2019-05-29,4897,4898,2019-05-30,2019-05-31,4841,4855,4848,2019-04-04,2019-04-18,2019-04-11,762.70000000000016,0.90000000000000002,>=,train,station_season,920,30,F >= train-only station-season q90; exceedance runs separated by <=2 days form one flood process; audit window is 15 days centered on the process peak,1,2,15,0,0,,1,True,True,True,True,,catalog_all_analyze_only_complete_window_and_context,0,48,no_exact_window_reuse_within_station_event,published_v1,development_test,test
event_catalog_v2,M7BPAIR-M7BEVENT2019092620190914201909286ACAC673A986-M7BCONTROL20190928201908302019091315A10AC58009-C5FCA23C7638,M7BANCHOR-M7BEVENT2019092620190914201909286ACAC673A986-M7BCONTROL20190928201908302019091315A10AC58009-C5FCA23C7638,M7BEVENT-20190926-20190914-20190928-6ACAC673A986,M7BCONTROL-20190928-20190830-20190913-15A10AC58009,B1,F,flood,SON,15,12,15,1,5005,5016,2019-09-15,2019-09-26,5004,5018,5011,2019-09-14,2019-09-28,2019-09-21,5004,5018,5011,2019-09-14,2019-09-28,2019-09-21,5011,2019-09-21,2820,,,,489,5005,5010,2019-09-15,2019-09-20,5011,5011,2019-09-21,2019-09-21,5012,5016,2019-09-22,2019-09-26,4989,5003,4996,2019-08-30,2019-09-13,2019-09-06,2331,0.90000000000000002,>=,train,station_season,910,30,F >= train-only station-season q90; exceedance runs separated by <=2 days form one flood process; audit window is 15 days centered on the process peak,1,2,15,0,0,,1,True,True,True,True,,catalog_all_analyze_only_complete_window_and_context,0,15,no_exact_window_reuse_within_station_event,published_v1,development_test,test
event_catalog_v2,M7BPAIR-M7BEVENT20191219201911242019120838163E57CFDF-M7BCONTROL20191208201912202020010353CC75E3BCDF-6815C87619A6,M7BANCHOR-M7BEVENT20191219201911242019120838163E57CFDF-M7BCONTROL20191208201912202020010353CC75E3BCDF-6815C87619A6,M7BEVENT-20191219-20191124-20191208-38163E57CFDF,M7BCONTROL-20191208-20191220-20200103-53CC75E3BCDF,B1,F,flood,DJF,15,19,15,2,5082,5100,2019-12-01,2019-12-19,5075,5089,5082,2019-11-24,2019-12-08,2019-12-01,5075,5089,5082,2019-11-24,2019-12-08,2019-12-01,5082,2019-12-01,552,,,,173.10000000000002,,,,,5082,5082,2019-12-01,2019-12-01,5083,5100,2019-12-02,2019-12-19,5101,5115,5108,2019-12-20,2020-01-03,2019-12-27,378.89999999999998,0.90000000000000002,>=,train,station_season,902,30,F >= train-only station-season q90; exceedance runs separated by <=2 days form one flood process; audit window is 15 days centered on the process peak,1,2,15,0,0,,1,True,True,True,True,,catalog_all_analyze_only_complete_window_and_context,0,26,no_exact_window_reuse_within_station_event,published_v1,development_test,test
