anchor_id,station_id,target,center_date,center_index,start_month,season,year,hydrologic_state,mask_seed,max_supported_length,data_version,evaluation_split,source_split
ANCHOR-publishedv1-developmenttest-B1-T-DJF-R0101,B1,T,2019-02-23,4801,8,DJF,2019,high_flow,101,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-T-DJF-R0102,B1,T,2019-01-03,4750,7,DJF,2019,high_flow,102,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-T-DJF-R0103,B1,T,2019-02-18,4796,8,DJF,2019,high_flow,103,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-T-DJF-R0104,B1,T,2020-02-24,5167,8,DJF,2020,normal_flow,104,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-T-DJF-R0105,B1,T,2019-02-11,4789,8,DJF,2019,high_flow,105,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-T-MAM-R0106,B1,T,2019-05-30,4897,11,MAM,2019,high_flow,106,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-T-MAM-R0107,B1,T,2020-05-15,5248,11,MAM,2020,high_flow,107,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-T-MAM-R0108,B1,T,2020-03-29,5201,9,MAM,2020,normal_flow,108,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-T-MAM-R0109,B1,T,2019-04-16,4853,10,MAM,2019,high_flow,109,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-T-MAM-R0110,B1,T,2020-03-10,5182,9,MAM,2020,normal_flow,110,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-T-JJA-R0111,B1,T,2019-06-30,4928,12,JJA,2019,high_flow,111,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-T-JJA-R0112,B1,T,2020-06-13,5277,12,JJA,2020,normal_flow,112,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-T-JJA-R0113,B1,T,2020-07-02,5296,1,JJA,2020,high_flow,113,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-T-JJA-R0114,B1,T,2020-06-17,5281,12,JJA,2020,high_flow,114,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-T-JJA-R0115,B1,T,2020-06-29,5293,12,JJA,2020,high_flow,115,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-T-SON-R0116,B1,T,2019-09-20,5010,3,SON,2019,high_flow,116,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-T-SON-R0117,B1,T,2018-10-30,4685,5,SON,2018,normal_flow,117,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-T-SON-R0118,B1,T,2019-09-13,5003,3,SON,2019,high_flow,118,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-T-SON-R0119,B1,T,2018-09-10,4635,3,SON,2018,high_flow,119,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-T-SON-R0120,B1,T,2019-10-18,5038,4,SON,2019,normal_flow,120,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-F-DJF-R0101,B1,F,2019-12-19,5100,6,DJF,2019,high_flow,101,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-F-DJF-R0102,B1,F,2020-01-26,5138,7,DJF,2020,high_flow,102,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-F-DJF-R0103,B1,F,2019-01-03,4750,7,DJF,2019,high_flow,103,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-F-DJF-R0104,B1,F,2019-12-10,5091,6,DJF,2019,high_flow,104,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-F-DJF-R0105,B1,F,2020-02-09,5152,8,DJF,2020,normal_flow,105,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-F-MAM-R0106,B1,F,2019-03-18,4824,9,MAM,2019,normal_flow,106,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-F-MAM-R0107,B1,F,2020-05-27,5260,11,MAM,2020,high_flow,107,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-F-MAM-R0108,B1,F,2019-03-09,4815,9,MAM,2019,normal_flow,108,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-F-MAM-R0109,B1,F,2019-05-05,4872,11,MAM,2019,high_flow,109,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-F-MAM-R0110,B1,F,2020-04-08,5211,10,MAM,2020,normal_flow,110,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-F-JJA-R0111,B1,F,2018-07-08,4571,1,JJA,2018,high_flow,111,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-F-JJA-R0112,B1,F,2020-06-18,5282,12,JJA,2020,high_flow,112,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-F-JJA-R0113,B1,F,2018-07-15,4578,1,JJA,2018,high_flow,113,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-F-JJA-R0114,B1,F,2020-06-11,5275,12,JJA,2020,normal_flow,114,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-F-JJA-R0115,B1,F,2020-06-28,5292,12,JJA,2020,high_flow,115,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-F-SON-R0116,B1,F,2019-09-26,5016,3,SON,2019,high_flow,116,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-F-SON-R0117,B1,F,2019-11-15,5066,5,SON,2019,low_flow,117,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-F-SON-R0118,B1,F,2018-11-29,4715,5,SON,2018,low_flow,118,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-F-SON-R0119,B1,F,2018-10-15,4670,4,SON,2018,high_flow,119,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-F-SON-R0120,B1,F,2018-11-18,4704,5,SON,2018,low_flow,120,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-L-DJF-R0101,B1,L,2019-02-13,4791,8,DJF,2019,high_flow,101,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-L-DJF-R0102,B1,L,2019-01-26,4773,7,DJF,2019,high_flow,102,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-L-DJF-R0103,B1,L,2019-12-05,5086,6,DJF,2019,high_flow,103,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-L-DJF-R0104,B1,L,2018-12-09,4725,6,DJF,2018,high_flow,104,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-L-DJF-R0105,B1,L,2019-01-16,4763,7,DJF,2019,high_flow,105,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-L-MAM-R0106,B1,L,2020-04-18,5221,10,MAM,2020,normal_flow,106,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-L-MAM-R0107,B1,L,2020-03-03,5175,9,MAM,2020,low_flow,107,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-L-MAM-R0108,B1,L,2020-04-04,5207,10,MAM,2020,normal_flow,108,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-L-MAM-R0109,B1,L,2019-04-11,4848,10,MAM,2019,normal_flow,109,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-L-MAM-R0110,B1,L,2019-03-17,4823,9,MAM,2019,normal_flow,110,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-L-JJA-R0111,B1,L,2019-07-01,4929,12,JJA,2019,high_flow,111,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-L-JJA-R0112,B1,L,2019-08-10,4969,2,JJA,2019,normal_flow,112,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-L-JJA-R0113,B1,L,2019-06-01,4899,12,JJA,2019,low_flow,113,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-L-JJA-R0114,B1,L,2019-08-12,4971,2,JJA,2019,normal_flow,114,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-L-JJA-R0115,B1,L,2018-08-29,4623,2,JJA,2018,high_flow,115,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-L-SON-R0116,B1,L,2019-11-23,5074,5,SON,2019,low_flow,116,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-L-SON-R0117,B1,L,2019-09-07,4997,3,SON,2019,high_flow,117,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-L-SON-R0118,B1,L,2018-11-06,4692,5,SON,2018,low_flow,118,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-L-SON-R0119,B1,L,2019-11-26,5077,5,SON,2019,low_flow,119,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-B1-L-SON-R0120,B1,L,2019-11-29,5080,5,SON,2019,low_flow,120,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-T-DJF-R0101,P3,T,2018-12-05,4721,6,DJF,2018,high_flow,101,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-T-DJF-R0102,P3,T,2019-01-08,4755,7,DJF,2019,high_flow,102,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-T-DJF-R0103,P3,T,2019-12-20,5101,6,DJF,2019,low_flow,103,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-T-DJF-R0104,P3,T,2018-12-26,4742,6,DJF,2018,high_flow,104,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-T-DJF-R0105,P3,T,2020-02-03,5146,8,DJF,2020,low_flow,105,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-T-MAM-R0106,P3,T,2020-05-13,5246,11,MAM,2020,low_flow,106,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-T-MAM-R0107,P3,T,2019-03-09,4815,9,MAM,2019,high_flow,107,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-T-MAM-R0108,P3,T,2019-03-22,4828,9,MAM,2019,low_flow,108,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-T-MAM-R0109,P3,T,2020-04-22,5225,10,MAM,2020,normal_flow,109,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-T-MAM-R0110,P3,T,2019-04-18,4855,10,MAM,2019,low_flow,110,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-T-JJA-R0111,P3,T,2020-06-26,5290,12,JJA,2020,high_flow,111,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-T-JJA-R0112,P3,T,2018-07-23,4586,1,JJA,2018,high_flow,112,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-T-JJA-R0113,P3,T,2019-07-20,4948,1,JJA,2019,normal_flow,113,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-T-JJA-R0114,P3,T,2020-07-02,5296,1,JJA,2020,normal_flow,114,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-T-JJA-R0115,P3,T,2020-06-08,5272,12,JJA,2020,low_flow,115,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-T-SON-R0116,P3,T,2018-11-23,4709,5,SON,2018,low_flow,116,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-T-SON-R0117,P3,T,2019-10-02,5022,4,SON,2019,high_flow,117,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-T-SON-R0118,P3,T,2019-10-24,5044,4,SON,2019,normal_flow,118,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-T-SON-R0119,P3,T,2018-09-21,4646,3,SON,2018,high_flow,119,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-T-SON-R0120,P3,T,2018-11-19,4705,5,SON,2018,low_flow,120,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-F-DJF-R0101,P3,F,2020-01-26,5138,7,DJF,2020,high_flow,101,365,published_v1,development_test,test
