analysis,station_id,model,gap_length,mean_skill,skill_ci_lower,skill_ci_upper,mean_MAE_degC,mean_climatology_MAE_degC,n_anchors,n_anchor_year_units
original_training_climatology,B1,air_hydro,1.0,-6.820369988485096,-13.11681930995451,0.189186614063635,1.992910305625977,0.7224999666213989,20,20
original_training_climatology,B1,air_hydro,3.0,-4.942129688026163,-7.728132387293551,0.02350381420798,1.9830442249918288,0.6974999924500783,20,20
original_training_climatology,B1,air_hydro,7.0,-5.079321942482556,-6.186724766422036,-0.0219667760551332,2.0447673621732885,0.6882142509732927,20,20
original_training_climatology,B1,air_hydro,10.0,-4.165712302289206,-5.567962566054636,-0.0355852705428813,2.0806049262542796,0.6807499921321869,20,20
original_training_climatology,B1,air_hydro,14.0,-3.26430570246502,-4.489033040206301,0.1063260680800815,2.0704314847801433,0.7044642499514988,20,20
original_training_climatology,B1,air_hydro,21.0,-3.000386286130912,-4.184193487023284,0.139521767829432,2.1094979269741683,0.734999961796261,20,20
original_training_climatology,B1,air_hydro,30.0,-2.93095551469238,-4.02657565737375,0.1348954431459197,2.1565719614684413,0.7571666431427002,20,20
original_training_climatology,B1,air_hydro,45.0,-2.990338366076186,-3.7232926602127847,0.0763780870453174,2.2130445482736407,0.7706666524542704,20,20
original_training_climatology,B1,air_hydro,60.0,-2.926181285338753,-3.341151314215194,0.0736890359593119,2.2123433421551675,0.7492083216210207,20,20
original_training_climatology,B1,air_hydro,90.0,-3.0021950144338345,-3.447421952805356,0.0714767125999832,2.1750231407616045,0.6991110970576603,20,20
original_training_climatology,B1,air_hydro,120.0,-2.6280704314716825,-3.090811670062996,0.0661766426401558,2.1568873692101187,0.7055208216607571,20,20
original_training_climatology,B1,air_hydro,150.0,-2.3253890432378785,-2.843579428124224,-0.0962392150877845,2.1341074613133904,0.7220666540861129,20,20
original_training_climatology,B1,air_hydro,180.0,-2.185402207903373,-2.61683065701012,-0.2290414763196859,2.0981621670251847,0.7175138778818978,20,20
original_training_climatology,B1,air_hydro,240.0,-1.955493297870268,-2.3106989076328506,-0.4826181448239827,2.0585884900058087,0.7263229056199391,20,20
original_training_climatology,B1,air_hydro,365.0,-1.6560997930298675,-1.7748295269046268,-0.8829634941631603,1.9848427495977308,0.7450753291828992,20,20
original_training_climatology,B1,air_only,1.0,-0.5854584605370075,-1.381301166951472,0.303315175033473,0.6388899194362034,0.7224999666213989,20,20
original_training_climatology,B1,air_only,3.0,-0.3721411534247266,-0.4383393453653809,0.1624960918805656,0.6559977765765151,0.6974999924500783,20,20
original_training_climatology,B1,air_only,7.0,-0.383121461963303,-0.5837290613686072,0.1690027249795354,0.6133398963015819,0.6882142509732927,20,20
original_training_climatology,B1,air_only,10.0,-0.176874927272187,-0.316416067992568,0.0874962912911997,0.6071681501481996,0.6807499921321869,20,20
original_training_climatology,B1,air_only,14.0,-0.0848703358061468,-0.3068095874006151,0.1529410697062362,0.6470389130891816,0.7044642499514988,20,20
original_training_climatology,B1,air_only,21.0,-0.044412367954281,-0.2886419791303827,0.1307222182284297,0.6804237815730089,0.734999961796261,20,20
original_training_climatology,B1,air_only,30.0,-0.002823146253348,-0.2405871756185859,0.169824357792204,0.6693606994342314,0.7571666431427002,20,20
original_training_climatology,B1,air_only,45.0,0.025232338233641,-0.1463037348963956,0.1506171798895421,0.685228867849173,0.7706666524542704,20,20
original_training_climatology,B1,air_only,60.0,0.05099916752061,-0.0784445023720802,0.1566191514808066,0.6716426630745364,0.7492083216210207,20,20
original_training_climatology,B1,air_only,90.0,0.0375234579365057,-0.046121670813698,0.1000417616063221,0.6441578342055136,0.6991110970576603,20,20
original_training_climatology,B1,air_only,120.0,0.0394625526557152,-0.0421340365225004,0.0965497096618015,0.6567207109820362,0.7055208216607571,20,20
