section,station_id,target,model,component,value,ci_lower,ci_upper,breakpoint_days,reason
recoverability_frontier,B1,T,air_hydro,statistical_frontier_days,,,,3.0,
recoverability_frontier,B1,T,air_only,statistical_frontier_days,,,,3.0,
recoverability_frontier,B1,T,climatology,statistical_frontier_days,,,,3.0,
recoverability_frontier,B1,T,donor_regression,statistical_frontier_days,,,,3.0,
recoverability_frontier,B1,T,kalman,statistical_frontier_days,7.098824149688343,,,240.0,
recoverability_frontier,B1,T,linear,statistical_frontier_days,6.9896354674196575,,,120.0,
recoverability_frontier,B1,T,pchip,statistical_frontier_days,8.764246720468426,,,150.0,
recoverability_frontier,B1,T,random_forest,statistical_frontier_days,365.0,,,3.0,
recoverability_frontier,B1,T,xgboost,statistical_frontier_days,365.0,,,3.0,
recoverability_frontier,P3,T,air_hydro,statistical_frontier_days,,,,3.0,
recoverability_frontier,P3,T,air_only,statistical_frontier_days,,,,3.0,
recoverability_frontier,P3,T,climatology,statistical_frontier_days,,,,3.0,
recoverability_frontier,P3,T,donor_regression,statistical_frontier_days,,,,3.0,
recoverability_frontier,P3,T,kalman,statistical_frontier_days,159.99221446109107,,,240.0,
recoverability_frontier,P3,T,linear,statistical_frontier_days,100.32862666329632,,,240.0,
recoverability_frontier,P3,T,pchip,statistical_frontier_days,93.1190303464094,,,90.0,
recoverability_frontier,P3,T,random_forest,statistical_frontier_days,,,,3.0,
recoverability_frontier,P3,T,xgboost,statistical_frontier_days,365.0,,,3.0,
recoverability_frontier,S2,T,air_hydro,statistical_frontier_days,,,,3.0,
recoverability_frontier,S2,T,air_only,statistical_frontier_days,,,,3.0,
recoverability_frontier,S2,T,climatology,statistical_frontier_days,,,,3.0,
recoverability_frontier,S2,T,donor_regression,statistical_frontier_days,,,,3.0,
recoverability_frontier,S2,T,kalman,statistical_frontier_days,22.70165720762282,,,240.0,
recoverability_frontier,S2,T,linear,statistical_frontier_days,22.40991205479717,,,90.0,
recoverability_frontier,S2,T,pchip,statistical_frontier_days,21.18910635492402,,,120.0,
recoverability_frontier,S2,T,random_forest,statistical_frontier_days,365.0,,,3.0,
recoverability_frontier,S2,T,xgboost,statistical_frontier_days,365.0,,,3.0,
