station_id,target,data_version,model,information_combination,window,evaluation_split,n_gap_lengths,gap_lengths,n_complete_anchor_curves,n_incomplete_anchor_curves_excluded,n_bootstrap_clusters,n_resampleable_station_year_strata,n_bootstrap_samples,raw_frontier_days,raw_frontier_censoring,monotone_frontier_days,monotone_frontier_censoring,bootstrap_unit,joint_cross_gap_resampling,reason,statistical_frontier_days,statistical_frontier_censoring,statistical_frontier_status,raw_frontier_days_ci_lower,raw_frontier_days_ci_upper,raw_frontier_days_finite_bootstrap,raw_frontier_days_left_censored_bootstrap,raw_frontier_days_right_censored_bootstrap,monotone_frontier_days_ci_lower,monotone_frontier_days_ci_upper,monotone_frontier_days_finite_bootstrap,monotone_frontier_days_left_censored_bootstrap,monotone_frontier_days_right_censored_bootstrap,breakpoint_days,breakpoint_reason,n_anchors,n_years,p_value,n_hypothesis_units,n_hypothesis_clusters,hypothesis_estimand,hypothesis_family,hypothesis_status,training_seeds_collapsed_first,p_bh,bh_family_size,bh_finite_hypotheses,bh_reject,bh_alpha,bh_scope,frontier_denominator,frontier_code_path,status
B1,T,published_v2,air_hydro,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20,0,3,0,2000,,left,,left,station_year_overlap_cluster,True,,,left,below_threshold_at_smallest_gap,,,0,2000,0,,,0,2000,0,3.0,,20,3,1.9073486328125e-06,20,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_best_simple_baseline,tested,True,3.6784580775669643e-06,27,27,True,0.05,within_named_hypothesis_family,best_simple_baseline,canonical_anchor_year_overlap_aware,ok
B1,T,published_v2,air_only,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20,0,3,0,2000,,left,,left,station_year_overlap_cluster,True,,,left,below_threshold_at_smallest_gap,,,0,2000,0,,,0,2000,0,3.0,,20,3,0.0001049041748046875,20,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_best_simple_baseline,tested,True,0.00016661251292509192,27,27,True,0.05,within_named_hypothesis_family,best_simple_baseline,canonical_anchor_year_overlap_aware,ok
B1,T,published_v2,climatology,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20,0,3,0,2000,,left,,left,station_year_overlap_cluster,True,,,left,below_threshold_at_smallest_gap,,,0,2000,0,,,0,2000,0,3.0,,20,3,2.6702880859375e-05,20,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_best_simple_baseline,tested,True,4.506111145019531e-05,27,27,True,0.05,within_named_hypothesis_family,best_simple_baseline,canonical_anchor_year_overlap_aware,ok
B1,T,published_v2,donor_regression,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20,0,3,0,2000,,left,,left,station_year_overlap_cluster,True,,,left,below_threshold_at_smallest_gap,,,0,2000,0,,,0,2000,0,3.0,,20,3,0.20244979858398438,20,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_best_simple_baseline,tested,True,0.237658459207286,27,27,False,0.05,within_named_hypothesis_family,best_simple_baseline,canonical_anchor_year_overlap_aware,ok
B1,T,published_v2,kalman,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20,0,3,0,2000,,left,,left,station_year_overlap_cluster,True,,,left,below_threshold_at_smallest_gap,9.423663009963391,12.61426056084303,500,1500,0,9.423663009963391,12.61426056084303,500,1500,0,240.0,,20,3,1.9073486328125e-06,20,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_best_simple_baseline,tested,True,3.6784580775669643e-06,27,27,True,0.05,within_named_hypothesis_family,best_simple_baseline,canonical_anchor_year_overlap_aware,ok
B1,T,published_v2,linear,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20,0,3,0,2000,,left,,left,station_year_overlap_cluster,True,,,left,below_threshold_at_smallest_gap,9.322797800831154,12.54721979939849,500,1500,0,9.322797800831154,12.54721979939849,500,1500,0,120.0,,20,3,1.9073486328125e-06,20,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_best_simple_baseline,tested,True,3.6784580775669643e-06,27,27,True,0.05,within_named_hypothesis_family,best_simple_baseline,canonical_anchor_year_overlap_aware,ok
B1,T,published_v2,pchip,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20,0,3,0,2000,,left,,left,station_year_overlap_cluster,True,,,left,below_threshold_at_smallest_gap,13.448835369186101,15.512079924982523,528,1472,0,13.376321506711038,15.832660264407991,528,1472,0,150.0,,20,3,1.9073486328125e-06,20,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_best_simple_baseline,tested,True,3.6784580775669643e-06,27,27,True,0.05,within_named_hypothesis_family,best_simple_baseline,canonical_anchor_year_overlap_aware,ok
B1,T,published_v2,random_forest,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20,0,3,0,2000,,left,,left,station_year_overlap_cluster,True,,,left,below_threshold_at_smallest_gap,365.0,365.0,81,1919,81,365.0,365.0,287,1713,287,3.0,,20,3,0.26109886169433594,20,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_best_simple_baseline,tested,True,0.29373621940612793,27,27,False,0.05,within_named_hypothesis_family,best_simple_baseline,canonical_anchor_year_overlap_aware,ok
B1,T,published_v2,xgboost,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20,0,3,0,2000,,left,,left,station_year_overlap_cluster,True,,,left,below_threshold_at_smallest_gap,,,0,2000,0,,,0,2000,0,3.0,,20,3,1.0,20,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_best_simple_baseline,tested,True,1.0,27,27,False,0.05,within_named_hypothesis_family,best_simple_baseline,canonical_anchor_year_overlap_aware,ok
P3,T,published_v2,air_hydro,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20,0,3,0,2000,,left,,left,station_year_overlap_cluster,True,,,left,below_threshold_at_smallest_gap,,,0,2000,0,,,0,2000,0,3.0,,20,3,3.814697265625e-06,20,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_best_simple_baseline,tested,True,6.866455078125e-06,27,27,True,0.05,within_named_hypothesis_family,best_simple_baseline,canonical_anchor_year_overlap_aware,ok
