experiment,mask_type,layout,window_length,training_protocol,validation_scope,station_id,target,model,pattern,statistical_frontier_days,statistical_frontier_censoring,statistical_frontier_definition,reason,mean_frontier_days,mean_frontier_censoring,mean_frontier_definition,tested_gap_lengths,missing_recommended_gap_lengths,dense_grid_complete,breakpoint_days,breakpoint_sse,breakpoint_reason,frontier_ci_lower,frontier_ci_upper,frontier_ci_estimand,mean_frontier_ci_lower,mean_frontier_ci_upper,frontier_bootstrap_reason,frontier_bootstrap_unit,n_frontier_paired_units,n_incomplete_frontier_units_excluded,n_boot_valid,n_boot_right_censored,n_boot_left_censored,frontier_denominator,hypothesis_family,status
SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,air_hydro,T,0.0,left,monotone_first_loss_lower_confidence_bound,left-censored below the smallest tested gap,0.0,left,monotone_first_loss_mean_skill,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",[],True,14.0,1.2779383729040306,,0.0,0.0,monotone_first_loss_mean_skill,0.0,0.0,left-censored below the smallest tested gap,mask_seed+training_seed,20,0,2000,0,2000,climatology,frontier_model_vs_climatology,ok
SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,air_only,T,0.0,left,monotone_first_loss_lower_confidence_bound,left-censored below the smallest tested gap,0.0,left,monotone_first_loss_mean_skill,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",[],True,14.0,0.026357446386722123,,0.0,365.0,monotone_first_loss_mean_skill,0.0,365.0,left-censored below the smallest tested gap,mask_seed+training_seed,20,0,2000,99,1576,climatology,frontier_model_vs_climatology,ok
SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,climatology,T,0.0,left,monotone_first_loss_lower_confidence_bound,left-censored below the smallest tested gap,0.0,left,monotone_first_loss_mean_skill,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",[],True,3.0,0.0,,0.0,0.0,monotone_first_loss_mean_skill,0.0,0.0,left-censored below the smallest tested gap,mask_seed+training_seed,20,0,2000,0,2000,climatology,frontier_model_vs_climatology,ok
SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,donor_regression,T,0.0,left,monotone_first_loss_lower_confidence_bound,left-censored below the smallest tested gap,1.4426280350095562,,monotone_first_loss_mean_skill,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",[],True,10.0,0.35456373512724576,,0.0,365.0,monotone_first_loss_mean_skill,0.0,365.0,,mask_seed+training_seed,20,0,2000,557,717,climatology,frontier_model_vs_climatology,ok
SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,kalman,T,5.724054496104788,,monotone_first_loss_lower_confidence_bound,,30.8641815071481,,monotone_first_loss_mean_skill,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",[],True,240.0,1.0730876146079034,,6.010469843061631,47.73766140620924,monotone_first_loss_mean_skill,6.010469843061631,47.73766140620924,,mask_seed+training_seed,20,0,2000,0,0,climatology,frontier_model_vs_climatology,ok
SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,linear,T,5.8075417021594635,,monotone_first_loss_lower_confidence_bound,,9.91350387410337,,monotone_first_loss_mean_skill,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",[],True,120.0,0.8824452782061827,,5.937374691514975,48.695518729351065,monotone_first_loss_mean_skill,5.937374691514975,48.695518729351065,,mask_seed+training_seed,20,0,2000,0,0,climatology,frontier_model_vs_climatology,ok
SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,pchip,T,5.566395686859214,,monotone_first_loss_lower_confidence_bound,,30.893719194577717,,monotone_first_loss_mean_skill,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",[],True,180.0,1.1670412015319693,,5.940817979014539,34.759172742571245,monotone_first_loss_mean_skill,5.940817979014539,34.759172742571245,,mask_seed+training_seed,20,0,2000,0,0,climatology,frontier_model_vs_climatology,ok
SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,random_forest,T,6.1550347033029915,,monotone_first_loss_lower_confidence_bound,,365.0,right,monotone_first_loss_mean_skill,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",[],True,3.0,0.012200915450971161,,6.799114649252043,365.0,monotone_first_loss_mean_skill,6.799114649252043,365.0,right-censored at the largest tested gap,mask_seed+training_seed,20,0,2000,1941,0,climatology,frontier_model_vs_climatology,ok
SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,xgboost,T,0.0,left,monotone_first_loss_lower_confidence_bound,left-censored below the smallest tested gap,365.0,right,monotone_first_loss_mean_skill,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",[],True,10.0,0.015252445547469186,,0.0,365.0,monotone_first_loss_mean_skill,0.0,365.0,right-censored at the largest tested gap,mask_seed+training_seed,20,0,2000,951,431,climatology,frontier_model_vs_climatology,ok
SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_hydro,T,0.0,left,monotone_first_loss_lower_confidence_bound,left-censored below the smallest tested gap,0.0,left,monotone_first_loss_mean_skill,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",[],True,14.0,0.005831400616584204,,0.0,61.73771634382104,monotone_first_loss_mean_skill,0.0,61.73771634382104,left-censored below the smallest tested gap,mask_seed+training_seed,20,0,2000,2,1727,climatology,frontier_model_vs_climatology,ok
