left_anchor_id,right_anchor_id,left_station_id,right_station_id,left_center_date,right_center_date,left_season,right_season,left_year,right_year,same_station,same_season,center_date_distance_days,left_window_days,right_window_days,overlap_days,union_days,jaccard,has_temporal_overlap,flag_b1_december_2016_pair,flag_s2_mam_pair,flag_same_center_date_cross_station,flag_nearby_center_date_cross_station,flag_jaccard_ge_0_5,left_anchor_label,right_anchor_label,pair_flags
VALANCHOR-publishedv1-validation-B1-R0101,VALANCHOR-publishedv1-validation-B1-R0102,B1,B1,2016-12-19,2017-03-27,DJF,MAM,2016,2017,True,False,98,180,180,82,278,0.2949640287769784,True,False,False,False,False,False,B1-R0101,B1-R0102,
VALANCHOR-publishedv1-validation-B1-R0101,VALANCHOR-publishedv1-validation-B1-R0103,B1,B1,2016-12-19,2017-07-13,DJF,JJA,2016,2017,True,False,206,180,180,0,360,0.0,False,False,False,False,False,False,B1-R0101,B1-R0103,
VALANCHOR-publishedv1-validation-B1-R0101,VALANCHOR-publishedv1-validation-B1-R0104,B1,B1,2016-12-19,2016-11-13,DJF,SON,2016,2016,True,False,36,180,180,144,216,0.6666666666666666,True,False,False,False,False,True,B1-R0101,B1-R0104,jaccard_ge_0_5
VALANCHOR-publishedv1-validation-B1-R0101,VALANCHOR-publishedv1-validation-B1-R0105,B1,B1,2016-12-19,2016-12-02,DJF,DJF,2016,2016,True,True,17,180,180,163,197,0.8274111675126904,True,True,False,False,False,True,B1-R0101,B1-R0105,b1_december_2016_pair|jaccard_ge_0_5
VALANCHOR-publishedv1-validation-B1-R0102,VALANCHOR-publishedv1-validation-B1-R0103,B1,B1,2017-03-27,2017-07-13,MAM,JJA,2017,2017,True,False,108,180,180,72,288,0.25,True,False,False,False,False,False,B1-R0102,B1-R0103,
VALANCHOR-publishedv1-validation-B1-R0102,VALANCHOR-publishedv1-validation-B1-R0104,B1,B1,2017-03-27,2016-11-13,MAM,SON,2017,2016,True,False,134,180,180,46,314,0.1464968152866242,True,False,False,False,False,False,B1-R0102,B1-R0104,
VALANCHOR-publishedv1-validation-B1-R0102,VALANCHOR-publishedv1-validation-B1-R0105,B1,B1,2017-03-27,2016-12-02,MAM,DJF,2017,2016,True,False,115,180,180,65,295,0.22033898305084745,True,False,False,False,False,False,B1-R0102,B1-R0105,
VALANCHOR-publishedv1-validation-B1-R0103,VALANCHOR-publishedv1-validation-B1-R0104,B1,B1,2017-07-13,2016-11-13,JJA,SON,2017,2016,True,False,242,180,180,0,360,0.0,False,False,False,False,False,False,B1-R0103,B1-R0104,
VALANCHOR-publishedv1-validation-B1-R0103,VALANCHOR-publishedv1-validation-B1-R0105,B1,B1,2017-07-13,2016-12-02,JJA,DJF,2017,2016,True,False,223,180,180,0,360,0.0,False,False,False,False,False,False,B1-R0103,B1-R0105,
VALANCHOR-publishedv1-validation-B1-R0104,VALANCHOR-publishedv1-validation-B1-R0105,B1,B1,2016-11-13,2016-12-02,SON,DJF,2016,2016,True,False,19,180,180,161,199,0.8090452261306532,True,False,False,False,False,True,B1-R0104,B1-R0105,jaccard_ge_0_5
VALANCHOR-publishedv1-validation-P3-R0101,VALANCHOR-publishedv1-validation-P3-R0102,P3,P3,2017-01-19,2017-04-09,DJF,MAM,2017,2017,True,False,80,180,180,100,260,0.38461538461538464,True,False,False,False,False,False,P3-R0101,P3-R0102,
VALANCHOR-publishedv1-validation-P3-R0101,VALANCHOR-publishedv1-validation-P3-R0103,P3,P3,2017-01-19,2017-07-17,DJF,JJA,2017,2017,True,False,179,180,180,1,359,0.002785515320334262,True,False,False,False,False,False,P3-R0101,P3-R0103,
VALANCHOR-publishedv1-validation-P3-R0101,VALANCHOR-publishedv1-validation-P3-R0104,P3,P3,2017-01-19,2016-11-30,DJF,SON,2017,2016,True,False,50,180,180,130,230,0.5652173913043478,True,False,False,False,False,True,P3-R0101,P3-R0104,jaccard_ge_0_5
