stratum_grain,station_id,event_type,season,episode_length,n_event,n_control,n_pairs,n_analysis_eligible,n_unique_event_ids,n_unique_control_ids,matched_1to1,matching_rule,mean_control_match_year_distance,mean_control_match_doy_distance,max_control_match_doy_distance,covariate_status,smd_T,smd_F,smd_Ta,control_rule,abutting_n,abutting_fraction,event_control_gap_status,inference_status,descriptive_only_reason,experiment_family
overall,ALL,ALL,ALL,NA,355,355,355,352,355,355,True,station_season_exact_length,0.022535211267605635,7.580281690140845,81.0,not_in_catalog,NA,NA,NA,station_season_exact_length,296,0.8338028169014085,computed_from_catalog,eligible_for_descriptive_inference,,M7b
station_event_season,B1,flood,DJF,NA,3,3,3,3,3,3,True,station_season_exact_length,0.0,32.0,39.0,not_in_catalog,NA,NA,NA,station_season_exact_length,0,0.0,computed_from_catalog,descriptive_only,n<5,M7b
station_event_season,B1,flood,JJA,NA,3,3,3,3,3,3,True,station_season_exact_length,0.0,38.666666666666664,65.0,not_in_catalog,NA,NA,NA,station_season_exact_length,1,0.3333333333333333,computed_from_catalog,descriptive_only,n<5,M7b
station_event_season,B1,flood,MAM,NA,6,6,6,6,6,6,True,station_season_exact_length,0.0,30.5,50.0,not_in_catalog,NA,NA,NA,station_season_exact_length,2,0.3333333333333333,computed_from_catalog,eligible_for_descriptive_inference,,M7b
station_event_season,B1,flood,SON,NA,6,6,6,6,6,6,True,station_season_exact_length,0.0,20.0,44.0,not_in_catalog,NA,NA,NA,station_season_exact_length,4,0.6666666666666666,computed_from_catalog,eligible_for_descriptive_inference,,M7b
station_event_season,B1,high_temperature,DJF,NA,4,4,4,3,4,4,True,station_season_exact_length,0.0,5.25,11.0,not_in_catalog,NA,NA,NA,station_season_exact_length,3,0.75,computed_from_catalog,descriptive_only,n<5,M7b
station_event_season,B1,high_temperature,JJA,NA,3,3,3,3,3,3,True,station_season_exact_length,0.0,6.333333333333333,8.0,not_in_catalog,NA,NA,NA,station_season_exact_length,3,1.0,computed_from_catalog,descriptive_only,n<5,M7b
station_event_season,B1,high_temperature,MAM,NA,6,6,6,6,6,6,True,station_season_exact_length,0.0,7.333333333333333,12.0,not_in_catalog,NA,NA,NA,station_season_exact_length,6,1.0,computed_from_catalog,eligible_for_descriptive_inference,,M7b
station_event_season,B1,high_temperature,SON,NA,7,7,7,7,7,7,True,station_season_exact_length,0.0,11.571428571428571,20.0,not_in_catalog,NA,NA,NA,station_season_exact_length,7,1.0,computed_from_catalog,eligible_for_descriptive_inference,,M7b
station_event_season,B1,low_flow,JJA,NA,2,2,2,2,2,2,True,station_season_exact_length,0.0,10.0,13.0,not_in_catalog,NA,NA,NA,station_season_exact_length,2,1.0,computed_from_catalog,descriptive_only,n<5,M7b
