scope,station_id,event_type,season,episode_length,n_episodes,n_clusters,n_multi_episode_clusters,largest_cluster_size,effective_n,n_unique_event_dates,inference_status,descriptive_only_reason,experiment_family
overall_date_overlap_clusters,ALL,ALL,ALL,NA,355,80,29,39,80,867,eligible_for_descriptive_inference,,M7b
station_date_overlap_clusters,B1,ALL,ALL,NA,124,72,23,7,72,515,eligible_for_descriptive_inference,,M7b
station_date_overlap_clusters,P3,ALL,ALL,NA,83,39,18,9,39,628,eligible_for_descriptive_inference,,M7b
station_date_overlap_clusters,S2,ALL,ALL,NA,148,108,22,4,108,478,eligible_for_descriptive_inference,,M7b
station_event_season_type_clusters,B1,flood,DJF,NA,3,3,0,1,3,45,descriptive_only,n<5,M7b
station_event_season_type_clusters,B1,flood,JJA,NA,3,3,0,1,3,45,descriptive_only,n<5,M7b
station_event_season_type_clusters,B1,flood,MAM,NA,6,6,0,1,6,90,eligible_for_descriptive_inference,,M7b
station_event_season_type_clusters,B1,flood,SON,NA,6,5,1,2,5,87,eligible_for_descriptive_inference,,M7b
station_event_season_type_clusters,B1,high_temperature,DJF,NA,4,4,0,1,4,28,descriptive_only,n<5,M7b
station_event_season_type_clusters,B1,high_temperature,JJA,NA,3,3,0,1,3,19,descriptive_only,n<5,M7b
station_event_season_type_clusters,B1,high_temperature,MAM,NA,6,6,0,1,6,44,eligible_for_descriptive_inference,,M7b
station_event_season_type_clusters,B1,high_temperature,SON,NA,7,7,0,1,7,81,eligible_for_descriptive_inference,,M7b
station_event_season_type_clusters,B1,low_flow,JJA,NA,2,2,0,1,2,20,descriptive_only,n<5,M7b
station_event_season_type_clusters,B1,low_flow,MAM,NA,1,1,0,1,1,46,descriptive_only,n<5,M7b
station_event_season_type_clusters,B1,low_flow,SON,NA,1,1,0,1,1,9,descriptive_only,n<5,M7b
station_event_season_type_clusters,B1,rapid_warming,DJF,NA,15,15,0,1,15,16,eligible_for_descriptive_inference,,M7b
station_event_season_type_clusters,B1,rapid_warming,JJA,NA,21,21,0,1,21,23,eligible_for_descriptive_inference,,M7b
station_event_season_type_clusters,B1,rapid_warming,MAM,NA,23,23,0,1,23,34,eligible_for_descriptive_inference,,M7b
station_event_season_type_clusters,B1,rapid_warming,SON,NA,23,23,0,1,23,28,eligible_for_descriptive_inference,,M7b
station_event_season_type_clusters,P3,flood,DJF,NA,12,8,4,2,8,157,eligible_for_descriptive_inference,,M7b
station_event_season_type_clusters,P3,flood,JJA,NA,7,5,2,2,5,94,eligible_for_descriptive_inference,,M7b
station_event_season_type_clusters,P3,flood,MAM,NA,9,7,2,2,7,128,eligible_for_descriptive_inference,,M7b
station_event_season_type_clusters,P3,flood,SON,NA,6,4,2,2,4,84,eligible_for_descriptive_inference,,M7b
station_event_season_type_clusters,P3,high_temperature,DJF,NA,3,3,0,1,3,94,descriptive_only,n<5,M7b
station_event_season_type_clusters,P3,high_temperature,SON,NA,3,3,0,1,3,131,descriptive_only,n<5,M7b
station_event_season_type_clusters,P3,low_flow,JJA,NA,2,2,0,1,2,21,descriptive_only,n<5,M7b
station_event_season_type_clusters,P3,low_flow,SON,NA,2,2,0,1,2,16,descriptive_only,n<5,M7b
station_event_season_type_clusters,P3,rapid_warming,DJF,NA,7,7,0,1,7,8,eligible_for_descriptive_inference,,M7b
station_event_season_type_clusters,P3,rapid_warming,JJA,NA,10,10,0,1,10,11,eligible_for_descriptive_inference,,M7b
station_event_season_type_clusters,P3,rapid_warming,MAM,NA,3,3,0,1,3,3,descriptive_only,n<5,M7b
station_event_season_type_clusters,P3,rapid_warming,SON,NA,19,19,0,1,19,22,eligible_for_descriptive_inference,,M7b
station_event_season_type_clusters,S2,flood,DJF,NA,3,3,0,1,3,45,descriptive_only,n<5,M7b
station_event_season_type_clusters,S2,flood,JJA,NA,4,3,1,2,3,56,descriptive_only,n<5,M7b
station_event_season_type_clusters,S2,flood,MAM,NA,4,4,0,1,4,60,descriptive_only,n<5,M7b
station_event_season_type_clusters,S2,flood,SON,NA,6,6,0,1,6,90,eligible_for_descriptive_inference,,M7b
station_event_season_type_clusters,S2,high_temperature,DJF,NA,4,4,0,1,4,19,descriptive_only,n<5,M7b
station_event_season_type_clusters,S2,high_temperature,JJA,NA,1,1,0,1,1,4,descriptive_only,n<5,M7b
station_event_season_type_clusters,S2,high_temperature,MAM,NA,5,5,0,1,5,35,eligible_for_descriptive_inference,,M7b
station_event_season_type_clusters,S2,high_temperature,SON,NA,3,3,0,1,3,49,descriptive_only,n<5,M7b
station_event_season_type_clusters,S2,low_flow,JJA,NA,2,2,0,1,2,22,descriptive_only,n<5,M7b
station_event_season_type_clusters,S2,low_flow,SON,NA,1,1,0,1,1,8,descriptive_only,n<5,M7b
station_event_season_type_clusters,S2,rapid_warming,DJF,NA,45,45,0,1,45,62,eligible_for_descriptive_inference,,M7b
station_event_season_type_clusters,S2,rapid_warming,JJA,NA,24,24,0,1,24,26,eligible_for_descriptive_inference,,M7b
station_event_season_type_clusters,S2,rapid_warming,MAM,NA,27,27,0,1,27,31,eligible_for_descriptive_inference,,M7b
station_event_season_type_clusters,S2,rapid_warming,SON,NA,19,19,0,1,19,23,eligible_for_descriptive_inference,,M7b
