network_id,station_id,reason
huc8_02020006,01359139,materialized target-site Ta and approved F are required
huc8_02040205,01480065,materialized target-site Ta and approved F are required
huc8_02050305,0157155010,materialized target-site Ta and approved F are required
huc8_04060102,04121660,materialized target-site Ta and approved F are required
huc8_04060102,04121680,materialized target-site Ta and approved F are required
huc8_04070007,04137020,materialized target-site Ta and approved F are required
huc8_04070007,04137025,materialized target-site Ta and approved F are required
huc8_04070007,04137030,materialized target-site Ta and approved F are required
huc8_05010007,03043810,materialized target-site Ta and approved F are required
huc8_05040001,03119341,materialized target-site Ta and approved F are required
huc8_05040001,03119971,materialized target-site Ta and approved F are required
huc8_05040001,03119979,materialized target-site Ta and approved F are required
huc8_05040001,03120820,materialized target-site Ta and approved F are required
huc8_05040001,03120869,materialized target-site Ta and approved F are required
huc8_05040001,03120961,materialized target-site Ta and approved F are required
huc8_05040001,03125338,insufficient timestamp-aligned Ta/F training rows
huc8_05040001,03126395,materialized target-site Ta and approved F are required
huc8_05040001,03127980,materialized target-site Ta and approved F are required
huc8_05040001,03127986,materialized target-site Ta and approved F are required
huc8_05040001,03127989,materialized target-site Ta and approved F are required
huc8_05040005,03140853,materialized target-site Ta and approved F are required
huc8_05040005,03140900,materialized target-site Ta and approved F are required
huc8_05040005,03140950,materialized target-site Ta and approved F are required
huc8_05130202,03431083,materialized target-site Ta and approved F are required
huc8_05130202,03431091,materialized target-site Ta and approved F are required
huc8_05130202,03431514,materialized target-site Ta and approved F are required
huc8_05140101,03293500,materialized target-site Ta and approved F are required
huc8_05140101,03293530,materialized target-site Ta and approved F are required
huc8_05140102,03293510,insufficient timestamp-aligned Ta/F training rows
huc8_10230006,410333095530101,materialized target-site Ta and approved F are required
huc8_10230006,412126095565201,materialized target-site Ta and approved F are required
huc8_10300101,06893060,materialized target-site Ta and approved F are required
huc8_15030108,09522005,materialized target-site Ta and approved F are required
huc8_15030108,09534000,materialized target-site Ta and approved F are required
huc8_15030108,09534550,materialized target-site Ta and approved F are required
huc8_16050102,10350500,materialized target-site Ta and approved F are required
huc8_03040206,02110725,materialized target-site Ta and approved F are required
huc8_03040206,02110802,materialized target-site Ta and approved F are required
huc8_03040206,021108125,materialized target-site Ta and approved F are required
huc8_03050106,02160991,materialized target-site Ta and approved F are required
huc8_03050109,02167600,materialized target-site Ta and approved F are required
huc8_03050109,02167716,materialized target-site Ta and approved F are required
huc8_03070103,02203603,materialized target-site Ta and approved F are required
huc8_03080103,02246459,insufficient timestamp-aligned Ta/F training rows
huc8_03080103,02246500,insufficient timestamp-aligned Ta/F training rows
huc8_03080103,02246518,insufficient timestamp-aligned Ta/F training rows
huc8_03080103,02246751,insufficient timestamp-aligned Ta/F training rows
huc8_03080103,300803081354500,materialized target-site Ta and approved F are required
huc8_03080103,301124081395901,materialized target-site Ta and approved F are required
huc8_03080103,301204081434900,materialized target-site Ta and approved F are required
huc8_03080103,302309081333001,materialized target-site Ta and approved F are required
huc8_03090101,02266495,materialized target-site Ta and approved F are required
huc8_03090204,02290928,materialized target-site Ta and approved F are required
huc8_03090204,02290930,materialized target-site Ta and approved F are required
huc8_03090204,255654081350200,materialized target-site Ta and approved F are required
huc8_03090204,255726081303700,materialized target-site Ta and approved F are required
huc8_03100101,02297345,materialized target-site Ta and approved F are required
huc8_03100101,02297350,materialized target-site Ta and approved F are required
huc8_03100101,02297460,materialized target-site Ta and approved F are required
huc8_03100204,02301721,materialized target-site Ta and approved F are required
huc8_03100205,02304000,insufficient timestamp-aligned Ta/F training rows
huc8_03100205,02304510,insufficient timestamp-aligned Ta/F training rows
huc8_03100205,023060013,materialized target-site Ta and approved F are required
huc8_03100205,02306028,materialized target-site Ta and approved F are required
huc8_03100207,02310673,materialized target-site Ta and approved F are required
huc8_03100207,02310674,materialized target-site Ta and approved F are required
huc8_03100207,02310690,materialized target-site Ta and approved F are required
huc8_03100207,02310742,materialized target-site Ta and approved F are required
huc8_03100207,02310752,materialized target-site Ta and approved F are required
huc8_03100207,02313272,materialized target-site Ta and approved F are required
huc8_03100207,285531082412600,materialized target-site Ta and approved F are required
huc8_03150104,02394682,insufficient timestamp-aligned Ta/F training rows
huc8_11010014,07076000,materialized target-site Ta and approved F are required
huc8_11020002,07099400,materialized target-site Ta and approved F are required
huc8_11020002,07099969,materialized target-site Ta and approved F are required
huc8_11030012,375350097262800,materialized target-site Ta and approved F are required
