risk_model,phase,network_id,network_uid,huc2,climate_band,climate_group,regulation_stratum,n_stations
fitting_period_empirical,development,huc8_01070004,development::huc8_01070004,01,humid_continental,humid,regulated,3
fitting_period_empirical,development,huc8_01090001,development::huc8_01090001,01,humid_continental,humid,regulated,9
fitting_period_empirical,development,huc8_01090004,development::huc8_01090004,01,humid_continental,humid,unregulated,9
fitting_period_empirical,development,huc8_02020006,development::huc8_02020006,02,humid_continental,humid,unregulated,3
fitting_period_empirical,development,huc8_02040106,development::huc8_02040106,02,humid_continental,humid,regulated,5
fitting_period_empirical,development,huc8_02040205,development::huc8_02040205,02,humid_continental,humid,regulated,8
fitting_period_empirical,development,huc8_02060003,development::huc8_02060003,02,humid_continental,humid,regulated,4
fitting_period_empirical,development,huc8_02070002,development::huc8_02070002,02,humid_continental,humid,regulated,3
fitting_period_empirical,development,huc8_02070010,development::huc8_02070010,02,humid_continental,humid,unregulated,4
fitting_period_empirical,development,huc8_03040206,development::huc8_03040206,03,humid_subtropical,humid,unregulated,4
fitting_period_empirical,development,huc8_03050106,development::huc8_03050106,03,humid_subtropical,humid,regulated,3
fitting_period_empirical,development,huc8_03050109,development::huc8_03050109,03,humid_subtropical,humid,regulated,5
fitting_period_empirical,development,huc8_03070101,development::huc8_03070101,03,humid_subtropical,humid,unregulated,3
fitting_period_empirical,development,huc8_03070103,development::huc8_03070103,03,humid_subtropical,humid,regulated,19
fitting_period_empirical,development,huc8_03080103,development::huc8_03080103,03,humid_subtropical,humid,regulated,16
fitting_period_empirical,development,huc8_03090101,development::huc8_03090101,03,humid_subtropical,humid,unregulated,5
fitting_period_empirical,development,huc8_03090204,development::huc8_03090204,03,humid_subtropical,humid,unmatched_gages,7
fitting_period_empirical,development,huc8_03100101,development::huc8_03100101,03,humid_subtropical,humid,unregulated,4
fitting_period_empirical,development,huc8_03100204,development::huc8_03100204,03,humid_subtropical,humid,regulated,3
fitting_period_empirical,development,huc8_03100205,development::huc8_03100205,03,humid_subtropical,humid,regulated,5
fitting_period_empirical,development,huc8_03100207,development::huc8_03100207,03,humid_subtropical,humid,unregulated,12
fitting_period_empirical,development,huc8_03150104,development::huc8_03150104,03,humid_subtropical,humid,regulated,5
fitting_period_empirical,development,huc8_03160111,development::huc8_03160111,03,humid_subtropical,humid,unregulated,5
fitting_period_empirical,development,huc8_04020105,development::huc8_04020105,04,humid_continental,humid,unregulated,3
fitting_period_empirical,development,huc8_04040003,development::huc8_04040003,04,humid_continental,humid,unregulated,3
fitting_period_empirical,development,huc8_04060102,development::huc8_04060102,04,humid_continental,humid,regulated,5
fitting_period_empirical,development,huc8_04060103,development::huc8_04060103,04,humid_continental,humid,regulated,4
fitting_period_empirical,development,huc8_04070007,development::huc8_04070007,04,humid_continental,humid,regulated,8
fitting_period_empirical,development,huc8_05010005,development::huc8_05010005,05,humid_continental,humid,regulated,4
fitting_period_empirical,development,huc8_05010006,development::huc8_05010006,05,humid_continental,humid,regulated,5
fitting_period_empirical,development,huc8_05010007,development::huc8_05010007,05,humid_continental,humid,regulated,4
fitting_period_empirical,development,huc8_05020001,development::huc8_05020001,05,humid_continental,humid,regulated,3
fitting_period_empirical,development,huc8_05020005,development::huc8_05020005,05,humid_continental,humid,regulated,4
fitting_period_empirical,development,huc8_05020006,development::huc8_05020006,05,humid_continental,humid,regulated,5
fitting_period_empirical,development,huc8_05030102,development::huc8_05030102,05,humid_continental,humid,regulated,5
fitting_period_empirical,development,huc8_05040001,development::huc8_05040001,05,humid_continental,humid,unmatched_gages,11
fitting_period_empirical,development,huc8_05040005,development::huc8_05040005,05,humid_continental,humid,unmatched_gages,3
fitting_period_empirical,development,huc8_05090203,development::huc8_05090203,05,humid_continental,humid,unregulated,3
fitting_period_empirical,development,huc8_05120201,development::huc8_05120201,05,humid_continental,humid,regulated,5
fitting_period_empirical,development,huc8_05130202,development::huc8_05130202,05,humid_continental,humid,unmatched_gages,3
fitting_period_empirical,development,huc8_05140101,development::huc8_05140101,05,humid_continental,humid,unregulated,8
fitting_period_empirical,development,huc8_05140102,development::huc8_05140102,05,humid_continental,humid,unregulated,13
fitting_period_empirical,development,huc8_07040006,development::huc8_07040006,07,humid_continental,humid,unregulated,4
fitting_period_empirical,development,huc8_10230006,development::huc8_10230006,10,cold_semiarid,arid_semiarid,unmatched_gages,3
fitting_period_empirical,development,huc8_10300101,development::huc8_10300101,10,cold_semiarid,arid_semiarid,regulated,5
fitting_period_empirical,development,huc8_11010014,development::huc8_11010014,11,humid_subtropical,humid,regulated,3
fitting_period_empirical,development,huc8_11020002,development::huc8_11020002,11,humid_subtropical,humid,regulated,5
fitting_period_empirical,development,huc8_11030012,development::huc8_11030012,11,humid_subtropical,humid,regulated,3
fitting_period_empirical,development,huc8_13060011,development::huc8_13060011,13,cold_arid_highland,arid_semiarid,unmatched_gages,3
fitting_period_empirical,development,huc8_16020102,development::huc8_16020102,16,cold_semiarid,arid_semiarid,unregulated,3
fitting_period_empirical,development,huc8_16050102,development::huc8_16050102,16,cold_semiarid,arid_semiarid,regulated,3
fitting_period_empirical,first,huc8_02040101,first::huc8_02040101,02,humid_continental,humid,regulated,7
fitting_period_empirical,first,huc8_02040102,first::huc8_02040102,02,humid_continental,humid,regulated,3
fitting_period_empirical,first,huc8_02040104,first::huc8_02040104,02,humid_continental,humid,regulated,8
fitting_period_empirical,first,huc8_03010107,first::huc8_03010107,03,humid_subtropical,humid,unmatched_gages,4
fitting_period_empirical,first,huc8_03110206,first::huc8_03110206,03,humid_subtropical,humid,unregulated,5
fitting_period_empirical,first,huc8_03150202,first::huc8_03150202,03,humid_subtropical,humid,regulated,5
fitting_period_empirical,first,huc8_05030103,first::huc8_05030103,05,humid_continental,humid,regulated,9
fitting_period_empirical,first,huc8_10020007,first::huc8_10020007,10,cold_semiarid,arid_semiarid,regulated,9
fitting_period_empirical,first,huc8_17060306,first::huc8_17060306,17,marine_west_coast,maritime,regulated,4
fitting_period_empirical,first,huc8_17090001,first::huc8_17090001,17,marine_west_coast,maritime,regulated,10
fitting_period_empirical,first,huc8_17090002,first::huc8_17090002,17,marine_west_coast,maritime,regulated,5
fitting_period_empirical,first,huc8_17090003,first::huc8_17090003,17,marine_west_coast,maritime,regulated,6
fitting_period_empirical,first,huc8_17090004,first::huc8_17090004,17,marine_west_coast,maritime,regulated,18
fitting_period_empirical,first,usgs_arkansas_river_huc11,first::usgs_arkansas_river_huc11,11,humid_subtropical,humid,regulated,3
fitting_period_empirical,first,usgs_missouri_river_huc10,first::usgs_missouri_river_huc10,10,cold_semiarid,arid_semiarid,regulated,9
fitting_period_empirical,first,usgs_snake_river_huc4_1704,first::usgs_snake_river_huc4_1704,17,marine_west_coast,maritime,regulated,6
fitting_period_empirical,first,usgs_snake_river_huc4_1706,first::usgs_snake_river_huc4_1706,17,marine_west_coast,maritime,unmatched_gages,5
fitting_period_empirical,second,usgs2_huc2_08,second::usgs2_huc2_08,08,unspecified,other,regulated,5
fitting_period_empirical,second,usgs2_huc2_12,second::usgs2_huc2_12,12,subtropical_semiarid,arid_semiarid,regulated,8
fitting_period_empirical,second,usgs2_huc2_15,second::usgs2_huc2_15,15,hot_arid,arid_semiarid,regulated,5
fitting_period_empirical,second,usgs2_huc2_18,second::usgs2_huc2_18,18,mediterranean,maritime,regulated,8
fitting_period_empirical,second,usgs2_huc4_0306,second::usgs2_huc4_0306,03,humid_subtropical,humid,unmatched_gages,3
fitting_period_empirical,second,usgs2_huc4_0401,second::usgs2_huc4_0401,04,humid_continental,humid,regulated,3
fitting_period_empirical,second,usgs2_huc4_0601,second::usgs2_huc4_0601,06,humid_subtropical,humid,regulated,3
fitting_period_empirical,second,usgs2_huc4_1111,second::usgs2_huc4_1111,11,humid_subtropical,humid,regulated,4
fitting_period_empirical,second,usgs2_huc4_1705,second::usgs2_huc4_1705,17,marine_west_coast,maritime,unmatched_gages,3
