network_id,provider,domain,qc_status,complete_enough
chmi_berounka,chmi,czechia,qualified,True
chmi_blanice,chmi,czechia,qualified,True
chmi_botic,chmi,czechia,qualified,True
chmi_dyje,chmi,czechia,qualified,True
chmi_jizera,chmi,czechia,qualified,True
chmi_kamenice,chmi,czechia,qualified,True
chmi_labe,chmi,czechia,qualified,True
chmi_luznice,chmi,czechia,qualified,True
chmi_morava,chmi,czechia,qualified,True
chmi_odra,chmi,czechia,qualified,True
chmi_otava,chmi,czechia,qualified,True
chmi_sazava,chmi,czechia,qualified,True
chmi_smeda,chmi,czechia,qualified,True
chmi_vltava,chmi,czechia,qualified,True
chmi_zelivka,chmi,czechia,qualified,True
huc8_17090012,usgs,united_states,qualified,True
nve_basin_103,nve_hydapi,norway,qualified,True
nve_basin_124,nve_hydapi,norway,qualified,True
nve_basin_16,nve_hydapi,norway,qualified,True
nve_basin_2,nve_hydapi,norway,qualified,True
nve_basin_212,nve_hydapi,norway,qualified,True
nve_basin_26,nve_hydapi,norway,qualified,True
nve_basin_311,nve_hydapi,norway,qualified,True
nve_basin_76,nve_hydapi,norway,qualified,True
nve_basin_78,nve_hydapi,norway,qualified,True
nve_basin_88,nve_hydapi,norway,qualified,True
usgs2_huc2_08,usgs,united_states,qualified,True
usgs2_huc2_12,usgs,united_states,qualified,True
usgs2_huc2_15,usgs,united_states,qualified,True
usgs2_huc2_18,usgs,united_states,qualified,True
usgs2_huc4_0306,usgs,united_states,qualified,True
usgs2_huc4_0401,usgs,united_states,qualified,True
usgs2_huc4_0601,usgs,united_states,qualified,True
usgs2_huc4_1111,usgs,united_states,qualified,True
usgs2_huc4_1705,usgs,united_states,qualified,True
usgs2_huc4_1707,usgs,united_states,qualified,True
usgs2_huc4_1903,usgs,united_states,qualified,True
usgs2_huc6_010802,usgs,united_states,qualified,True
usgs2_huc6_020502,usgs,united_states,qualified,True
usgs2_huc6_030502,usgs,united_states,qualified,True
usgs2_huc6_031300,usgs,united_states,qualified,True
usgs2_huc6_031700,usgs,united_states,qualified,True
usgs2_huc6_040301,usgs,united_states,qualified,True
usgs2_huc6_040500,usgs,united_states,qualified,True
usgs2_huc6_060102,usgs,united_states,qualified,True
usgs2_huc6_070300,usgs,united_states,qualified,True
usgs2_huc6_070900,usgs,united_states,qualified,True
usgs2_huc6_071300,usgs,united_states,qualified,True
usgs2_huc6_071401,usgs,united_states,qualified,True
usgs2_huc6_120301,usgs,united_states,qualified,True
usgs2_huc6_120800,usgs,united_states,qualified,True
usgs2_huc6_121003,usgs,united_states,qualified,True
usgs2_huc6_140300,usgs,united_states,qualified,True
usgs2_huc6_170102,usgs,united_states,qualified,True
usgs2_huc6_170703,usgs,united_states,qualified,True
usgs2_huc6_171003,usgs,united_states,qualified,True
usgs2_huc6_180102,usgs,united_states,qualified,True
usgs2_huc6_180201,usgs,united_states,qualified,True
usgs_red_river_of_the_north_huc4_0902,usgs,united_states,qualified,True
usgs_snake_river_huc4_1705,usgs,united_states,qualified,True
