network_id,provider,river_group,n_requested_stations,n_stations_with_values,n_eligible_stations,n_daily_rows,n_concurrent_days,overlap_start,overlap_end,overlap_years,complete_enough,qc_status,source_error_type,source_error
nve_basin_124,nve_hydapi,NVE drainage basin 124,8.0,8.0,4.0,4280.0,3930.0,1994-06-28,2006-04-26,11.827515400410675,True,qualified,,
nve_basin_16,nve_hydapi,NVE drainage basin 16,8.0,8.0,8.0,3781.0,3781.0,2005-06-08,2015-10-14,10.349075975359344,True,qualified,,
nve_basin_2,nve_hydapi,NVE drainage basin 2,8.0,8.0,4.0,4271.0,3860.0,2013-03-16,2023-11-14,10.663928815879537,True,qualified,,
nve_basin_212,nve_hydapi,NVE drainage basin 212,8.0,8.0,3.0,3203.0,3149.0,1998-12-11,2007-09-09,8.744695414099931,True,qualified,,
nve_basin_12,nve_hydapi,NVE drainage basin 12,,,,,,,,,False,source_download_failed,KeyError,'temperature_c'
nve_basin_27,nve_hydapi,NVE drainage basin 27,6.0,2.0,2.0,3667.0,0.0,,,0.0,False,daily_qc_not_qualified,,
nve_basin_109,nve_hydapi,NVE drainage basin 109,5.0,2.0,0.0,0.0,0.0,,,0.0,False,daily_qc_not_qualified,,
nve_basin_15,nve_hydapi,NVE drainage basin 15,5.0,4.0,0.0,0.0,0.0,,,0.0,False,daily_qc_not_qualified,,
nve_basin_234,nve_hydapi,NVE drainage basin 234,5.0,5.0,1.0,3590.0,0.0,,,0.0,False,daily_qc_not_qualified,,
nve_basin_26,nve_hydapi,NVE drainage basin 26,5.0,5.0,4.0,4383.0,4341.0,2000-11-22,2012-11-21,11.997262149212869,True,qualified,,
nve_basin_78,nve_hydapi,NVE drainage basin 78,5.0,5.0,4.0,4383.0,4359.0,2007-04-29,2019-04-11,11.950718685831625,True,qualified,,
nve_basin_84,nve_hydapi,NVE drainage basin 84,5.0,3.0,2.0,3839.0,0.0,,,0.0,False,daily_qc_not_qualified,,
nve_basin_88,nve_hydapi,NVE drainage basin 88,5.0,5.0,4.0,4383.0,4069.0,2001-11-26,2013-11-25,11.997262149212869,True,qualified,,
nve_basin_103,nve_hydapi,NVE drainage basin 103,4.0,4.0,4.0,3614.0,3414.0,2013-11-01,2023-04-03,9.418206707734427,True,qualified,,
nve_basin_123,nve_hydapi,NVE drainage basin 123,4.0,4.0,0.0,0.0,0.0,,,0.0,False,daily_qc_not_qualified,,
nve_basin_196,nve_hydapi,NVE drainage basin 196,4.0,2.0,0.0,0.0,0.0,,,0.0,False,daily_qc_not_qualified,,
nve_basin_76,nve_hydapi,NVE drainage basin 76,4.0,4.0,3.0,4340.0,3181.0,2007-11-27,2019-11-26,11.997262149212867,True,qualified,,
nve_basin_112,nve_hydapi,NVE drainage basin 112,3.0,3.0,2.0,3701.0,0.0,,,0.0,False,daily_qc_not_qualified,,
nve_basin_121,nve_hydapi,NVE drainage basin 121,3.0,2.0,2.0,3608.0,0.0,,,0.0,False,daily_qc_not_qualified,,
nve_basin_151,nve_hydapi,NVE drainage basin 151,3.0,3.0,1.0,3108.0,0.0,,,0.0,False,daily_qc_not_qualified,,
nve_basin_161,nve_hydapi,NVE drainage basin 161,3.0,3.0,0.0,0.0,0.0,,,0.0,False,daily_qc_not_qualified,,
nve_basin_167,nve_hydapi,NVE drainage basin 167,3.0,2.0,0.0,0.0,0.0,,,0.0,False,daily_qc_not_qualified,,
nve_basin_311,nve_hydapi,NVE drainage basin 311,3.0,3.0,3.0,3644.0,3229.0,2013-08-19,2022-08-14,8.985626283367557,True,qualified,,
nve_basin_36,nve_hydapi,NVE drainage basin 36,3.0,3.0,2.0,4250.0,0.0,,,0.0,False,daily_qc_not_qualified,,
nve_basin_400,nve_hydapi,NVE drainage basin 400,3.0,2.0,0.0,0.0,0.0,,,0.0,False,daily_qc_not_qualified,,
nve_basin_55,nve_hydapi,NVE drainage basin 55,3.0,1.0,0.0,0.0,0.0,,,0.0,False,daily_qc_not_qualified,,
nve_basin_70,nve_hydapi,NVE drainage basin 70,3.0,3.0,0.0,0.0,0.0,,,0.0,False,daily_qc_not_qualified,,
nve_basin_74,nve_hydapi,NVE drainage basin 74,3.0,3.0,2.0,3614.0,0.0,,,0.0,False,daily_qc_not_qualified,,
nve_basin_79,nve_hydapi,NVE drainage basin 79,3.0,3.0,2.0,3695.0,0.0,,,0.0,False,daily_qc_not_qualified,,
nve_basin_86,nve_hydapi,NVE drainage basin 86,3.0,3.0,0.0,0.0,0.0,,,0.0,False,daily_qc_not_qualified,,
