model,moderator,level,station_gap_spearman,network_spearman,calibration_intercept,calibration_slope,n_networks,n_station_gaps,descriptive_only
simple_descriptors,provider,chmi,0.9214202636904565,0.7499999999999999,-0.23240271804521032,1.1640941830482792,15.0,478.0,True
simple_descriptors,provider,nve_hydapi,0.8665149150749945,0.8181818181818182,-0.2672982546587747,0.9820558275069928,10.0,265.0,True
simple_descriptors,provider,usgs,0.7546837990916937,0.4670087976539589,0.22887548802493327,0.8996271994973589,32.0,703.0,True
simple_descriptors,domain,czechia,0.9214202636904565,0.7499999999999999,-0.23240271804521032,1.1640941830482792,15.0,478.0,True
simple_descriptors,domain,norway,0.8665149150749945,0.8181818181818182,-0.2672982546587747,0.9820558275069928,10.0,265.0,True
simple_descriptors,domain,united_states,0.7546837990916937,0.4670087976539589,0.22887548802493327,0.8996271994973589,32.0,703.0,True
simple_descriptors,network_size_group,3_to_4,0.78004746059625,0.53446088794926,0.07146706525489198,0.9673912111344932,44.0,942.0,True
simple_descriptors,network_size_group,5_to_7,0.9013353100948311,0.7818181818181819,-0.30186506771620436,1.1986470989149856,11.0,392.0,True
simple_descriptors,network_size_group,8_plus,0.9433662486759833,0.9999999999999999,-0.2717126600257672,1.0688134460018524,2.0,112.0,True
fitting_period_empirical_all_cells,provider,chmi,0.6935783481127858,0.9428571428571427,0.33227580939899215,1.0985346542145222,15.0,478.0,True
fitting_period_empirical_all_cells,provider,nve_hydapi,0.7721683536534151,0.7212121212121211,0.05931414836085024,1.1037783421879026,10.0,265.0,True
fitting_period_empirical_all_cells,provider,usgs,0.7212916353948375,0.6359970674486803,0.36103641325171026,0.8266177437228313,32.0,703.0,True
fitting_period_empirical_all_cells,domain,czechia,0.6935783481127858,0.9428571428571427,0.33227580939899215,1.0985346542145222,15.0,478.0,True
fitting_period_empirical_all_cells,domain,norway,0.7721683536534151,0.7212121212121211,0.05931414836085024,1.1037783421879026,10.0,265.0,True
fitting_period_empirical_all_cells,domain,united_states,0.7212916353948375,0.6359970674486803,0.36103641325171026,0.8266177437228313,32.0,703.0,True
fitting_period_empirical_all_cells,network_size_group,3_to_4,0.739746449441215,0.731782945736434,0.2656472982698277,0.9520742541973913,44.0,942.0,True
fitting_period_empirical_all_cells,network_size_group,5_to_7,0.7612236795999389,0.7363636363636363,0.29940185824934684,0.9614958401047649,11.0,392.0,True
fitting_period_empirical_all_cells,network_size_group,8_plus,0.6488612769073873,0.9999999999999999,0.6162125908847156,0.8778589385005693,2.0,112.0,True
