network_id,target_station,donor_station,gap_length,realized_mae,n_placements
chmi_berounka,0-203-1-186000,0-203-1-187200,90,1.1268626537575916,20
chmi_berounka,0-203-1-186000,0-203-1-194500,90,1.4672606319541945,20
chmi_berounka,0-203-1-186000,0-203-1-198000,90,1.3271849694902462,20
chmi_berounka,0-203-1-186000,0-203-1-198600,90,1.327516814131723,20
chmi_berounka,0-203-1-187200,0-203-1-186000,90,1.1797371373578573,20
chmi_berounka,0-203-1-187200,0-203-1-194500,90,1.4152285467796817,20
chmi_berounka,0-203-1-187200,0-203-1-198000,90,1.3434551083907436,20
chmi_berounka,0-203-1-187200,0-203-1-198600,90,1.3028825969870683,20
chmi_berounka,0-203-1-194500,0-203-1-186000,90,1.6002877317258304,20
chmi_berounka,0-203-1-194500,0-203-1-187200,90,1.562046192167738,20
chmi_berounka,0-203-1-194500,0-203-1-198000,90,1.5490926641894596,20
chmi_berounka,0-203-1-194500,0-203-1-198600,90,1.5140240288059907,20
chmi_berounka,0-203-1-198000,0-203-1-186000,90,1.7482567174469643,20
chmi_berounka,0-203-1-198000,0-203-1-187200,90,1.7579927343040271,20
chmi_berounka,0-203-1-198000,0-203-1-194500,90,1.8324769292122158,20
chmi_berounka,0-203-1-198000,0-203-1-198600,90,1.3296359322836135,20
chmi_berounka,0-203-1-198600,0-203-1-186000,90,1.586334040072742,20
chmi_berounka,0-203-1-198600,0-203-1-187200,90,1.5420681885702914,20
chmi_berounka,0-203-1-198600,0-203-1-194500,90,1.5940640715052499,20
chmi_berounka,0-203-1-198600,0-203-1-198000,90,1.2746079347470922,20
chmi_botic,0-203-1-200480,0-203-1-200550,90,1.1598449869702179,20
chmi_botic,0-203-1-200480,0-203-1-200580,90,1.099234897440673,20
chmi_botic,0-203-1-200480,0-203-1-200590,90,1.4018849327085665,20
chmi_botic,0-203-1-200480,0-203-1-200600,90,1.116179815026507,20
chmi_botic,0-203-1-200550,0-203-1-200480,90,1.2274031009214972,20
chmi_botic,0-203-1-200550,0-203-1-200580,90,1.168083728145478,20
chmi_botic,0-203-1-200550,0-203-1-200590,90,1.5673425508476126,20
chmi_botic,0-203-1-200550,0-203-1-200600,90,1.1716136162026074,20
chmi_botic,0-203-1-200580,0-203-1-200480,90,1.075691139961036,20
chmi_botic,0-203-1-200580,0-203-1-200550,90,1.0866052857939814,20
chmi_botic,0-203-1-200580,0-203-1-200590,90,1.4268428104860098,20
chmi_botic,0-203-1-200580,0-203-1-200600,90,1.0642230173130822,20
chmi_botic,0-203-1-200590,0-203-1-200480,90,1.6583760497243483,20
chmi_botic,0-203-1-200590,0-203-1-200550,90,1.6600366981828678,20
chmi_botic,0-203-1-200590,0-203-1-200580,90,1.6616071467992555,20
chmi_botic,0-203-1-200590,0-203-1-200600,90,1.6302563384522941,20
chmi_botic,0-203-1-200600,0-203-1-200480,90,1.2706369025636008,20
chmi_botic,0-203-1-200600,0-203-1-200550,90,1.2760890312903947,20
chmi_botic,0-203-1-200600,0-203-1-200580,90,1.230470262954592,20
chmi_botic,0-203-1-200600,0-203-1-200590,90,1.6336286236789284,20
chmi_jizera,0-203-1-084500,0-203-1-091000,90,1.283675635540865,20
chmi_jizera,0-203-1-084500,0-203-1-098000,90,1.5672103332050191,20
chmi_jizera,0-203-1-084500,0-203-1-099900,90,1.7254505007872616,20
chmi_jizera,0-203-1-084500,0-203-1-101800,90,1.6644100962882393,20
chmi_jizera,0-203-1-091000,0-203-1-084500,90,1.2788010889527874,20
chmi_jizera,0-203-1-091000,0-203-1-098000,90,1.481260196265869,20
chmi_jizera,0-203-1-091000,0-203-1-099900,90,1.598838554292509,20
chmi_jizera,0-203-1-091000,0-203-1-101800,90,1.543161596394751,20
chmi_jizera,0-203-1-098000,0-203-1-084500,90,1.39013721572792,20
chmi_jizera,0-203-1-098000,0-203-1-091000,90,1.342170403844515,20
