source_station,target_station,variable,lag_days,lag_definition,period,raw_correlation,raw_n_pairs,anomaly_correlation,anomaly_n_pairs,selected_series,selected_correlation
B1,P3,F,3,positive=source_leads_target,train,0.9467961500441061,3649,0.801974382618576,3649,raw,0.9467961500441061
B1,P3,F,3,positive=source_leads_target,train,0.9467961500441061,3649,0.801974382618576,3649,anomaly,0.801974382618576
B1,P3,L,3,positive=source_leads_target,train,0.9556190101209073,3649,0.7700684487956251,3649,raw,0.9556190101209073
B1,P3,L,3,positive=source_leads_target,train,0.9556190101209073,3649,0.7700684487956251,3649,anomaly,0.7700684487956251
B1,P3,T,4,positive=source_leads_target,train,0.9538665046777549,3648,0.30952483044633755,3648,raw,0.9538665046777549
B1,P3,T,3,positive=source_leads_target,train,0.9535770242714088,3649,0.31240812325457323,3649,anomaly,0.31240812325457323
B1,S2,F,1,positive=source_leads_target,train,0.9866717216602033,3651,0.9510092519657681,3651,raw,0.9866717216602033
B1,S2,F,1,positive=source_leads_target,train,0.9866717216602033,3651,0.9510092519657681,3651,anomaly,0.9510092519657681
B1,S2,L,1,positive=source_leads_target,train,0.9899786570072562,3651,0.9489511269667632,3651,raw,0.9899786570072562
B1,S2,L,1,positive=source_leads_target,train,0.9899786570072562,3651,0.9489511269667632,3651,anomaly,0.9489511269667632
B1,S2,T,1,positive=source_leads_target,train,0.9899925742143586,3651,0.7097675493199923,3651,raw,0.9899925742143586
B1,S2,T,1,positive=source_leads_target,train,0.9899925742143586,3651,0.7097675493199923,3651,anomaly,0.7097675493199923
S2,P3,F,2,positive=source_leads_target,train,0.9759783321014589,3650,0.89248559512206,3650,raw,0.9759783321014589
S2,P3,F,1,positive=source_leads_target,train,0.9755615694753623,3651,0.8937677830369595,3651,anomaly,0.8937677830369595
S2,P3,L,2,positive=source_leads_target,train,0.9733723598672192,3650,0.8493977236672402,3650,raw,0.9733723598672192
S2,P3,L,1,positive=source_leads_target,train,0.9727101025904996,3651,0.8496746978136158,3651,anomaly,0.8496746978136158
S2,P3,T,3,positive=source_leads_target,train,0.9584271276589394,3649,0.3146591384496884,3649,raw,0.9584271276589394
S2,P3,T,2,positive=source_leads_target,train,0.9578686417893841,3650,0.32200523327475095,3650,anomaly,0.32200523327475095
