station_id,variable,season,count,mean_anomaly,std_anomaly,q10_anomaly,q90_anomaly,max_absolute_anomaly
B1,DH,DJF,1354,-0.556314623338257,1.6913552449586888,-2.784999999999999,0.7850000000000024,8.45
B1,DH,JJA,1380,-0.12568840579710147,3.334185431506642,-4.85,3.95,9.3
B1,DH,MAM,1380,-0.3243840579710145,2.8815996202819947,-4.6499999999999995,3.05,9.65
B1,DH,SON,1365,-0.664945054945055,2.5000799284699595,-4.33,1.85,9.0
B1,F,DJF,1354,3.7108567208271785,44.00941871916366,-47.5,57.5,204.5
B1,F,JJA,1380,172.6246376811594,765.8930702872835,-711.4,1255.0,3070.0
B1,F,MAM,1380,9.827536231884057,124.24165893163605,-116.55,128.1500000000002,682.5
B1,F,SON,1365,66.06666666666666,447.6749473172728,-379.6,558.0000000000007,5122.5
B1,L,DJF,1354,1.273445347119654,3.202790859903385,-0.22499999999990905,9.229999999999881,9.740000000000236
B1,L,JJA,1380,1.4673913043478262,3.530478242362333,-0.9699999999997999,9.045500000000365,12.700000000000273
B1,L,MAM,1380,1.240742753623186,3.250248661617714,-0.2899999999999636,9.279999999999792,10.489999999999782
B1,L,SON,1365,1.3177619047619127,3.223699860415559,-0.5800000000002001,9.078000000000067,10.815000000000055
B1,P,DJF,1354,0.02382422451994091,0.28312617899776965,0.0,0.0,7.619999999999999
B1,P,JJA,1375,2.106537454545454,5.270869559430734,-1.854199999999999,8.762999999999998,37.592
B1,P,MAM,1373,0.7600575382374363,2.4027098028752265,0.0,2.54,34.036
B1,P,SON,1361,0.9208199853049227,3.206721452770589,-0.254,2.9210000000000003,32.512
B1,RH,DJF,1354,1.1613737075332349,8.236996284673232,-8.0,11.0,51.0
B1,RH,JJA,1380,0.6797101449275362,13.816389776526096,-18.0,18.5,43.0
B1,RH,MAM,1380,2.1094202898550725,13.704881212976893,-13.0,21.0,57.0
B1,RH,SON,1365,1.6582417582417583,11.182727168971127,-10.5,16.5,45.0
B1,Rs,DJF,1354,-0.8687407680945346,2.7225694189410747,-4.557,1.467000000000001,14.93
B1,Rs,JJA,1380,-0.5928007246376811,4.211732912510348,-6.288,4.844999999999999,13.19
B1,Rs,MAM,1380,-0.5917971014492752,5.083381410541484,-7.3905,5.741000000000003,19.54
B1,Rs,SON,1365,-0.5393406593406596,3.272320533870135,-4.835,3.1660000000000004,14.485000000000003
B1,T,DJF,1354,0.1842688330871492,0.6503083162942829,-0.5999999999999996,1.0,2.25
B1,T,JJA,1380,0.01438405797101452,1.1827583499267493,-1.4499999999999993,1.5,4.700000000000001
B1,T,MAM,1380,0.10394927536231885,0.7699420207630412,-0.8499999999999981,1.0500000000000007,3.3499999999999996
B1,T,SON,1365,0.2476923076923077,1.0959620737657245,-1.0,1.6300000000000066,4.050000000000001
B1,Ta,DJF,1354,0.10627769571639582,2.4954528698340024,-3.1,3.485000000000002,8.399999999999999
B1,Ta,JJA,1380,0.08416666666666654,2.7544619404412063,-3.6000000000000014,3.7999999999999976,8.350000000000001
B1,Ta,MAM,1380,-0.1471376811594202,2.9098506391997976,-3.8549999999999995,3.399999999999999,14.25
B1,Ta,SON,1365,0.39739926739926734,2.4549822564175443,-2.5,3.6500000000000012,8.55
B1,W,DJF,1346,0.18913269940564637,0.6550992921598952,-0.5401662,1.0803324,3.4982191999999994
B1,W,JJA,1380,0.160819667826087,0.6118777214029253,-0.5658884000000002,0.9517214000000003,2.8808864
B1,W,MAM,1380,0.15884390463768114,0.6899444293217601,-0.6687772,1.082904620000004,2.3149980000000006
B1,W,SON,1362,0.13743057958883992,0.5151686986928837,-0.43727740000000004,0.7948159800000024,2.4693312
S2,DH,DJF,1354,-1.0467503692762186,2.5167173068660484,-4.95,0.5500000000000007,10.1
S2,DH,JJA,1380,0.3977898550724638,3.716143345273917,-4.1499999999999995,5.45,11.0
S2,DH,MAM,1380,-0.756268115942029,3.3937293709667915,-5.6499999999999995,3.1499999999999995,10.25
S2,DH,SON,1365,-0.528937728937729,3.460653041251885,-5.15,3.45,10.05
S2,F,DJF,1354,7.492245199409158,57.54318195097112,-61.5,70.0,238.0
S2,F,JJA,1380,164.17898550724638,863.6394552257385,-870.0,1335.5000000000007,3645.0
S2,F,MAM,1380,1.077536231884058,144.03168137012577,-159.55,142.05000000000007,739.0
S2,F,SON,1365,70.9076923076923,514.6493986879002,-435.0,578.0000000000007,4349.5
S2,L,DJF,1354,0.0031905465288409457,0.14953516752236357,-0.22499999999990905,0.20499999999992724,0.4350000000001728
S2,L,JJA,1380,0.204141304347815,0.9402725552762294,-0.8404999999999291,1.420500000000039,4.769999999999982
S2,L,MAM,1380,-0.01653260869563722,0.2501234409280235,-0.3005000000001473,0.23050000000000706,1.0549999999998363
S2,L,SON,1365,0.07052380952381027,0.563413741700875,-0.5399999999999636,0.6129999999999661,5.300000000000182
S2,P,DJF,1353,0.1595713229859571,0.9855793776207077,0.0,0.0,16.764
S2,P,JJA,1380,3.6250217391304345,10.106696995438847,-4.076699999999999,15.748,72.39
S2,P,MAM,1378,1.0634637155297533,3.9051494708589605,0.0,2.5780999999999943,51.815999999999995
S2,P,SON,1363,1.6361848862802642,5.9827214844750465,-1.1429999999999998,6.451599999999994,72.89799999999998
S2,RH,DJF,1354,1.3397341211225997,14.664824406511787,-16.5,20.5,53.0
S2,RH,JJA,1380,0.08985507246376812,10.097219872075835,-13.5,12.5,35.0
S2,RH,MAM,1380,2.7721014492753624,13.995132166924545,-13.5,22.0,51.0
S2,RH,SON,1365,0.5307692307692308,11.538861016469967,-14.5,14.800000000000068,43.5
S2,Rs,DJF,1354,-1.4569497784342689,4.110521822656379,-7.856999999999999,1.8520000000000003,16.555
S2,Rs,JJA,1380,0.5189855072463767,4.525048005122797,-4.892,6.6420000000000154,20.095
S2,Rs,MAM,1380,-0.5752173913043478,6.022070459676405,-8.8215,7.519000000000006,17.285
S2,Rs,SON,1365,-0.5618974358974359,4.594971040217842,-7.077000000000001,4.648,16.585
