site_id,file_name,file_number,metadata_start_year,metadata_end_year,temporal_resolution,station_name,river_name,catchment_area_km2
212704,WT-Monatsmittel-212704.csv,8,2007,2020,monthly_mean,Neudorf,Gössering,"75,2"
210534,WT-Monatsmittel-210534.csv,5,1976,2022,monthly_mean,Altaussee (Seeklause),Altausseer See,"48,2"
200048,WT-Monatsmittel-200048.csv,8,1997,2023,monthly_mean,Schruns (Vonbunweg),Litz,"101,4"
200147,WT-Monatsmittel-200147.csv,8,1996,2023,monthly_mean,Gisingen,Ill,"1278,2"
200196,WT-Monatsmittel-200196.csv,8,1990,2023,monthly_mean,Lustenau (Höchster Brücke),Rhein,"6301,1"
200204,WT-Monatsmittel-200204.csv,8,1979,2023,monthly_mean,Enz,Dornbirnerach,"53,1"
200220,WT-Monatsmittel-200220.csv,8,2007,2023,monthly_mean,Lustenau (Hofsteig),Rheintalbinnenkanal,"78,5"
200261,WT-Monatsmittel-200261.csv,8,1989,2023,monthly_mean,Mellau,Bregenzerach,"227,4"
200568,WT-Monatsmittel-200568.csv,2,1994,2023,monthly_mean,Reuthe (Wehr),Bregenzerach,"276,2"
200550,WT-Monatsmittel-200550.csv,2,1993,2023,monthly_mean,Bersbuch,Bregenzerach,"295,7"
200329,WT-Monatsmittel-200329.csv,8,1979,2023,monthly_mean,Kennelbach,Bregenzerach,"823,9"
200337,WT-Monatsmittel-200337.csv,5,1899,2023,monthly_mean,Bregenz (Seepegel),Bodensee,10907
200352,WT-Monatsmittel-200352.csv,8,2010,2023,monthly_mean,Unterhochsteg,Leiblach,"102,4"
201012,WT-Monatsmittel-201012.csv,8,1996,2023,monthly_mean,Steeg,Lech,"247,9"
201087,WT-Monatsmittel-201087.csv,8,2011,2023,monthly_mean,Lechaschau,Lech,"1012,2"
202713,WT-Monatsmittel-202713.csv,5,2006,2023,monthly_mean,Tannheim (Seepegel),Vilsalpsee,"14,9"
202192,WT-Monatsmittel-202192.csv,5,2006,2023,monthly_mean,Grän (Seepegel),Haldensee,12
201111,WT-Monatsmittel-201111.csv,8,1996,2023,monthly_mean,Vils (Lände),Vils,"198,1"
