site_id,name,river,water_body_type,latitude,longitude,source,historical_daily_public,note
2004,Murten,Murtensee,lake,46.9308,7.1169,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2007,Le Pont,Lac de Joux,lake,46.6653,6.324,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2009,Porte du Scex,Rhône,river,46.3496,6.8886,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2011,Sion,Rhône,river,46.2191,7.3579,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2014,Schmerikon,Zürichsee,lake,47.2248,8.9401,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2016,Brugg,Aare,river,47.4825,8.1949,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2017,Zug,Zugersee,lake,47.1679,8.5143,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2018,Mellingen,Reuss,river,47.421,8.2713,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2019,Brienzwiler,Aare,river,46.7457,8.092,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2020,Bellinzona,Ticino,river,46.1938,9.0093,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2021,Ponte Tresa,Lago di Lugano,lake,45.9688,8.8603,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2022,Locarno,Lago Maggiore,lake,46.1636,8.8043,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2023,Ringgenberg,Brienzersee,lake,46.7299,7.9755,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2024,Branson,Rhône,river,46.1257,7.0913,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2025,Brunnen,Vierwaldstättersee,lake,46.9935,8.6038,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2026,Chillon,Lac Léman,lake,46.4146,6.9277,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2027,St-Prex,Lac Léman,lake,46.4828,6.4611,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2028,"Genève, Sécheron",Lac Léman,lake,46.2186,6.1524,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2029,"Brügg, Aegerten",Aare,river,47.1221,7.2834,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2030,Thun,Aare,river,46.7646,7.6118,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2031,Unterägeri,Aegerisee,lake,47.138,8.5918,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2032,Romanshorn,"Bodensee, Obersee",lake,47.5648,9.381,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2033,Ilanz,Vorderrhein,river,46.7758,9.2064,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2034,"Payerne, Caserne d'aviation",Broye,river,46.8359,6.9361,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2041,"Oberriet, Blatten",Rhein,river,47.3069,9.5708,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2043,Berlingen,"Bodensee, Untersee",lake,47.6755,9.0176,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
