site_id,name,river,code_cours_eau,latitude,longitude,begin,end,department,source
10615120,Le Bras Sainte-Suzanne à Grand Bassin,,,-21.181242746,55.534592607,,,La Réunion,hubeau
10600170,Le Bras de Cilaos en amont du Pavillon,,,-21.190991461,55.449600104,,,La Réunion,hubeau
10510550,La Ravine Saint-Gilles au Verrou,,,-21.04876763,55.238223617,,,La Réunion,hubeau
10410280,Le Bras Sainte-Suzanne à Mafate,,,-20.993157538,55.406762506,,,La Réunion,hubeau
10400180,La Rivière des Galets avant sa confluence avec Bras d'Oussy,,,-21.022057346,55.403140336,,,La Réunion,hubeau
10320350,La Rivière Saint-Denis avant le captage AEP,,,-20.908043105,55.433363618,,,La Réunion,hubeau
10310812,La Rivière des Pluies à l'aplomb du piton Tanan,,,-20.969466696,55.491394165,,,La Réunion,hubeau
10300250,La Rivière Sainte-Suzanne (amont cascade Niagara),,,-20.921780492,55.602373645,,,La Réunion,hubeau
10300215,La Riv. Ste-Suzanne avant sa confluence avec Le Bras Laurent,,,-20.975418024,55.564218718,,,La Réunion,hubeau
10300180,La Grande RiviÃ¨re Saint-Jean en amont de sa confluence avec,,,-20.925825992,55.630194507,,,La Réunion,hubeau
10300110,Le Grand Bras de la Grande Rivière Saint-Jean,,,-20.969080321,55.605831967,,,La Réunion,hubeau
10220110,La Rivière du Mât à Bengalis,,,-20.978291544,55.640544822,,,La Réunion,hubeau
10215510,Le Bras des Lianes en amont du captage AEP,,,-21.025984722,55.61149544,,,La Réunion,hubeau
10200190,La Rivière du Mât à l'Escalier,,,-20.998919897,55.579513073,,,La Réunion,hubeau
10200110,La rivière du Mât à l'Ilet à Vidot,,,-21.055493139,55.501010366,,,La Réunion,hubeau
10131150,Le Bras Panon (aval radier Paniandy),,,-20.996784417,55.663069134,,,La Réunion,hubeau
10130440,La Rivière des Roches à Abondance,,,-21.03539823,55.659930968,,,La Réunion,hubeau
10120170,La Rivière des Marsouins à Bethléem,,,-21.041472866,55.679861904,,,La Réunion,hubeau
10120110,La Rivière des Marsouins à La Plaine des Palmistes,,,-21.113276435,55.566959204,,,La Réunion,hubeau
10010185,La Rivière Langevin au bassin Tamarin,,,-21.38101195,55.645672568,,,La Réunion,hubeau
10010150,La Rivière Langevin en amont de la prise EDF,,,-21.339731227,55.644104796,,,La Réunion,hubeau
10010140,La Rivière Langevin à la cascade Grand Galet,,,-21.312711579,55.641637458,,,La Réunion,hubeau
06830079,EAU MORTE A DOUSSARD 2,L'Eau Morte,V1230560,45.78876059,6.231161742,,,Haute-Savoie,hubeau
06820164,SOULOISE A ST-DISDIER-EN-DEVOLUY ,La Souloise,W2210500,44.736818251,5.893071724,,,Hautes-Alpes,hubeau
06820138,GIER A LA-VALLA-EN-GIER ,Le Gier,V31-0400,45.413072092,4.536640904,,,Loire,hubeau
06820118,DRAC A VIF 1,Le Drac,W2--0200,45.017756078,5.692182801,,,Isère,hubeau
06820089,ROMANCHE A LA-GRAVE ,La Romanche,W27-0400,45.043455599,6.303920165,,,Hautes-Alpes,hubeau
06820073,VAREZE A COUR-ET-BUIS 1,La Varèze,V3300500,45.442302951,5.046552429,,,Isère,hubeau
06800012,SIERROZ A AIX-LES-BAINS 2,Le Sierre,V1320500,45.706725433,5.905080913,,,Savoie,hubeau
06800000,PISSEUR A LA-TRANCLIERE ,Le Pisseur,U4000720,46.108740722,5.261585179,,,Ain,hubeau
06750950,BUECH A RIBIERS 2,Le Buëch,X10-0400,44.235914943,5.859982456,,,Hautes-Alpes,hubeau
06710043,BRAS DES ARMENIERS A SORGUES ,,V5480521,44.022555842,4.844246337,,,Vaucluse,hubeau
06710039,TOULOURENC A ST-LEGER-DU-VENTOUX ,Le Toulourenc,V6030500,44.209184497,5.278689083,,,Vaucluse,hubeau
06710029,COULOMP A ST-BENOIT 2,Le Coulomp,Y6030500,43.966732365,6.758524455,,,Alpes-de-Haute-Provence,hubeau
06700260,PAILLON DE CONTES A COARAZE 1,Le Paillon de Contes,Y6510600,43.891125334,7.308752915,,,Alpes-Maritimes,hubeau
06700175,LOUP A TOURRETTE-SUR-LOUP 6,Le Loup,Y5610500,43.688497527,7.070682061,,,Alpes-Maritimes,hubeau
06700125,LOUP A COURMES ,Le Loup,Y5610500,43.762548975,6.987062986,,,Alpes-Maritimes,hubeau
06700075,BEVERA A MOULINET 1,La Bévéra,Y6630500,43.965109188,7.415355449,,,Alpes-Maritimes,hubeau
06700070,ROYA A BREIL-SUR-ROYA 2,La Roya,Y66-0400,43.891877081,7.531313176,,,Alpes-Maritimes,hubeau
06594900,BAUME A ST-ALBAN-AURIOLLES 2,La Baume,V5030500,44.448588626,4.308786959,,,Ardèche,hubeau
06592020,MERLET A ST-ALBAN-DES-VILLARDS 3,Torrent du Merlet,W1060700,45.316211905,6.250464521,,,Savoie,hubeau
06580905,DRANSE A ABONDANCE 5,La Dranse,V03-0400,46.284088911,6.735231805,,,Haute-Savoie,hubeau
06580884,EBRON A PREBOIS 3,L'Ebron,W25-0400,44.815563374,5.681405931,,,Isère,hubeau
06580789,BIEVRE A LES-AVENIERES 1,La Bièvre,V1600500,45.618999851,5.610525443,,,Isère,hubeau
06580766,HUERT A LES-AVENIERES 2,L'Huert,V16-0400,45.659943633,5.531073921,,,Isère,hubeau
06580437,DROME A CHABRILLAN ,La Drôme,V42-0400,44.733208864,4.964821578,,,Drôme,hubeau
06580362,VERNAISSON A ST-MARTIN-EN-VERCORS 2,La Vernaisson,W3330500,45.00108707,5.435033701,,,Drôme,hubeau
06580341,GALAURE A ST-BARTHELEMY-DE-VALS ,La Galaure,V36-0400,45.179974547,4.848086652,,,Drôme,hubeau
06580300,JABRON A SISTERON 2,Le Jabron,X1100500,44.161653884,5.945378328,,,Alpes-de-Haute-Provence,hubeau
06580238,BAUME A ROSIERES 1,La Baume,V5030500,44.482650787,4.239175391,,,Ardèche,hubeau
06464800,CLAUGE A LA-LOYE 1,La Clauge,U2560500,47.035872159,5.53997004,,,Jura,hubeau
06462950,CUSANCIN A BAUME-LES-DAMES 1,Le Cusancin,U2420520,47.341247743,6.381962945,,,Doubs,hubeau
06458450,AUTRUCHE A FONTENELLE 1,L'Autruche,U2310520,47.621465436,6.955017527,,,Territoire de Belfort,hubeau
06416910,RESAIGNE A COUBLANC ,La Resaigne,U0710500,47.692849743,5.456223203,,,Haute-Marne,hubeau
06408800,AUGRONNE A PLOMBIERES-LES-BAINS ,L'Augronne,U0440500,47.943245658,6.42192362,,,Vosges,hubeau
06300400,SALAISON A MAUGUIO 2,Le Salaison,Y3310500,43.608159904,4.003845405,,,Hérault,hubeau
06300200,LURI A LURI ,Ruisseau de Luri,Y7410520,42.896884522,9.42046818,,,Haute-Corse,hubeau
06300121,ARGENS A LE-THORONET 4,L'Argens,Y5--0200,43.478608807,6.266313613,,,Var,hubeau
06300092,GAPEAU A BELGENTIER 1,Le Gapeau,Y46-0400,43.244522714,6.000062518,,,Var,hubeau
06300001,ALBARINE A CHALEY 1,L'Albarine,V29-0400,45.937285541,5.531797915,,,Ain,hubeau
06222600,FANGO A MANSO,Le Fango,Y78-0400,42.379585653,8.753740571,,,Haute-Corse,hubeau
06222370,SAN CLEMENTE A OCCHIATANA ,Ruisseau de San Clemente,Y7610560,42.60414453,8.999136314,,,Haute-Corse,hubeau
06222195,TRAVO A VENTISERI ,Le Travo,Y9510500,41.923347188,9.309219852,,,Haute-Corse,hubeau
