river,n_stations,site_ids,countable_public_daily,loire_excluded,source
Le Drac,3,"06820118,06146500,06142500",False,True,hubeau_station_names
Le Taravo,4,"06217500,06217490,06217470,06217445",False,True,hubeau_station_names
Le Golo,3,"06213800,06213500,06150185",False,True,hubeau_station_names
L'Aude,3,"06180900,06178000,06175400",False,True,hubeau_station_names
La Durance,5,"06166000,06159000,06152700,06151000,06150500",False,True,hubeau_station_names
Le Rhône,7,"06131550,06121500,06113500,06104000,06100900,06080000,06065700",False,True,hubeau_station_names
L'Ardèche,3,"06115700,06115090,06114450",False,True,hubeau_station_names
La Saône,6,"06059500,06053800,06017050,06011000,06001000,06000990",False,True,hubeau_station_names
La Seille,3,"06041800,02082350,02081000",False,True,hubeau_station_names
Le Doubs,3,"06031200,06021000,06017200",False,True,hubeau_station_names
L'Adour,4,"05236100,05233000,05229200,05223000",False,True,hubeau_station_names
La Garonne,10,"05184000,05181800,05181000,05174000,05154500,05154250,05152000,05117000,05104000,05081000",False,True,hubeau_station_names
L'Ariège,4,"05173400,05170900,05165900,05165850",False,True,hubeau_station_names
Le Tarn,6,"05150900,05147000,05145600,05144000,05141000,05119000",False,True,hubeau_station_names
L'Aveyron,5,"05128000,05127000,05126000,05121000,05120000",False,True,hubeau_station_names
Le Lot,4,"05099000,05094810,05092200,05084000",False,True,hubeau_station_names
La Dordogne,3,"05061500,05059000,05047000",False,True,hubeau_station_names
la Sioule,5,"04433002,04043100,04041780,04041700,04041675",False,True,hubeau_station_names
la Vilaine,3,"04216000,04209990,04204300",False,True,hubeau_station_names
la Sarthe,4,"04119170,04113250,04111000,04110700",False,True,hubeau_station_names
l'Huisne,3,"04118000,04116800,04115580",False,True,hubeau_station_names
la Vienne,3,"04097600,04082500,04075700",False,True,hubeau_station_names
la Creuse,3,"04091400,04089000,04088000",False,True,hubeau_station_names
le Cher,6,"04072000,04070300,04065000,04064000,04060500,04057000",False,True,hubeau_station_names
l'Allier,4,"04044700,04043200,04027740,04026500",False,True,hubeau_station_names
la Dore,3,"04039000,04037900,04036300",False,True,hubeau_station_names
l'Ance,3,"04027350,04003900,04003645",False,True,hubeau_station_names
la Besbre,3,"04023000,04022210,04022150",False,True,hubeau_station_names
l'Arroux,3,"04020010,04017000,04016840",False,True,hubeau_station_names
L'Orne,4,"03237617,03234650,02089000,02085325",False,True,hubeau_station_names
La Seine,9,"03174000,03127370,03125000,03082000,03063000,03048000,03012100,03002100,03001000",False,True,hubeau_station_names
L'Aire,3,"03156995,03156580,03156350",False,True,hubeau_station_names
L'Aisne,6,"03156000,03152000,03149630,03149081,03145985,03145290",False,True,hubeau_station_names
L'Oise,3,"03138000,03136000,03129020",False,True,hubeau_station_names
La Marne,6,"03112480,03109000,03104000,03091000,03088800,03086100",False,True,hubeau_station_names
La Cure,3,"03034000,03033660,03033200",False,True,hubeau_station_names
L'Aube,3,"03021000,03015000,03014130",False,True,hubeau_station_names
La Meuse,5,"02124000,02115000,02113000,02109000,02106500",False,True,hubeau_station_names
La Moselle,3,"02094900,02076800,02056200",False,True,hubeau_station_names
L'Ill,3,"02038000,02025500,02002000",False,True,hubeau_station_names
