site_id,name,river,code_cours_eau,latitude,longitude,begin,end,department,source
04134700,LOIRE à MONTJEAN-SUR-LOIRE,la Loire,----0000,47.392726473,-0.860735871,,,Maine-et-Loire,hubeau
04103200,LOIRE à SAINT-MATHURIN-SUR-LOIRE,la Loire,----0000,47.406623051,-0.318640207,,,Maine-et-Loire,hubeau
04056000,LOIRE à VILLANDRY,la Loire,----0000,47.344482393,0.479752567,,,Indre-et-Loire,hubeau
04051850,LOIRE à MUIDES-SUR-LOIRE,la Loire,----0000,47.673979127,1.525573461,,,Loir-et-Cher,hubeau
04046800,LOIRE à SAINT-SATUR,la Loire,----0000,47.338334227,2.867899215,,,Cher,hubeau
04045900,LOIRE à FOURCHAMBAULT,la Loire,----0000,47.013294395,3.072637369,,,Nièvre,hubeau
04026000,LOIRE à NEVERS,la Loire,----0000,46.98260563,3.151957122,,,Nièvre,hubeau
04024000,LOIRE à DECIZE,la Loire,----0000,46.828012725,3.457743987,,,Nièvre,hubeau
04021000,LOIRE à LA MOTTE-SAINT-JEAN,la Loire,----0000,46.49189962,3.940491903,,,Saône-et-Loire,hubeau
04000600,LOIRE à GOUDET,la Loire,----0000,44.891747794,3.921178458,,,Haute-Loire,hubeau
04000100,LOIRE à SAINTE-EULALIE,la Loire,----0000,44.823864762,4.194331861,,,Ardèche,hubeau
