network_id,provider,domain,river_group,n_catalog_stations,site_ids,latitude,longitude,prior_temperature_values_seen,candidate_status
rws_rijn_lek_nederrijn,rws_waterwebservices,netherlands,Rijn–Lek–Nederrijn,3,amerongen.boven|driel.boven|hagestein.boven,51.976879999999994,5.452778333333334,False,metadata_candidate_pending_daily_qc
rws_maas,rws_waterwebservices,netherlands,Maas,3,eijsden|belfeld.boven|hank.bergschemaas,51.2725,5.5683333333333325,False,metadata_candidate_pending_daily_qc
rws_twentekanalen,rws_waterwebservices,netherlands,Twentekanalen,3,delden.sluis.beneden|eefde.sluis.beneden|hengelo.oelerbrug,52.218377000000004,6.557033333333333,False,source_audit_non_river_domain
rws_amsterdam_rijnkanaal,rws_waterwebservices,netherlands,Amsterdam-Rijnkanaal,3,amsterdam.schellingwouderbrug|maarssen.kanaal|nieuwegein.lekkanaal,52.178403,5.039901,False,source_audit_non_river_domain
rws_haringvliet,rws_waterwebservices,netherlands,Haringvliet,3,haringvliet.10|haringvliet.2|middelharnis.meetboei,51.81972033333333,4.042249,False,source_audit_non_river_domain
rws_grevelingen,rws_waterwebservices,netherlands,Grevelingen,3,bommenede|brouwersdam.brouwershavensegat.2|brouwersdam.brouwershavensegat.8,51.75055866666667,3.8035883333333333,False,source_audit_non_river_domain
rws_volkerak_krammer,rws_waterwebservices,netherlands,Volkerak–Krammer,3,bruinisse.krammersluis.laagbekken|dinteloord.volkerak.voorheenboeinv3|krammerput,51.659728666666666,4.219914,False,source_audit_non_river_domain
rws_westerschelde,rws_waterwebservices,netherlands,Westerschelde,3,ossenisse|kloosterzande.baalhoek|terneuzen.sluiskilbrug,51.35599,3.9682496666666665,False,source_audit_non_river_domain
rws_oosterschelde,rws_waterwebservices,netherlands,Oosterschelde,3,oosterschelde.4|kamperland.schotsman.ruiterplaat|arnemuiden.oranjeplaat,51.58443933333333,3.678940666666667,False,source_audit_non_river_domain
rws_waddenzee,rws_waterwebservices,netherlands,Waddenzee,3,denhelder.veersteiger|eierlandsegat|kornwerderzand.waddenzee.buitenhaven,53.104688,4.9243836666666665,False,source_audit_non_river_domain
rws_noordzee,rws_waterwebservices,netherlands,Noordzee,3,europlatform|goeree.lichteiland|hoekvanholland,51.966581,3.6877713333333335,False,source_audit_non_river_domain
rws_rijn_maas_delta,rws_waterwebservices,netherlands,Rijn–Maasdelta,3,rotterdam.lekhaven|rotterdam.brienenoordbrug|kinderdijk.linkeroever.km988.8,51.89921621333334,4.532684848333333,False,source_audit_non_river_domain
rws_ijsselmeer_markermeer,rws_waterwebservices,netherlands,IJsselmeer–Markermeer,3,markermeer.midden|markermeer.trintelzand|andijk,52.63537333333334,5.289753,False,source_audit_non_river_domain
