cluster_id,n_stations,max_pairwise_km,site_ids,cap_km,countable_public_daily
uk_ea_s100_001,147,83.10906634976729,"ANGEL1,BARIERA,E00491A,E00497A,E01016A,E01030A,E01043A,E01044A,E01063A,E01076A,E01077A,E01087A,E01278A,E01336A,E01569A,E01572A,E01578A,E01613A,E01616A,E01617A,E01618A,E01776A,E01831A,E02044A,E02076A,E02080A,E02223A,E02517A,E02532A,E02574A,E02577A,E02613A,E02616A,E02617A,E02682A,E02790A,E03001A,E03036A,E03044A,E03050A,E03052A,E03055A,E03091A,E03132A,E03141A,E03244A,E03380A,E03585A,E03635A,E03666A,E03709A,E03719A,E04004A,E04009A,E04012A,E04044A,E04048A,E04071A,E04095A,E04099A,E04137A,E04158A,E04217A,E04366A,E04600A,E04687A,E04688A,E04704A,E05012A,E05017A,E05021A,E05043A,E05051A,E05065A,E05072A,E05084A,E05214A,E05230A,E05263A,E05442A,E06021A,E06049A,E06083A,E06116A,E06409A,E06685A,E07021A,E07275A,E07439A,E07559A,E07616A,E08019A,E08109A,E08133A,E08136A,E08166A,E08217A,E08665A,E09020A,E09068A,E09084A,E09118A,E09386A,E10035A,E10216A,E10618A,E11003A,E11054A,E11090A,E11232A,E12001A,E12058A,E12080A,E13067A,E14039A,E15066A,E15121A,E16033A,E16217A,E17005A,E17016A,E17033A,E17140A,E17217A,E17560A,E18148A,E20073A,E23057A,E26020A,E26044A,E30012A,E41998A,EN0056A,EN0061A,EN0077A,EN0081A,EN0088A,EP0128A,EP0131A,EP0132A,EP0147A,ERITH1,MIN009,SALMON,SPRING,TOTLK1,TOTLK2",100.0,False
uk_ea_s100_002,123,91.43181601440239,"BREPON,CADOG2,E00278A,E00302A,E00312A,E00315A,E00388A,E00431A,E01023A,E01056A,E01061A,E01109A,E01111A,E01114A,E01146A,E01158A,E01163A,E01244A,E01251A,E01559A,E01560A,E01564A,E01591A,E01606A,E01659A,E01662A,E01663A,E01721A,E01725A,E01764A,E02031A,E02070A,E02102A,E02314A,E02645A,E02663A,E02681A,E02765A,E03077A,E03083A,E03099A,E03133A,E03149A,E03152A,E03266A,E03564A,E03590A,E03650A,E03721A,E03761A,E04083A,E04091A,E04112A,E04235A,E04441A,E04470A,E05063A,E05105A,E05112A,E05160A,E05235A,E05262A,E05433A,E06244A,E06314A,E07048A,E07080A,E07083A,E07107A,E07116A,E07143A,E07569A,E08047A,E08139A,E08380A,E09016A,E09017A,E09037A,E09082A,E09102A,E09166A,E09211A,E10019A,E11051A,E11058A,E11085A,E12085A,E12108A,E13017A,E13028A,E14026A,E14089A,E14096A,E14113A,E15016A,E15021A,E15039A,E15057A,E16016A,E16017A,E16140A,E18016A,E18065A,E18085A,E18136A,E20123A,E21073A,E25088A,E27058A,E35998A,E45998A,EP0138A,GPRS48A,GPRSB4A,GPRSB5A,GPRSB7A,GPRSB8A,GPRSD8A,HAMME2,KEWPON,P02019A,PUTNEY,SHLFD2",100.0,False
uk_ea_s100_003,112,70.62706193194258,"370cba4c-c28e-4063-aaea-a99575c408b6,6ff82c44-bbf2-4593-8218-76569f550b47,E00429A,E00471A,E00473A,E00480A,E00516A,E00517A,E01204A,E01225A,E01326A,E01698A,E01709A,E02127A,E02224A,E02433A,E02597A,E02658A,E02710A,E02731A,E02778A,E02789A,E03071A,E03081A,E03092A,E03229A,E03252A,E03358A,E03360A,E03387A,E03430A,E03470A,E03582A,E03703A,E03714A,E03787A,E03799A,E04007A,E04062A,E04278A,E04304A,E04326A,E04467A,E04523A,E05108A,E05158A,E05239A,E05270A,E05310A,E05319A,E05564A,E05569A,E05614A,E06084A,E06248A,E06494A,E06637A,E06687A,E07012A,E07017A,E07036A,E07087A,E07121A,E07278A,E07653A,E08132A,E08135A,E08206A,E08431A,E09052A,E09095A,E09126A,E09135A,E09136A,E09208A,E09233A,E10002A,E10135A,E10266A,E11101A,E12253A,E13002A,E13015A,E13069A,E13106A,E13145A,E13160A,E13202A,E14037A,E14049A,E14061A,E14150A,E14233A,E16136A,E16148A,E16160A,E16163A,E16205A,E17001A,E17007A,E17088A,E18095A,E18217A,E21123A,E22058A,E24058A,E79999A,E81999A,bfc68b5e-abb1-4d68-97cb-f066350d2e01,d1df8d19-d1f7-4e83-8aa6-75820613be72,da031053-d267-49da-857a-b8e28a7205eb,f8ae6b4c-56c4-45a1-b83f-4697843b937f",100.0,False
uk_ea_s100_004,95,59.0148496761542,"001fc3f6-5980-42be-b553-6a09c6b69b69,8b07239d-fb98-4f27-b182-def7799b6c34_2044,8b07239d-fb98-4f27-b182-def7799b6c34_2052,E00528A,E00529A,E00530A,E00532A,E01089A,E01097A,E01105A,E01156A,E01280A,E01658A,E02055A,E02120A,E02131A,E02153A,E02202A,E02203A,E03009A,E03026A,E03034A,E03038A,E03057A,E03119A,E03124A,E03126A,E03135A,E03206A,E03223A,E03268A,E03429A,E04052A,E04100A,E04102A,E04153A,E04431A,E05095A,E05096A,E05115A,E05118A,E05119A,E05123A,E05226A,E05232A,E05326A,E06016A,E06026A,E06039A,E06061A,E06067A,E06090A,E06107A,E06161A,E07015A,E07023A,E07135A,E07145A,E08016A,E08056A,E08065A,E08082A,E08145A,E08230A,E09003A,E09006A,E09009A,E09044A,E10001A,E10104A,E11001A,E11089A,E11132A,E12057A,E13048A,E13073A,E13085A,E13113A,E13150A,E14062A,E14073A,E14085A,E16050A,E16057A,E16065A,E16079A,E17051A,E18017A,E19030A,E21033A,E23037A,EP0110A,EP0123A,EP0125A,EP0135A",100.0,False
uk_ea_s100_005,95,69.8350876645131,"E00379A,E01100A,E01136A,E01160A,E01216A,E01232A,E01272A,E01273A,E01331A,E01429A,E01495A,E01570A,E01571A,E01605A,E01621A,E01707A,E02005A,E02012A,E02115A,E02119A,E02124A,E02126A,E02218A,E02309A,E02470A,E02586A,E02623A,E02764A,E02799A,E03003A,E03007A,E03046A,E03062A,E03080A,E03111A,E03121A,E03129A,E03211A,E03276A,E03469A,E03646A,E03667A,E04030A,E04030B,E04034A,E04039A,E04073A,E04144A,E04476A,E04494A,E04527A,E04610A,E05044A,E05114A,E05281A,E05667A,E06023A,E06040A,E06205A,E06228A,E06232A,E06262A,E06594A,E07052A,E07058A,E07073A,E07079A,E07089A,E07096A,E07163A,E07203A,E07235A,E07252A,E08003A,E08054A,E08063A,E08073A,E08085A,E09038A,E10015A,E10054A,E10235A,E11095A,E12118A,E13363A,E15056A,E16005A,E16020A,E19021A,E22057A,E26090A,EN0091A,EP0141A,GPRSA1A,M01015A",100.0,False
uk_ea_s100_006,95,56.27109477126465,"E01003A,E01209A,E01271A,E01274A,E01282A,E01358A,E01394A,E01433A,E01581A,E01595A,E01786A,E01794A,E02326A,E02358A,E02431A,E02477A,E02516A,E02561A,E02646A,E02647A,E02660A,E02707A,E02767A,E02768A,E03002A,E03154A,E03224A,E03326A,E03653A,E03672A,E03763A,E03764A,E04239A,E04252A,E04358A,E04590A,E04605A,E04608A,E04677A,E04781A,E05162A,E05220A,E05358A,E05687A,E06313A,E06439A,E06471A,E06602A,E07022A,E07027A,E07071A,E07126A,E07390A,E08022A,E08083A,E08202A,E08232A,E08326A,E08388A,E09106A,E09107A,E09202A,E09409A,E09494A,E10111A,E11033A,E11043A,E11069A,E11104A,E11118A,E11217A,E11233A,E12021A,E13022A,E13089A,E14028A,E14079A,E14106A,E14202A,E15015A,E15044A,E15067A,E15074A,E16021A,E16028A,E16115A,E18560A,E19065A,E19090A,E20136A,E22089A,E23015A,E25057A,E28058A,E64999A",100.0,False
uk_ea_s100_007,89,65.77493002904687,"E01065A,E01071A,E01074A,E01095A,E01153A,E01154A,E01236A,E01246A,E01247A,E01248A,E01250A,E01576A,E01577A,E01594A,E01798A,E01798B,E02043A,E02322A,E02567A,E02700A,E03053A,E03074A,E03075A,E03087A,E03094A,E03227A,E03684A,E03733A,E03733B,E04001A,E04040A,E04066A,E04072A,E04119A,E04211A,E05082A,E05129A,E05313A,E05388A,E05608A,E06233A,E06233B,E06312A,E07040A,E07082A,E07090A,E07104A,E07111A,E07114A,E08049A,E08143A,E08211A,E08263A,E08263B,E08494A,E09023A,E09079A,E09152A,E10003A,E10053A,E10230A,E11048A,E11205A,E11253A,E12048A,E12049A,E12130A,E13140A,E14002A,E14002B,E14056A,E15007A,E15010A,E16202A,E17163A,E17163B,E18051A,E19039A,E19102A,E19102B,E20033A,E20088A,E22073A,E23217A,E26015A,E26015B,E26088A,E26088B,M06018A",100.0,False
uk_ea_s100_008,83,83.38194951978402,"E00064A,E00304A,E00313A,E00333A,E00470A,E01126A,E01202A,E01206A,E01207A,E01212A,E01218A,E01219A,E01229A,E01230A,E01308A,E01688A,E01691A,E01702A,E01730A,E02016A,E02319A,E02582A,E02614A,E02614B,E02621A,E02671A,E02688A,E03127A,E03136A,E03220A,E03240A,E03302A,E03368A,E03377A,E03473A,E03624A,E03637A,E04065A,E04121A,E04163A,E04270A,E04309A,E04313A,E04568A,E04592A,E04763A,E05132A,E05308A,E05309A,E06054A,E06072A,E06077A,E06082A,E06156A,E07140A,E07358A,E07612A,E07623A,E08084A,E08102A,E08160A,E08228A,E09085A,E09104A,E09163A,E11077A,E11270A,E12065A,E14036A,E15062A,E16096A,E19048A,E19148A,E22020A,E24088A,E25020A,E27017A,GPR177A,GPRSB3A,GPRSE2A,GPRSE3A,ME1011,ME1011A",100.0,False
uk_ea_s100_009,81,81.29961792151938,"E00383A,E00555A,E00563A,E00581A,E00584A,E01079A,E01085A,E01142A,E01143A,E01215A,E01432A,E01458A,E01461A,E01479A,E01529A,E01561A,E01774A,E02089A,E02100A,E02148A,E02164A,E02558A,E03028A,E03029A,E03203A,E03221A,E03584A,E03717A,E04028A,E04123A,E04132A,E04133A,E04301A,E04329A,E04480A,E04623A,E04666A,E05008A,E05009A,E05016A,E05068A,E05079A,E05104A,E05135A,E05216A,E05244A,E05773A,E06065A,E06071A,E06073A,E06111A,E06139A,E06140A,E06145A,E06616A,E06763A,E07077A,E07515A,E08037A,E08107A,E08278A,E09080A,E09141A,E09253A,E11034A,E12051A,E12079A,E12120A,E12123A,E13062A,E13390A,E14102A,E14390A,E29015A,EN0012A,EN0085A,GPRSC4A,GPRSC5A,GPRSC6A,GPRSC7A,GPRSC8A",100.0,False
uk_ea_s100_010,80,91.97527883075249,"E00091A,E01010A,E01021A,E01069A,E01110A,E01123A,E01125A,E01129A,E02025A,E02033A,E02034A,E02049A,E02075A,E02082A,E02109A,E02123A,E02129A,E02144A,E02147A,E02150A,E02476A,E02515A,E02665A,E02694A,E03011A,E03017A,E03025A,E03066A,E03105A,E03114A,E03115A,E03120A,E03123A,E03163A,E04006A,E04021A,E04035A,E04058A,E04134A,E04162A,E04705A,E05013A,E05027A,E05056A,E05094A,E05131A,E05136A,E05278A,E05439A,E06038A,E06047A,E06074A,E06076A,E06085A,E06088A,E06124A,E06355A,E07062A,E07220A,E08015A,E09114A,E09232A,E09278A,E09388A,E10205A,E11049A,E11060A,E11102A,E12044A,E12076A,E12322A,E12363A,E13054A,E14090A,E15202A,E16043A,E20039A,EN0068A,EP0111A,EP0112A",100.0,False
