river,n_candidate_stations,n_sites_preflighted,n_sites_with_correct_observations,n_preflight_errors,strict_daily_download_started,strict_8yr_concurrent_complete,countable_toward_t8,reason
Le Drac,3,3,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
Le Taravo,4,4,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
Le Golo,3,3,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
L'Aude,3,3,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
La Durance,5,5,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
Le Rhône,7,7,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
L'Ardèche,3,3,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
La Saône,6,6,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
La Seille,3,3,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
Le Doubs,3,3,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
L'Adour,4,4,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
La Garonne,10,10,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
L'Ariège,4,4,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
Le Tarn,6,6,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
L'Aveyron,5,5,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
Le Lot,4,4,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
La Dordogne,3,3,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
la Sioule,5,5,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
la Vilaine,3,3,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
la Sarthe,4,4,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
l'Huisne,3,3,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
la Vienne,3,3,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
la Creuse,3,3,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
le Cher,6,6,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
l'Allier,4,4,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
la Dore,3,3,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
l'Ance,3,3,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
la Besbre,3,3,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
l'Arroux,3,3,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
L'Orne,4,4,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
La Seine,9,9,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
L'Aire,3,3,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
L'Aisne,6,6,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
L'Oise,3,3,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
La Marne,6,6,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
La Cure,3,3,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
L'Aube,3,3,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
La Meuse,5,5,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
La Moselle,3,3,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
L'Ill,3,3,0,0,False,False,False,fewer_than_3_stations_with_correct_observations
