scope,level,model,added,r2,delta_r2
gap_30,station,gap_length,gap_length,0.0,0.0
gap_30,station,gap_length+acf30,acf30,0.0647648188547355,0.0647648188547355
gap_30,station,gap_length+acf30+donor_r2,donor_r2,0.6728736922052412,0.6081088733505057
gap_30,station,gap_length+acf30+donor_r2+heuristic_explained_variance,heuristic_explained_variance,0.6782923196789452,0.00541862747370403
gap_30,station,gap_length+acf30+donor_r2+heuristic_explained_variance+recoverability_r,recoverability_r,0.8406534535101934,0.16236113383124817
gap_30,network,gap_length,gap_length,0.0,0.0
gap_30,network,gap_length+acf30,acf30,0.8052350176006364,0.8052350176006366
gap_30,network,gap_length+acf30+donor_r2,donor_r2,0.8608212407118121,0.05558622311117567
gap_30,network,gap_length+acf30+donor_r2+heuristic_explained_variance,heuristic_explained_variance,,
gap_30,network,gap_length+acf30+donor_r2+heuristic_explained_variance+recoverability_r,recoverability_r,,
gap_90,station,gap_length,gap_length,0.0,0.0
gap_90,station,gap_length+acf30,acf30,0.0647648188547354,0.06476481885473562
gap_90,station,gap_length+acf30+donor_r2,donor_r2,0.6728736922052414,0.608108873350506
gap_90,station,gap_length+acf30+donor_r2+heuristic_explained_variance,heuristic_explained_variance,0.6750151876170771,0.0021414954118357254
gap_90,station,gap_length+acf30+donor_r2+heuristic_explained_variance+recoverability_r,recoverability_r,0.9509176999784046,0.27590251236132746
gap_90,network,gap_length,gap_length,0.0,0.0
gap_90,network,gap_length+acf30,acf30,0.8052350176006363,0.8052350176006365
gap_90,network,gap_length+acf30+donor_r2,donor_r2,0.8608212407118119,0.05558622311117556
gap_90,network,gap_length+acf30+donor_r2+heuristic_explained_variance,heuristic_explained_variance,,
gap_90,network,gap_length+acf30+donor_r2+heuristic_explained_variance+recoverability_r,recoverability_r,,
