n_days,n_stations,days_with_min_stations,overlap_start,overlap_end,overlap_years,station_coverage,complete_enough,network_id,name,use,ok
9132,7,8857,2000-01-01,2024-12-31,24.999315537303218,"{'01427301': 0.2925974594831362, '01427207': 0.7277704774419623, '01427510': 0.9934296977660972, '01432160': 0.9517082785808147, '01432805': 0.9667104686815593, '01434000': 0.2189005694261936, '01477050': 0.7665352606219886}",True,delaware_river_huc20,Delaware River,build,True
8854,6,8427,2001-10-19,2024-12-31,23.200547570157426,"{'14158100': 0.5797379715382878, '14166000': 0.9983058504630675, '14174000': 0.9571944883668398, '14192015': 0.811271741585724, '14197900': 0.8139823808448159, '14211720': 0.8137564942398916}",True,willamette_river_huc17,Willamette River,build,True
8406,4,1648,2019-12-12,2024-12-31,5.054072553045859,"{'02315550': 0.3348798477278135, '02319800': 0.26409707351891504, '02320500': 0.32036640494884605, '02323592': 0.8867475612657626}",False,suwannee_river_huc31,Suwannee River,build,False
6147,6,1350,2016-07-01,2024-09-30,8.24914442162902,"{'06191500': 0.5672685863022613, '06192500': 0.7336912314950382, '06195750': 0.28583048641613795, '06195950': 0.3079551000488043, '06214500': 0.40735318041320967, '06329500': 0.29184968277208395}",False,yellowstone_river_huc10,Yellowstone River,build,False
7722,5,1425,2011-11-18,2024-12-31,13.119780971937029,"{'08313000': 0.20603470603470603, '08317400': 0.9541569541569541, '08329918': 0.529008029008029, '08363510': 0.39083139083139085, '08364000': 0.6566951566951567}",False,rio_grande_huc13,Rio Grande,build,False
9102,5,4550,2011-03-16,2024-12-31,13.796030116358658,"{'06037500': 0.42243462975170293, '06038500': 0.6182157767523622, '06038800': 0.7530213139969237, '06040000': 0.35025269171610635, '06041000': 0.9939573720061525}",True,madison_river_huc10,Madison River,build,True
9104,4,1697,2018-04-21,2024-12-31,6.69678302532512,"{'02423130': 0.8023945518453427, '02423160': 0.5281195079086116, '02423380': 0.2586775043936731, '02423496': 0.9896748681898067}",False,cahaba_river_huc31,Cahaba River,build,False
8757,5,2700,2017-07-20,2024-12-31,7.449691991786447,"{'14158500': 0.3107228502911956, '14158740': 0.3473792394655704, '14159110': 0.19721365764531232, '14162500': 0.9986296676944159, '14163900': 0.4866963571999543}",False,mckenzie_river_huc17,McKenzie River,build,False
7119,6,5341,2009-09-30,2024-12-31,15.252566735112936,"{'03086500': 0.718921196797303, '03090500': 0.7485601910380671, '03091500': 0.7770754319426886, '03094000': 0.7789015311139205, '03098600': 0.8409889029358056, '03099500': 0.7301587301587301}",True,mahoning_river_huc50,Mahoning River,lock,True
9132,5,7828,2000-05-11,2022-01-05,21.65366187542779,"{'0208062765': 0.9876259307928165, '02081022': 0.8694699956197985, '02081094': 0.9960578186596584, '0208114150': 0.9653964082347788, '02079500': 0.6809023215067893}",True,roanoke_river_huc30,Roanoke River,lock,True
3420,4,3006,2015-10-14,2024-12-31,9.215605749486652,"{'02321500': 0.9345029239766082, '02321958': 0.9467836257309942, '02322500': 0.9923976608187135, '02322800': 0.9874269005847953}",True,santa_fe_river_huc31,Santa Fe River,lock,True
9132,4,1824,2008-09-30,2021-01-05,12.265571526351813,"{'13340000': 0.9364870784056066, '13341050': 0.8735216819973719, '13342500': 0.9867498904949628, '13343000': 0.202365308804205}",False,clearwater_river_huc17,Clearwater River,lock,False
