network_id,block_reason,n_catalog_sites
columbia_river_huc17,last_check_name,9
delaware_river_huc02,already_downloaded_burned,8
colorado_river_huc14,last_check_name,8
chattahoochee_river_huc03,historical,7
yellowstone_river_huc10,already_downloaded_burned,6
rio_grande_huc13,already_downloaded_burned,6
mahoning_river_huc05,already_downloaded_burned,6
willamette_river_huc17,already_downloaded_burned,6
roanoke_river_huc03,already_downloaded_burned,5
madison_river_huc10,already_downloaded_burned,5
san_juan_river_huc14,last_check_site,5
mckenzie_river_huc17,already_downloaded_burned,5
cahaba_river_huc03,already_downloaded_burned,4
clearwater_river_huc17,already_downloaded_burned,4
santa_fe_river_huc03,already_downloaded_burned,4
suwannee_river_huc03,already_downloaded_burned,4
middle_fork_willamette_river_huc17,already_downloaded_burned,3
west_branch_delaware_river_huc02,already_downloaded_burned,3
deschutes_river_huc17,last_check_name,3
