n_days,n_stations,days_with_min_stations,overlap_start,overlap_end,overlap_years,station_coverage,complete_enough,network_id,display_name,ok,independent_unit,climate_or_ecoregion,n_requested_sites,catalog_overlap_is_not_concurrency
9132,18,7628,2002-05-16,2024-12-31,22.628336755646817,"{'6054500': 0.9901445466491459, '6066500': 0.9932106876916338, '6115200': 0.2916119141480508, '6177000': 0.07742006132282085, '6330000': 0.5796101620674551, '6342500': 0.5248576434515988, '6467500': 0.20137976346911957, '6486000': 0.4687910643889619, '6610000': 0.40757774857643453, '6610505': 0.5107314936487078, '6807000': 0.4202803328953132, '6813500': 0.45017520805957073, '6818000': 0.7041173893999124, '6893060': 0.507993867717915, '6906500': 0.18736311870346037, '6934500': 0.6500219010074464, '410333095530101': 0.3788874288217258, '412126095565201': 0.42017082785808146}",True,missouri_river_huc10,Missouri River (HUC2 10),True,True,cold_semiarid,18,True
9131,12,8234,2000-04-19,2024-12-31,24.700889801505816,"{'13013650': 0.5152776256707918, '13032500': 0.3988610228890592, '13038500': 0.38834738801883695, '13057000': 0.43511115978534665, '13069500': 0.4696090242032636, '13094000': 0.203373124520863, '13154500': 0.8386814149600262, '13172500': 0.0454495674077319, '13213100': 0.41912167342021683, '13269000': 0.4818749315518563, '13317660': 0.7656335560179608, '13334300': 0.9200525681743511}",True,snake_river_huc17,SNAKE RIVER (HUC2 17),True,True,marine_west_coast,12,True
9132,8,9131,2000-01-01,2024-12-31,24.999315537303218,"{'7086000': 0.9266316250547525, '7096000': 0.9718572054314498, '7097000': 0.9651773981603153, '7099400': 0.6381953569864214, '7109500': 0.9639728427507666, '7119700': 0.9730617608409987, '7120500': 0.4964958388085852, '7164500': 0.6835304424003504}",True,arkansas_river_huc11,ARKANSAS RIVER (HUC2 11),True,True,humid_subtropical,8,True
9132,8,9132,2000-01-01,2024-12-31,24.999315537303218,"{'4136000': 0.9898160315374507, '4136500': 0.9958388085851949, '4136900': 0.9772229522558038, '4137005': 0.9848883048620236, '4137020': 0.981712658782304, '4137025': 0.9922251423565484, '4137030': 0.9958388085851949, '4137500': 0.9948532632501095}",True,au_sable_river_huc04,AU SABLE RIVER (HUC2 04),True,True,humid_continental,8,True
9132,7,9131,2000-01-01,2024-12-31,24.999315537303218,"{'14330000': 0.9921156373193167, '14335075': 0.026500219010074464, '14337600': 0.9867498904949628, '14338100': 0.029456855015330706, '14339000': 0.9914586070959264, '14361500': 0.6892247043363995, '14372300': 0.9798510731493649}",True,rogue_river_huc17,ROGUE RIVER (HUC2 17),True,True,marine_west_coast,7,True
3465,6,1319,2002-01-31,2024-11-05,22.76249144421629,"{'12323800': 0.48138528138528136, '12324200': 0.34054834054834054, '12324400': 0.4017316017316017, '12340500': 0.20606060606060606, '12353650': 0.5171717171717172, '12354700': 0.5203463203463203}",False,clark_fork_huc17,Clark Fork (HUC2 17),False,True,marine_west_coast,6,True
9131,6,8491,2000-01-01,2024-12-31,24.999315537303218,"{'8057000': 0.29460081042602126, '8057410': 0.2828824882269193, '8062500': 0.9158909210382215, '8065350': 0.9225714598620085, '8067100': 0.4918409812725879, '8067252': 0.9800679005585369}",True,trinity_rv_huc12,Trinity Rv (HUC2 12),True,True,subtropical_semiarid,6,True
8669,6,5824,2000-05-02,2024-12-31,24.6652977412731,"{'7048600': 0.2999192525089399, '7049691': 0.5835736532472027, '7053450': 0.6251009343638251, '7054501': 0.625446995039797, '7054527': 0.6433267966316761, '7060500': 0.9673549428999885}",True,white_river_huc11,White River (HUC2 11),True,True,humid_subtropical,6,True
6959,5,1403,2014-07-01,2024-11-30,10.417522245037645,"{'6024450': 0.7411984480528812, '6024580': 0.16539732720218422, '6025250': 0.17488144848397758, '6025500': 0.9580399482684294, '6026210': 0.2179910906739474}",False,big_hole_river_huc10,Big Hole River (HUC2 10),False,True,cold_semiarid,5,True
2319,5,2003,2016-10-06,2024-11-30,8.150581793292266,"{'2141500': 0.8576972833117723, '214196125': 0.8171625700733075, '214244102': 0.9400603708495041, '2145910': 0.7335058214747736, '2147310': 0.9465286761535144}",True,catawba_river_huc03,CATAWBA RIVER (HUC2 03),True,True,humid_subtropical,5,True
4485,5,3966,2013-12-05,2024-12-31,11.071868583162217,"{'5515500': 0.8813823857302118, '5517500': 0.7034559643255296, '5518000': 0.7190635451505016, '5527000': 0.9725752508361204, '5527500': 0.8938684503901895}",True,kankakee_river_huc07,KANKAKEE RIVER (HUC2 07),True,True,humid_continental,5,True
8882,5,4432,2012-11-09,2024-12-31,12.14236824093087,"{'2198920': 0.9953839225399684, '21989715': 0.49628462058095024, '21989773': 0.7219094798468814, '219897993': 0.4584553028597163, '2198980': 0.4551902724611574}",True,savannah_river_huc03,SAVANNAH RIVER (HUC2 03),True,True,humid_subtropical,5,True
