policy,k,mean_mae,worst_case_mae,selected,n_evaluated
random,2,0.9786755094443443,1.02054705159875,random_ensemble,
spatially_even,2,1.022180974506456,1.1185722879264208,"0,5",2.0
distance,2,1.022180974506456,1.1185722879264208,"0,5",2.0
correlation_redundancy,2,1.0419316674149148,1.0455093434251925,"3,5",2.0
observability_gramian,2,1.0734850185177782,1.084974696459742,"2,5",2.0
proposed_recoverability,2,0.8812789242910097,0.930887270876083,"0,1",2.0
oracle,2,0.9269169048806292,0.9276887395642187,"4,5",2.0
random,3,0.9308590731269553,0.9638787124365402,random_ensemble,
spatially_even,3,0.9969174881910398,1.0772281636582848,"0,2,5",3.0
distance,3,0.9969174881910398,1.0772281636582848,"0,2,5",3.0
correlation_redundancy,3,1.004560083369767,1.0349406398942351,"1,3,5",3.0
observability_gramian,3,0.9471810447466525,1.0368847329260347,"2,3,5",3.0
proposed_recoverability,3,0.8588615799326682,0.9233242226357492,"0,1,2",3.0
oracle,3,0.918296491210337,0.9207213401681416,"0,4,5",3.0
random,4,0.8843277262407709,0.9498453630172086,random_ensemble,
spatially_even,4,0.9243624036439948,1.0308286991150777,"0,2,3,5",4.0
distance,4,0.906429554312943,1.0731889193515756,"0,1,2,5",4.0
correlation_redundancy,4,0.9029184803372816,0.984400767396125,"1,3,4,5",4.0
observability_gramian,4,0.9079701081933906,1.0308681678423746,"1,2,3,5",4.0
proposed_recoverability,4,0.8463482742921155,0.9174036957336619,"0,1,2,3",4.0
oracle,4,0.8953942366596989,0.9147703659463001,"1,2,4,5",4.0
