cell,family,split,gap_length,node_type,donor_relation,n_donors,donor_direction,travel_time_role,marginal_phi,marginal_acf30,donor_r2,true_conditional_mae,true_recoverability,operator_recoverability,gap_length_only,acf_only,donor_r2_only,additive_d4,sigma_cond_00,sigma_cond_01,sigma_cond_10,sigma_cond_11
E,twin_e_f01,design_debug,30,dam_like_interior,redundant,1,downstream,boundary_redundant,0.93,0.11336747050630029,0.32885906040268453,0.6774059121349928,0.150997593620112,0.150997593620112,30.0,0.11336747050630029,0.32885906040268453,0.5548327933232311,0.48721071863581,0.0,0.0,1.0
E,twin_e_f01,design_debug,30,ordinary_endpoint,complementary,1,upstream,boundary_complementary,0.93,0.11336747050630029,0.32885906040268453,0.6459800748706575,0.1903840397404798,0.1903840397404798,30.0,0.11336747050630029,0.32885906040268453,0.5548327933232311,0.64,0.0,0.0,0.6711409395973155
E,twin_e_f01,design_debug,90,dam_like_interior,redundant,1,downstream,boundary_redundant,0.93,0.11336747050630029,0.32885906040268453,0.6814628241579246,0.14591300842792632,0.14591300842792632,90.0,0.11336747050630029,0.32885906040268453,0.3544771309047532,0.501510390402247,0.0,0.0,1.0
E,twin_e_f01,design_debug,90,ordinary_endpoint,complementary,1,upstream,boundary_complementary,0.93,0.11336747050630029,0.32885906040268453,0.6521303388349001,0.18267582696587237,0.18267582696587237,90.0,0.11336747050630029,0.32885906040268453,0.3544771309047532,0.6649039470554583,0.0,0.0,0.6711409395973155
E,twin_e_f01,design_debug,180,dam_like_interior,redundant,1,downstream,boundary_redundant,0.93,0.11336747050630029,0.32885906040268453,0.6838845647450916,0.14287780671311912,0.14287780671311912,180.0,0.11336747050630029,0.32885906040268453,0.3298369258516955,0.5101450437521292,0.0,0.0,1.0
E,twin_e_f01,design_debug,180,ordinary_endpoint,complementary,1,upstream,boundary_complementary,0.93,0.11336747050630029,0.32885906040268453,0.6558429144301462,0.1780228034864979,0.1780228034864979,180.0,0.11336747050630029,0.32885906040268453,0.3298369258516955,0.6801671566596492,0.0,0.0,0.6711409395973155
E,twin_e_f02,design_debug,30,dam_like_interior,redundant,1,downstream,boundary_redundant,0.52,3.020649319540282e-09,0.5,0.6481595472282762,0.1876524762227878,0.1876524762227878,30.0,3.020649319540282e-09,0.5,0.500027480217064,0.3902439024390245,0.0,0.0,1.0
E,twin_e_f02,design_debug,30,ordinary_endpoint,complementary,1,upstream,boundary_complementary,0.52,3.020649319540282e-09,0.5,0.6012486160950244,0.24644660940672614,0.24644660940672614,30.0,3.020649319540282e-09,0.5,0.500027480217064,0.64,0.0,0.0,0.5
E,twin_e_f02,design_debug,90,dam_like_interior,redundant,1,downstream,boundary_redundant,0.52,3.020649319540282e-09,0.5,0.6510551002113018,0.18402343873381588,0.184023438733816,90.0,3.020649319540282e-09,0.5,0.500000000000083,0.39936474907841035,0.0,0.0,1.0
E,twin_e_f02,design_debug,90,ordinary_endpoint,complementary,1,upstream,boundary_complementary,0.52,3.020649319540282e-09,0.5,0.607398880059267,0.23873839663211882,0.23873839663211882,90.0,3.020649319540282e-09,0.5,0.500000000000083,0.6649039470554583,0.0,0.0,0.5
E,twin_e_f02,design_debug,180,dam_like_interior,redundant,1,downstream,boundary_redundant,0.52,3.020649319540282e-09,0.5,0.6527715201138632,0.18187222540436587,0.18187222540436587,180.0,3.020649319540282e-09,0.5,0.5,0.40482112387668234,0.0,0.0,1.0
E,twin_e_f02,design_debug,180,ordinary_endpoint,complementary,1,upstream,boundary_complementary,0.52,3.020649319540282e-09,0.5,0.6111114556545131,0.23408537315274436,0.23408537315274436,180.0,3.020649319540282e-09,0.5,0.5,0.6801671566596492,0.0,0.0,0.5
