network_id,role,n_sites_planned,network_plan_sha256,materialization_status,n_auxiliary_rows,n_source_failures_or_unavailable,n_attempt_archives
huc8_01070004,development,3,d15eed6462d191fc8cabe7a83c4abea52dc4dbab344ad73e55e7bb759b468bf8,not_materialized,0,0,0
huc8_01090001,development,9,0c0234b16d820b2a15eaae2b3e8f1ca55c8717c7a19b98a8f4704030087f51ef,not_materialized,0,0,0
huc8_01090004,development,9,6e18fb4c8838dd5e21c3016f376e0de5412fcfdfd35e42fa162ef3ab7d5270ae,not_materialized,0,0,0
huc8_02020006,development,3,9a0ef1996a6938dc91999217e9a4f2b532b0d66e04319cc094bfe9ba88e34d8f,not_materialized,0,0,0
huc8_02040103,development,3,20742f82e0ab8d8210baeb276a444a7859cb059f5861efebad4bb2999130c56b,not_materialized,0,0,0
huc8_02040106,development,5,23e3d9f54c537c5a44bc24359c4473f991f7bbc3245bfcf417783734bdb9af09,not_materialized,0,0,0
huc8_02040203,development,3,d54fd1d83b167800a074341406fc2b6ec66af4843da7da7290ca033535cedde1,not_materialized,0,0,0
huc8_02040205,development,8,43a374d538b154733e4683b2880eacce73f73c817b9bcec0953b1ce4edd50e62,not_materialized,0,0,0
huc8_02050104,development,3,926b61191d7e065f695eac3bc20b69e386bc4f241df0c4356ccb4190c3b40244,not_materialized,0,0,0
huc8_02050305,development,4,0ee8b5d2cbf7fde02164946b99061d2cf4c504ee79e6758998b1bf91cc3c3185,not_materialized,0,0,0
huc8_02060003,development,4,c51bd5ecfb8ac5dafef91bdb73c5bedf8d2c8735397b8498a61aa5391c2b4b0c,not_materialized,0,0,0
huc8_02070002,development,3,234d71c9e39b99970106866728ac478325db56bba6a27b9ddcd56c36f4910d66,not_materialized,0,0,0
huc8_02070008,development,3,998ae3d52a56204988c7a9eefebadf8636bfdb22fca6dd61a187a440c98fd460,not_materialized,0,0,0
huc8_02070010,development,4,89fd1e10b8d5947f12788bfe4ec614ecdc17a1d70f76761fc54c8f212d8cc678,not_materialized,0,0,0
huc8_02080201,development,7,c7e7103fcdfa7160b9bf7470201c2f613f77ad6930c35bd9fb5419a26f846beb,not_materialized,0,0,0
huc8_03070101,development,3,3e7d33d76a967da9b0118d5233a5d382c3338de7dc563605c0633d9de3abbe82,not_materialized,0,0,0
huc8_04020105,development,3,1d840984560e2423d9642e186fef0ee492bc1021fbc14fbaa843c6e26db38486,not_materialized,0,0,0
huc8_04040003,development,3,0e3e8aeb856f99b56a7550131c147aba2364fefff3fd2968b4cca39263bd799a,not_materialized,0,0,0
huc8_04060102,development,5,780e9abb4be0ab0a945b4d5c3aa112ff6fd0ba1025215fc38092258931e37e2a,not_materialized,0,0,0
huc8_04060103,development,4,ae85b17c4ebfc318376b3d1b080d3fbd85ee2aa327b2bf299765d0b04e085323,not_materialized,0,0,0
huc8_04070007,development,8,c929cf894b5114e51083451d78edcfba258b34190726ac3a41c523e6834580d2,not_materialized,0,0,0
huc8_04140101,development,3,ebf94e94e69dd6dcb66335e6dce1d131bb005550f18210a19b996f4d26a04689,not_materialized,0,0,0
huc8_05010005,development,4,c660c9c674fa1b32bb47e43ecb82d4330211c161ae3405c8464990964ae2ce39,not_materialized,0,0,0
huc8_05010006,development,5,c4019f3604b0bd9b2e88f705cfc7c3377290bc499645e06a7d2a827f164cd21d,not_materialized,0,0,0
huc8_05010007,development,4,0df4994f1ebdfa16ebb7869b45591f853e2733ee4ac10a42d9d44b223406574f,not_materialized,0,0,0
huc8_05020001,development,3,ba7bab351850f4a489d8d1e2eb262c275baf05cdd830ab655f8135bbae887cd2,not_materialized,0,0,0
huc8_05020005,development,4,54a9a9dc65668aeca54ad0d5534c32aa3797de2fbd24b082e40b0c762d9d92c3,not_materialized,0,0,0
huc8_05020006,development,5,51a8e116866a4a5f8c4a5606d84c3b934091319abd245c7259e429fc3651596d,not_materialized,0,0,0
huc8_05030102,development,5,6174aa55063ae0a6f18f361615e506cd83a44b8aa7df8324f550160a26839bc0,not_materialized,0,0,0
huc8_05040001,development,11,1df81350adbafacc4db110b99ee0075376af792b72ba380e8eab37cae657f18d,not_materialized,0,0,0
huc8_05040005,development,3,d7cb28d6c76daab58ffb2a1bd202335b00c80fc1aa54271c97302440fe7c1ceb,not_materialized,0,0,0
huc8_05090203,development,3,fd2004cb40e4915377e3e68a38db59f504fee4027598208ee8a9f6b528034858,not_materialized,0,0,0
huc8_05110001,development,3,d4c55fa3e9a0029a9529dc6b531d6dc808fcd030a5b96bcb5e2acc5a6f86b1bd,not_materialized,0,0,0
huc8_05120201,development,5,5e97a66e401f7fd77e1c9ae5d34c98d3e668dc55e003bcfa91210fa7ef88a83a,not_materialized,0,0,0
huc8_05130202,development,3,6900af7a72d1e334a5ab77ea390167fcc458510915f0a8f2b75cd46a73ed4988,not_materialized,0,0,0
huc8_05140101,development,8,6534fe0b608356ed3bb684532051794579e63480a928f2f7b57b42be3f2ca136,not_materialized,0,0,0
huc8_05140102,development,13,b2ebfba4f96c1c65184e1248cc671466776ba38ee11f13c1a9233382ad3fdd12,not_materialized,0,0,0
huc8_07040006,development,4,1f61d4198cb6ee9dc16f8808a548ed21a27fe88fe9dacc03f6042d2b460ea0f0,not_materialized,0,0,0
huc8_07070005,development,3,c567d712386a662f4f3b046622e5cdd9bec45f29b168d19322e5b31347212462,not_materialized,0,0,0
huc8_07120001,development,9,5956558ff70d8f678909144d595856a5947c0735601a56a118374811fa500b43,not_materialized,0,0,0
huc8_07120004,development,3,3deb5d109370a7e3623f07a5b4d74cf4a21c7c444e7fbc5e4e428bf43735b2a6,not_materialized,0,0,0
huc8_10230006,development,3,7eea76eb9e07fec2441aa2ddbfe326dfe00565203ff65cc395ee401a20079652,not_materialized,0,0,0
huc8_10300101,development,5,b75b5b0770a5ada702e160b450ee59d984205c01ddbee8f065cd33403c482ce5,not_materialized,0,0,0
huc8_13060011,development,3,e90075cd93e5eb02f33f79fcce5e70bbf32f847170930f996647daff9f1430ee,not_materialized,0,0,0
huc8_15030108,development,3,7b7c345fdb97fabe82137b710c5ff7b497f17de0ff2eb6d5a1e279943cf83932,not_materialized,0,0,0
huc8_16020102,development,3,3f8c7bf313577c5c6b81a6a476f4e1a3b9c61c3fda6b55dd951df2e4392214dc,not_materialized,0,0,0
huc8_16050102,development,3,983ce3a32a087b96cf1357815dfc0e09e1d74586560753319547b436d518f473,not_materialized,0,0,0
huc8_03040206,validation,4,fb27a2bae5bf70c93b47d818e8e9b78ca068af560c8c8aa2971b06471821cffb,not_materialized,0,0,0
huc8_03050106,validation,3,33912138704d0dd77988363ef1c1eff854aa466d2b3fdf351996aa2c1c309f45,not_materialized,0,0,0
huc8_03050109,validation,5,8ca6ab4bc461a566a55407135665af3ca03e26a8c0f2425b6f89a8123bd0a3f3,not_materialized,0,0,0
huc8_03050208,validation,5,abce58eb9b77ac0cd7570108dffc8bee36afaf48678a719c9d955c375e1e1e88,not_materialized,0,0,0
huc8_03060106,validation,4,d4a105d1cc46e048639bba7d88d7faea7b881fa2109b9eb8aa88347cedf4f711,not_materialized,0,0,0
huc8_03070103,validation,19,3f3680c8a5dfed8c25d8f0a4d1e4eb9fc22efcec911b72d36b6837a0b2c9215b,not_materialized,0,0,0
huc8_03080103,validation,16,dcbbdd141962f54881b0fb683ec23bd3411bd4b2a71b5766b6b352e12a9325d4,not_materialized,0,0,0
huc8_03090101,validation,5,da65edfd45cedef8078cdb132e44a5282649fefc4e71203633d4ff2f60c79297,not_materialized,0,0,0
huc8_03090204,validation,7,adf4736ae6ac8260c14329885346e9151d68904c8b2d105c80b2d1ff8cf0ad7c,not_materialized,0,0,0
huc8_03100101,validation,4,8d126e6a90eef5860158299f7a5e8d465f82f631bc8b707e8791154f112f0ac9,not_materialized,0,0,0
huc8_03100204,validation,3,259072d46d96f3a709afe5812549ced8631183f829b2d20ce6dd725156a3e8a6,not_materialized,0,0,0
huc8_03100205,validation,5,5ed153faae587010330d8a3600f6223b4dbf87fb9618361ec910470d74d33577,not_materialized,0,0,0
huc8_03100207,validation,12,6ff5bb6da65e587920bdfb65dfe0166fb93141ca94cd998ad920af2918dcdfe2,not_materialized,0,0,0
huc8_03150104,validation,5,8159c8c59f65554dbf47e8f5904b5dcefb3d4e1693096662ed6e9694cab611c4,not_materialized,0,0,0
huc8_03160111,validation,5,11072f9127c08dd44c582c9444338185d9939e96c483db88d16dfb1c25c588c9,not_materialized,0,0,0
huc8_11010014,validation,3,7081034cd3907dd405aa0c8884759a6d3cf74b99e5bb4d832d912c7bbff37aec,not_materialized,0,0,0
huc8_11020002,validation,5,af5c310896e209fb552f07692ba6c7871a604e6cbb9b680e64149f3f28fa7d04,not_materialized,0,0,0
huc8_11020003,validation,5,98dcb3fbc61d60a334454f63d4a4adad82a143a6f758d2d01186abe3e64deec6,not_materialized,0,0,0
huc8_11030012,validation,3,d02563ad3d6902b0a1105236c8c21d6ffdcc655ae042893eec6fca4b1b1edc58,not_materialized,0,0,0
huc8_11130206,validation,4,06e91667b2c5c26a5eab983cdfd9fddd6fa4e60e47db53c86648e7145a890daf,not_materialized,0,0,0
