network_id,provider,n_locked_stations,n_qc_accepted_stations,n_selected_common_stations,selected_common_station_ids,n_common_qualified_years,common_qualified_years,reason
foen_doubs_rhonegebiet,foen,4,1,0,,0,,fewer_than_3_qc_accepted_stations;fewer_than_8_common_300_day_years
foen_emme_aaregebiet,foen,3,2,0,,0,,fewer_than_3_qc_accepted_stations;fewer_than_8_common_300_day_years
foen_inn_inngebiet,foen,6,4,0,,0,,fewer_than_8_common_300_day_years
foen_linth_limmatgebiet,foen,3,2,0,,0,,fewer_than_3_qc_accepted_stations;fewer_than_8_common_300_day_years
foen_simme_aaregebiet,foen,3,0,0,,0,,fewer_than_3_qc_accepted_stations;fewer_than_8_common_300_day_years
foen_thur_rheingebiet,foen,3,2,0,,0,,fewer_than_3_qc_accepted_stations;fewer_than_8_common_300_day_years
foen_ticino_tessingebiet,foen,4,1,0,,0,,fewer_than_3_qc_accepted_stations;fewer_than_8_common_300_day_years
huc8_08030207,usgs_nwis,4,1,0,,0,,fewer_than_3_qc_accepted_stations;fewer_than_8_common_300_day_years
huc8_08080101,usgs_nwis,3,3,0,,0,,fewer_than_8_common_300_day_years
huc8_09020203,usgs_nwis,3,3,0,,0,,fewer_than_8_common_300_day_years
huc8_12030105,usgs_nwis,3,3,0,,0,,fewer_than_8_common_300_day_years
huc8_12030203,usgs_nwis,3,2,0,,0,,fewer_than_3_qc_accepted_stations;fewer_than_8_common_300_day_years
huc8_17010201,usgs_nwis,5,5,0,,0,,fewer_than_8_common_300_day_years
huc8_17010204,usgs_nwis,3,1,0,,0,,fewer_than_3_qc_accepted_stations;fewer_than_8_common_300_day_years
huc8_17060208,usgs_nwis,5,5,0,,0,,fewer_than_8_common_300_day_years
huc8_17070101,usgs_nwis,3,3,0,,0,,fewer_than_8_common_300_day_years
huc8_17070105,usgs_nwis,4,4,0,,0,,fewer_than_8_common_300_day_years
huc8_17090009,usgs_nwis,3,3,0,,0,,fewer_than_8_common_300_day_years
huc8_17100309,usgs_nwis,3,2,0,,0,,fewer_than_3_qc_accepted_stations;fewer_than_8_common_300_day_years
huc8_18040010,usgs_nwis,3,3,0,,0,,fewer_than_8_common_300_day_years
huc8_18050004,usgs_nwis,3,3,0,,0,,fewer_than_8_common_300_day_years
huc8_19020301,usgs_nwis,3,3,0,,0,,fewer_than_8_common_300_day_years
