site_id,n_raw,n_sentinel,n_out_of_range,n_provisional_dropped,n_constant_run_days,n_jump,qualified_years,verdict,notes,network_id,provider
2210,8767,0,0,0,0,0,24,accepted,,foen_doubs_rhonegebiet,foen
2070,18264,0,0,0,0,0,50,accepted,,foen_emme_aaregebiet,foen
2155,2921,0,0,0,0,0,8,accepted,,foen_emme_aaregebiet,foen
2067,4108,0,0,0,0,0,11,accepted,,foen_inn_inngebiet,foen
2265,3668,0,0,14,244,0,10,accepted_with_flags,suspect_constant_run,foen_inn_inngebiet,foen
2403,2190,0,0,0,0,0,6,accepted,,foen_inn_inngebiet,foen
2462,16711,0,0,0,461,0,45,accepted_with_flags,suspect_constant_run,foen_inn_inngebiet,foen
2104,18993,0,0,0,0,0,52,accepted,,foen_linth_limmatgebiet,foen
2372,18993,0,0,0,0,0,52,accepted,,foen_linth_limmatgebiet,foen
2018,18993,0,0,0,0,0,52,accepted,,foen_reuss_reussgebiet,foen
2056,18993,0,0,0,0,0,52,accepted,,foen_reuss_reussgebiet,foen
2110,5479,0,0,0,0,0,15,accepted,,foen_reuss_reussgebiet,foen
2152,18993,0,0,0,0,0,52,accepted,,foen_reuss_reussgebiet,foen
2091,18993,0,0,116,0,0,51,accepted,,foen_rhein_rheingebiet,foen
2143,18993,0,0,0,0,0,52,accepted,,foen_rhein_rheingebiet,foen
2288,6202,0,0,0,0,0,17,accepted,,foen_rhein_rheingebiet,foen
2473,18993,0,0,0,0,0,52,accepted,,foen_rhein_rheingebiet,foen
2613,11319,0,0,0,0,0,31,accepted,,foen_rhein_rheingebiet,foen
2615,1678,0,0,2,0,0,4,accepted,,foen_rhein_rheingebiet,foen
2009,18993,0,0,0,0,0,52,accepted,,foen_rhone_rhonegebiet,foen
2011,18993,0,0,0,32,0,52,accepted_with_flags,suspect_constant_run,foen_rhone_rhonegebiet,foen
2174,18993,0,0,0,0,0,52,accepted,,foen_rhone_rhonegebiet,foen
2268,1096,0,0,1096,0,0,0,accepted,,foen_rhone_rhonegebiet,foen
2346,5843,0,0,0,0,0,16,accepted,,foen_rhone_rhonegebiet,foen
2606,9862,0,0,0,0,0,27,accepted,,foen_rhone_rhonegebiet,foen
2623,8402,0,0,0,0,0,23,accepted,,foen_rhone_rhonegebiet,foen
2044,18993,0,0,0,0,0,52,accepted,,foen_thur_rheingebiet,foen
2181,10512,0,0,0,0,0,28,accepted,,foen_thur_rheingebiet,foen
2068,17778,0,0,0,0,0,48,accepted,,foen_ticino_tessingebiet,foen
02172002,4047,0,0,217,0,0,9,accepted,,huc8_03050201,usgs_nwis
02172040,13920,0,0,216,0,0,36,accepted,,huc8_03050201,usgs_nwis
02172050,15193,0,0,161,0,0,41,accepted,,huc8_03050201,usgs_nwis
021720508,3705,0,0,259,0,0,9,accepted,,huc8_03050201,usgs_nwis
02172053,15120,0,0,259,30,0,41,accepted_with_flags,estimated_approved;suspect_constant_run,huc8_03050201,usgs_nwis
021720677,9957,0,0,228,15,0,24,accepted_with_flags,suspect_constant_run,huc8_03050201,usgs_nwis
0217206962,3645,0,0,230,0,0,9,accepted,,huc8_03050201,usgs_nwis
02198810,5500,0,0,526,0,0,13,accepted,,huc8_03060109,usgs_nwis
02198820,4667,0,0,217,0,0,12,accepted,,huc8_03060109,usgs_nwis
02198840,9408,0,0,85,0,0,24,accepted,,huc8_03060109,usgs_nwis
02198920,9497,0,0,257,0,0,24,accepted,,huc8_03060109,usgs_nwis
02198950,4708,0,0,258,0,0,12,accepted,,huc8_03060109,usgs_nwis
02198955,4297,0,0,216,0,0,10,accepted,,huc8_03060109,usgs_nwis
021989773,7012,0,0,459,0,0,17,accepted,,huc8_03060109,usgs_nwis
021989784,9321,1,0,207,0,0,23,rejected_sentinel,,huc8_03060109,usgs_nwis
021989792,4745,0,0,210,0,0,12,accepted,,huc8_03060109,usgs_nwis
021989793,4478,0,0,66,0,0,11,accepted,,huc8_03060109,usgs_nwis
0219897945,4616,0,0,91,0,0,12,accepted,,huc8_03060109,usgs_nwis
0219897993,4668,0,0,443,0,0,11,accepted,,huc8_03060109,usgs_nwis
02198980,4636,0,0,436,0,0,11,accepted,,huc8_03060109,usgs_nwis
022907085,3874,0,0,0,0,0,10,accepted,,huc8_03090202,usgs_nwis
022908295,8185,0,0,274,0,0,22,accepted,,huc8_03090202,usgs_nwis
251241080385300,9332,0,0,0,0,0,25,accepted_with_flags,estimated_approved,huc8_03090202,usgs_nwis
255151080371501,3527,0,0,115,0,0,9,accepted,,huc8_03090202,usgs_nwis
265929080091800,8109,0,0,271,0,0,21,accepted,,huc8_03090202,usgs_nwis
07288000,2622,0,0,2,0,0,4,accepted_with_flags,estimated_approved,huc8_08030207,usgs_nwis
07288280,4179,265,0,0,0,0,9,rejected_sentinel,,huc8_08030207,usgs_nwis
07288500,4806,8,0,0,98,2,9,rejected_sentinel,suspect_constant_run;suspect_jump,huc8_08030207,usgs_nwis
07288650,3300,3,0,0,0,0,4,rejected_sentinel,,huc8_08030207,usgs_nwis
294736091164200,2987,0,0,0,0,0,7,accepted,,huc8_08080101,usgs_nwis
295011091184300,1941,0,0,0,0,0,3,accepted,,huc8_08080101,usgs_nwis
