network_id,station_id,role,regulated,donor_count,donor_direction,nearest_donor_distance_km,drainage_area_sqkm,climate,bfi,catalog_climate_band,catalog_regulation_stratum,donor_station_ids,eligible_for_matching
huc8_01070004,01095220,development,False,2,U0_D0_B0_X2,5.197878878924518,78.7,NorthEast,51.9,humid_continental,regulated,01095375|01095434,False
huc8_01070004,01095375,development,True,2,U0_D0_B0_X2,4.433871591308089,115.2,NorthEast,52.0,humid_continental,regulated,01095220|01095434,False
huc8_01070004,01095434,development,,2,U0_D0_B0_X2,4.433871591308089,,,,humid_continental,regulated,01095220|01095375,False
huc8_01090001,01104370,development,,8,,1.9234925233067834,,,,humid_continental,regulated,01104410|01104415|01104420|01104430|01104453|01104455|01104460|01104475,False
huc8_01090001,01104410,development,,8,,0.3474835935621996,,,,humid_continental,regulated,01104370|01104415|01104420|01104430|01104453|01104455|01104460|01104475,False
huc8_01090001,01104415,development,,8,,0.3474835935621996,,,,humid_continental,regulated,01104370|01104410|01104420|01104430|01104453|01104455|01104460|01104475,False
huc8_01090001,01104420,development,,8,,1.8031619644107513,,,,humid_continental,regulated,01104370|01104410|01104415|01104430|01104453|01104455|01104460|01104475,False
huc8_01090001,01104430,development,True,8,U2_D3_B0_X3,1.9234925233067834,17.5,NorthEast,57.4,humid_continental,regulated,01104370|01104410|01104415|01104420|01104453|01104455|01104460|01104475,False
huc8_01090001,01104453,development,,8,,0.42769826749221357,,,,humid_continental,regulated,01104370|01104410|01104415|01104420|01104430|01104455|01104460|01104475,False
huc8_01090001,01104455,development,,8,,0.4021802185341821,,,,humid_continental,regulated,01104370|01104410|01104415|01104420|01104430|01104453|01104460|01104475,False
huc8_01090001,01104460,development,True,8,,0.4021802185341821,57.1,NorthEast,57.6,humid_continental,regulated,01104370|01104410|01104415|01104420|01104430|01104453|01104455|01104475,False
huc8_01090001,01104475,development,False,8,,1.6192074710393662,2.1,NorthEast,57.6,humid_continental,regulated,01104370|01104410|01104415|01104420|01104430|01104453|01104455|01104460,False
huc8_01090004,01115098,development,False,8,,0.8200612428494176,13.4,NorthEast,54.9,humid_continental,unregulated,01115110|01115170|01115183|01115184|01115190|01115265|01115275|01115276,False
huc8_01090004,01115110,development,,8,,0.8200612428494176,,,,humid_continental,unregulated,01115098|01115170|01115183|01115184|01115190|01115265|01115275|01115276,False
huc8_01090004,01115170,development,,8,,2.136523703836116,,,,humid_continental,unregulated,01115098|01115110|01115183|01115184|01115190|01115265|01115275|01115276,False
huc8_01090004,01115183,development,,8,,3.0872064533941477,,,,humid_continental,unregulated,01115098|01115110|01115170|01115184|01115190|01115265|01115275|01115276,False
huc8_01090004,01115184,development,,8,,3.0872064533941477,,,,humid_continental,unregulated,01115098|01115110|01115170|01115183|01115190|01115265|01115275|01115276,False
huc8_01090004,01115190,development,,8,,3.5238681041251243,,,,humid_continental,unregulated,01115098|01115110|01115170|01115183|01115184|01115265|01115275|01115276,False
huc8_01090004,01115265,development,,8,,2.181196685661694,,,,humid_continental,unregulated,01115098|01115110|01115170|01115183|01115184|01115190|01115275|01115276,False
huc8_01090004,01115275,development,,8,,0.6985399389013768,,,,humid_continental,unregulated,01115098|01115110|01115170|01115183|01115184|01115190|01115265|01115276,False
huc8_01090004,01115276,development,,8,,0.6985399389013768,,,,humid_continental,unregulated,01115098|01115110|01115170|01115183|01115184|01115190|01115265|01115275,False
huc8_02020006,01359139,development,,2,,77.9321133831668,,,,humid_continental,unregulated,01362230|01362500,False
huc8_02020006,01362230,development,,2,U0_D1_B0_X1,13.569965520901691,,,,humid_continental,unregulated,01359139|01362500,False
huc8_02020006,01362500,development,False,2,,13.569965520901691,493.2,NorthEast,46.3,humid_continental,unregulated,01359139|01362230,False
huc8_02040103,01428750,development,False,1,,10.534080497772882,107.9,NorthEast,42.1,humid_continental,regulated,01429000,False
huc8_02040103,01429000,development,True,1,U1_D0_B0_X0,10.534080497772882,151.4,NorthEast,41.8,humid_continental,regulated,01428750,True
huc8_02040106,01447500,development,False,3,,5.335476470089526,240.2,NorthEast,52.2,humid_continental,regulated,01447720|01447800|01449360,False
huc8_02040106,01447720,development,True,3,U0_D1_B0_X2,5.335476470089526,308.1,NorthEast,54.6,humid_continental,regulated,01447500|01447800|01449360,False
huc8_02040106,01447800,development,True,3,,9.37672462601013,752.7,NorthEast,53.2,humid_continental,regulated,01447500|01447720|01449360,False
huc8_02040106,01449360,development,False,3,,22.533976086864747,129.5,NorthEast,56.5,humid_continental,regulated,01447500|01447720|01447800,False
huc8_02040203,01470779,development,False,2,,13.279142434731984,179.2,EastHghlnds,57.1,humid_continental,regulated,01470960|01472157,False
huc8_02040203,01470960,development,True,2,U1_D0_B0_X1,13.279142434731984,461.4,EastHghlnds,55.7,humid_continental,regulated,01470779|01472157,False
huc8_02040203,01472157,development,False,2,,43.44122122488009,152.3,SEPlains,51.6,humid_continental,regulated,01470779|01470960,False
huc8_02040205,01480065,development,,6,,7.094888179756358,,,,humid_continental,regulated,01480400|01480500|01480617|01480870|01481000|01481500,False
huc8_02040205,01480400,development,True,6,,4.866722473915248,12.0,SEPlains,53.0,humid_continental,regulated,01480065|01480500|01480617|01480870|01481000|01481500,False
huc8_02040205,01480500,development,True,6,,3.465083739379845,119.4,SEPlains,52.9,humid_continental,regulated,01480065|01480400|01480617|01480870|01481000|01481500,False
huc8_02040205,01480617,development,True,6,U1_D2_B0_X3,3.465083739379845,143.5,SEPlains,53.1,humid_continental,regulated,01480065|01480400|01480500|01480870|01481000|01481500,False
huc8_02040205,01480870,development,True,6,,10.941261954651212,232.2,SEPlains,53.2,humid_continental,regulated,01480065|01480400|01480500|01480617|01481000|01481500,False
