request_ordinal,target_station_id,direction,cache_path,status,response_sha256
0,01095220,UM,results/framework/public_catalog/nldi_cache/01095220_UM_200.json,complete,909370e7d19b58e6ff6f5ab5608f48ded9f771100118cb3dbe30e31c9fb91d30
1,01095220,DM,results/framework/public_catalog/nldi_cache/01095220_DM_200.json,complete,d7218da9e14bb984a6960fee73834907724111e7c54e55be572356c50110d49d
2,01095375,UM,results/framework/public_catalog/nldi_cache/01095375_UM_200.json,complete,fff148c44eb5a12bcb75b7b46922a1e648641d369de35e9248b406f30cee9d3c
3,01095375,DM,results/framework/public_catalog/nldi_cache/01095375_DM_200.json,complete,23b38bb2bb98f257f819aab71b31e4173f821336d64543c7426781eb0e1fc924
4,01095434,UM,results/framework/public_catalog/nldi_cache/01095434_UM_200.json,complete,a1c16883102e82b617f0f6222da61c88d0a31cbe4749509038131c63e28d76b0
5,01095434,DM,results/framework/public_catalog/nldi_cache/01095434_DM_200.json,complete,4937f4443fcab54398d2a628b97828659e674c50d31426d4e4846264a03a745c
6,01104370,UM,results/framework/public_catalog/nldi_cache/01104370_UM_200.json,missing,
7,01104370,DM,results/framework/public_catalog/nldi_cache/01104370_DM_200.json,missing,
8,01104410,UM,results/framework/public_catalog/nldi_cache/01104410_UM_200.json,missing,
9,01104410,DM,results/framework/public_catalog/nldi_cache/01104410_DM_200.json,missing,
10,01104415,UM,results/framework/public_catalog/nldi_cache/01104415_UM_200.json,missing,
11,01104415,DM,results/framework/public_catalog/nldi_cache/01104415_DM_200.json,missing,
12,01104420,UM,results/framework/public_catalog/nldi_cache/01104420_UM_200.json,missing,
13,01104420,DM,results/framework/public_catalog/nldi_cache/01104420_DM_200.json,missing,
14,01104430,UM,results/framework/public_catalog/nldi_cache/01104430_UM_200.json,complete,3cee940b381b185fb50f8fa8dcc53c4e9720f87db21babff1d053dc78600e9eb
15,01104430,DM,results/framework/public_catalog/nldi_cache/01104430_DM_200.json,complete,fd309c4093885d7e151319d986e0b5ff8b04e5fbb4f7b45c86b50e355ca7b25b
16,01104453,UM,results/framework/public_catalog/nldi_cache/01104453_UM_200.json,missing,
17,01104453,DM,results/framework/public_catalog/nldi_cache/01104453_DM_200.json,missing,
18,01104455,UM,results/framework/public_catalog/nldi_cache/01104455_UM_200.json,missing,
19,01104455,DM,results/framework/public_catalog/nldi_cache/01104455_DM_200.json,missing,
20,01104460,UM,results/framework/public_catalog/nldi_cache/01104460_UM_200.json,missing,
21,01104460,DM,results/framework/public_catalog/nldi_cache/01104460_DM_200.json,missing,
22,01104475,UM,results/framework/public_catalog/nldi_cache/01104475_UM_200.json,missing,
23,01104475,DM,results/framework/public_catalog/nldi_cache/01104475_DM_200.json,missing,
24,01115098,UM,results/framework/public_catalog/nldi_cache/01115098_UM_200.json,missing,
25,01115098,DM,results/framework/public_catalog/nldi_cache/01115098_DM_200.json,missing,
26,01115110,UM,results/framework/public_catalog/nldi_cache/01115110_UM_200.json,missing,
27,01115110,DM,results/framework/public_catalog/nldi_cache/01115110_DM_200.json,missing,
28,01115170,UM,results/framework/public_catalog/nldi_cache/01115170_UM_200.json,missing,
29,01115170,DM,results/framework/public_catalog/nldi_cache/01115170_DM_200.json,missing,
30,01115183,UM,results/framework/public_catalog/nldi_cache/01115183_UM_200.json,missing,
31,01115183,DM,results/framework/public_catalog/nldi_cache/01115183_DM_200.json,missing,
32,01115184,UM,results/framework/public_catalog/nldi_cache/01115184_UM_200.json,missing,
