request_ordinal,target_station_id,direction,status,response_sha256,http_status
0,01095220,UM,complete,909370e7d19b58e6ff6f5ab5608f48ded9f771100118cb3dbe30e31c9fb91d30,
1,01095220,DM,complete,d7218da9e14bb984a6960fee73834907724111e7c54e55be572356c50110d49d,
4,01095434,UM,complete,a1c16883102e82b617f0f6222da61c88d0a31cbe4749509038131c63e28d76b0,
5,01095434,DM,complete,4937f4443fcab54398d2a628b97828659e674c50d31426d4e4846264a03a745c,
6,01104370,UM,complete,d23e08585a58ce9a086ebf4d6f785bb198d7bb9b5740a7ec5a19b61cfc089594,
7,01104370,DM,complete,04d864ab40398dbe9fe701e8e680755e38529b42063d01a04d7184031afd5a2c,
8,01104410,UM,complete,28daf78a431552cf798c7c39d0a6a28e9475bcda65110179e80c8413e740b838,
9,01104410,DM,complete,dc1519d25f3b5b3ad4870ae310b3fe4436b1bccc0a58ef4971b0eabb48f80f99,
10,01104415,UM,complete,28daf78a431552cf798c7c39d0a6a28e9475bcda65110179e80c8413e740b838,
11,01104415,DM,complete,dc1519d25f3b5b3ad4870ae310b3fe4436b1bccc0a58ef4971b0eabb48f80f99,
12,01104420,UM,request_failed,,
13,01104420,DM,provider_confirmed_unavailable,,404.0
16,01104453,UM,complete,a1a51c471022e9fb7d81868522a64b115b900a957831b503060cfcb9194eb46c,200.0
17,01104453,DM,complete,c58deb483ee22354ff2bd98f1c66bcc4b61ad7dbe34cb5a9c5c65d66e526246c,200.0
18,01104455,UM,complete,a1a51c471022e9fb7d81868522a64b115b900a957831b503060cfcb9194eb46c,200.0
19,01104455,DM,complete,c58deb483ee22354ff2bd98f1c66bcc4b61ad7dbe34cb5a9c5c65d66e526246c,200.0
20,01104460,UM,complete,a1a51c471022e9fb7d81868522a64b115b900a957831b503060cfcb9194eb46c,200.0
21,01104460,DM,complete,c58deb483ee22354ff2bd98f1c66bcc4b61ad7dbe34cb5a9c5c65d66e526246c,200.0
22,01104475,UM,complete,20a993c2f4241ed8e4edc468133b424bfb6c3750ab58555d425410da8d99634a,200.0
23,01104475,DM,complete,426136469ea7db148e9725182e9439b72087117b93cd3023519695165e9a5544,200.0
24,01115098,UM,complete,d8d8010096b2694b2d99a4d3075764e2caa442d3c8602fc79491d14d0a2109c3,200.0
25,01115098,DM,complete,6ac3fe2dbeb21a655ec2282994f565078d923b51148806f7293b0976f9bcd7ff,200.0
26,01115110,UM,complete,5ab4f23067342ccdbf58350af13e696d355d8f32b9f815c6c2fea71f4d674012,200.0
27,01115110,DM,complete,cb5caccac9c6ea1ea490308ffc431c1be33c3adf85739ffc74dc9c79fb8ed6e6,200.0
28,01115170,UM,complete,0b152c274cf166d33bb32f5c062c63ea44580ff23484a3c452abd6e0b813d194,200.0
29,01115170,DM,complete,83f681334a5d1498c931d24963dd4922d63fc0fad56dc27e87d46aeeb70f1823,200.0
30,01115183,UM,complete,19701d1dac2e42e83fe97da49398b18b8548d89c24e224cf0e177155859d1571,200.0
31,01115183,DM,complete,4f26ffaae1556ea134626c39af59b549f6ad3f0a391f73b3e67561e0bd752915,200.0
32,01115184,UM,complete,f8b556b5d808cd775a2ed4bfbee77b82fa6992104499558aa9ccdba09882a660,200.0
33,01115184,DM,complete,b2d72f770a1426872b6f212ffc84369d81de0cd6df92c3e21e2bef783c0cad1e,200.0
34,01115190,UM,complete,ea3b5a29390f8369e1e123175634b84e113289762f1c87d2468781785c7344e1,200.0
35,01115190,DM,complete,b2e6282085efc4c527eae5343f9b4c494e5c27678087b4eb522909242ae731d0,200.0
36,01115265,UM,complete,0a160bc8b538624d7daa50eaf2d1167e3cb2dc80a9aa9a4eb6f02263dc9e1f35,200.0
37,01115265,DM,complete,fa83a7cbb5341ed2e8ece5c746ac2206de57d729138099edf6a7d3617c1e55a5,200.0
38,01115275,UM,complete,f7f71397b0e8167fa678bc56a08f141c708d11a8aeb8a9667ab4951f2cb60554,200.0
39,01115275,DM,complete,4a81b5eda7391cde327c030b729449bac0cb12cd9ea3c8849ab6114d44056b33,200.0
40,01115276,UM,complete,ff75ee2bd0e8479bb76c6a4c3ae45292e875024f8131fc032ffd342d6c2ab975,200.0
41,01115276,DM,complete,07153ba0ad01bcfbbf996915fb79b60ebae9d216a0fb870dbeb7a4fef6c148ae,200.0
42,01359139,UM,complete,cd92733b929d0a432cb336ad8f0ab977bd3fdbaf46e37e238619847f7f9f1604,200.0
43,01359139,DM,complete,1c08247d0d26085d3a0d48ea0a5539c07a4861ce9260096882c12418f04adbe9,200.0
46,01362500,UM,complete,a00a577b5a30a87b7a58aa28f3c2f9f378dd2fa1686e07e7076c7526a0ea691d,200.0
47,01362500,DM,complete,08b09105ea591bacf980af26ae1a4714b3cd423cede82c68e87ce40d6e40551a,200.0
48,01428750,UM,complete,c77f464eecd925827c13ed0dc74ca5b99cdf360e8318f858a94546d0cf919794,200.0
49,01428750,DM,complete,2404ced6cb4c0e921bd7020cc843ac19ed40c62ee6376e35536258b48166dc35,200.0
52,01447500,UM,complete,2bff4ee646d9bce98e2a14861bbee3dcc0aa7d589f6254b7e8c1a4f22afc0734,200.0
53,01447500,DM,complete,243fda79a158f10a4b65e055a002bbecbf8196ec72a017e1faa24d64b74988d2,200.0
56,01447800,UM,complete,515bedf8b43984ea053ac4b6de0e1514c56933d2251c0517df1cbfd6ffd1fa53,200.0
57,01447800,DM,complete,3ebfeab35246bb81cc438aac7a3ba6a650e7bef3a04f0292820d5fc763023bbd,200.0
58,01449360,UM,complete,bd8eac76e0824a6d318701932d61a26c205bbe405944f0ff695e3aa32b3b7de9,200.0
59,01449360,DM,complete,335d8f12f689f05c431d39fd187b89d82c6f0df45e9adc8592547142b07592bc,200.0
60,01470779,UM,complete,99439b16a07353603495729cd7daa15c6a56931e43efa50d1e9f11cd927f09ef,200.0
61,01470779,DM,complete,bbc4cb3b864480a7cffd10cd98d111096a15fd290052fafbf178fc11819d7cf2,200.0
64,01472157,UM,complete,301b8330abefb9016587c7f51ae262ad6ee7091817de2045f059a094759c4fd0,200.0
65,01472157,DM,complete,9d37068bc70ea422b9dc5de730b7f1fc7dcaae1a07d58198293580ebd0b1aeca,200.0
66,01480065,UM,complete,54f07f25d4e3b2eefbe41e9a347320aab34fbe5f62c308eb117b4f750ae77bd2,200.0
67,01480065,DM,complete,78bdce0668936f22c9e20b0438d05a445ced1eeced21074b5b3fa82ba3ba0174,200.0
68,01480400,UM,complete,f7d4387d1712f79afc1e507714b6466b7958f14e2951ae74789e86170da015bb,200.0
69,01480400,DM,complete,75f0d90599828cf6ae83e07c7003847924ea36995d6a8704a6e12c20479007b1,200.0
70,01480500,UM,complete,11d88451a0ed9853ac82bda8ce9b083690ede2144518814df00a3f61b663f4ea,200.0
71,01480500,DM,complete,864ad8bf52ccb8aaabf3e5d13a683c22e7a782a8e906b3f0398d82f0cfae9e92,200.0
74,01480870,UM,complete,8b6b1b513aaf69316cf7e661969304d69e50ecda105b046e55a7f97694f21e71,200.0
75,01480870,DM,complete,b259413076129e6e47c807d3977e44014ad31b64f798c4088f58d59ea7f99a56,200.0
76,01481000,UM,complete,1b693302d291ff1454c5767986c07af25130c903cc1d1fd52ce215281d864d14,200.0
77,01481000,DM,complete,4b4fa9d6595881519bcf3f9f60cef275b96a07ec3858a39b47da70dbdbb99f90,200.0
78,01481500,UM,complete,3ead87a2f8b2a425b3f469b754fdad2691e7cd42c1a1aeacb34a58308376004d,200.0
79,01481500,DM,complete,c2a71e7e7f56fb229c0db7581c99ef4f8c8a19d8c8cf24bf391fb8a43c598c8b,200.0
80,01516350,UM,complete,605ff74661c42587ac047d017c5f95c6d86eb49f2dc0aee36ba929664b3a9f46,200.0
