station_id,n_approved_days,n_qualifying_years,first_date,last_date,median_annual_amplitude_degC,anomaly_sd_degC,acf30,acf90,n_exact_pairs_30d,n_exact_pairs_90d,seasonal_variance_fraction,observed_temperature_range_degC,memory_range_index_per_degC,STANAME,DRAIN_SQKM,LAT_GAGE,LNG_GAGE,STATE,CLASS,AGGECOREGION,NDAMS_2009,STOR_NID_2009,STOR_NOR_2009,MAJ_NDAMS_2009,RAW_DIS_NEAREST_DAM,RAW_DIS_NEAREST_MAJ_DAM,upstream_major_dam_2009
01095220,7255,20,2000-01-01,2019-12-31,23.9,1.922820361109997,0.0753468655332894,0.08036688365539651,7175,7117,0.939806614765306,26.0,0.0028979563666649767,"STILLWATER RIVER NEAR STERLING, MA",78.7,42.410925,-71.791183,MA,Non-ref,NorthEast,7.0,27.64,17.02,0.0,6.1,,0
01095375,7157,20,2000-01-01,2019-12-31,24.9,1.916928777545314,0.08971462359737191,0.10277045576848347,7015,6919,0.9435984280547551,28.2,0.003181369631112479,"QUINAPOXET RIVER AT CANADA MILLS NEAR HOLDEN, MA",115.2,42.37287,-71.828128,MA,Non-ref,NorthEast,14.0,268.03,177.65,2.0,1.6,4.7,1
01104430,6831,18,2000-01-01,2019-12-31,22.95,1.5582861948764004,0.2153309299151026,0.03598261948891032,6661,6553,0.9569103598951111,26.7,0.008064828835771634,"HOBBS BK BELOW CAMBRIDGE RES NR KENDALL GREEN, MA",17.5,42.398151,-71.27339,MA,Non-ref,NorthEast,1.0,1233.35,1169.92,1.0,0.1,0.1,1
01104460,6206,16,2002-08-14,2019-12-31,23.95,1.8674254041675733,0.13852801439695,0.057760943277962204,6137,6017,0.944484020117324,26.6,0.005207820090110902,"STONY BROOK AT RT 20 AT WALTHAM, MA",57.1,42.368985,-71.270612,MA,Non-ref,NorthEast,4.0,394.18,369.57,1.0,3.3,3.3,1
01104475,5813,16,2003-12-24,2019-12-31,21.05,1.7549950660261047,0.10139085511195296,0.0346409664973821,5745,5684,0.9126053142715653,23.1,0.00438921450701095,"STONY BROOK RES., UNNAMED TRIB 1, NEAR WESTON, MA",2.1,42.354541,-71.268112,MA,Non-ref,NorthEast,0.0,0.0,0.0,0.0,,,0
01115098,6186,16,2000-01-29,2019-12-31,27.5,2.1774824775973913,0.12238296952452687,0.02172095587196771,5968,5689,0.9343138533350228,29.6,0.004134559781234016,"PEEPTOAD BROOK AT ELMDALE RD NR NORTH SCITUATE, RI",13.4,41.852599,-71.606175,RI,Non-ref,NorthEast,2.0,51.69,38.68,0.0,0.0,,0
01115187,5911,15,2000-02-01,2019-12-30,25.8,2.1721351475372397,0.04591081426606797,0.08933654624800928,5712,5468,0.9299662767715347,28.2,0.0016280430590804244,"PONAGANSET RIVER AT SOUTH FOSTER, RI",38.8,41.81871,-71.705068,RI,Non-ref,NorthEast,2.0,119.6,73.9,0.0,0.7,,0
01129200,6357,17,2000-01-01,2019-12-31,17.5,1.2922710727671594,0.18147042292728463,0.06632175016434312,6114,5972,0.9533370399346985,19.0,0.009551074890909717,"CONNECTICUT R BELOW INDIAN STREAM NR PITTSBURG, NH",658.7,45.040324,-71.443971,NH,Non-ref,NorthEast,12.0,563.99,411.18,4.0,5.1,5.1,1
01362500,7250,20,2000-01-01,2019-12-31,21.55,1.7108759542530676,0.16416146395729636,0.03861780361804082,7166,7106,0.9381461173681751,25.3,0.006488595413331872,ESOPUS CREEK AT COLDBROOK NY,493.2,42.014259,-74.270703,NY,Non-ref,NorthEast,6.0,0.73,0.6,0.0,9.0,,0
01388000,6960,19,2000-01-01,2019-12-31,28.1,1.9526578749995442,0.12786765060562566,0.08923128084645536,6723,6611,0.9516537812132073,30.7,0.00416507005230051,RAMAPO RIVER AT POMPTON LAKES NJ,420.6,40.991972,-74.279861,NJ,Non-ref,NorthEast,46.0,118.01,97.67,1.0,0.1,3.0,1
01400500,4179,11,2003-08-28,2019-12-31,28.9,2.152748809574428,0.133011079202683,0.08428484664451551,4057,4024,0.9422874952551158,31.0,0.004290679974280097,RARITAN RIVER AT MANVILLE NJ,1271.5,40.555,-74.583611,NJ,Non-ref,SEPlains,26.0,239.97,198.73,3.0,10.4,22.6,1
01408029,4531,13,2006-12-29,2019-12-31,23.599999999999998,2.0037534374643067,0.06834376834791403,0.053790967516510274,4304,4225,0.9093884079711752,25.0,0.0027337507339165613,Manasquan River near Allenwood NJ,164.3,40.146667,-74.122222,NJ,Non-ref,SECstPlain,2.0,139.06,109.04,1.0,1.5,7.1,1
01417500,7254,20,2000-01-01,2019-12-31,19.5,1.950514297946532,0.16335594810032417,0.056781378483666066,7173,7122,0.8902242834808662,21.9,0.00745917571234357,EAST BR DELAWARE RIVER AT HARVARD NY,1184.0,42.024809,-75.11989,NY,Non-ref,NorthEast,12.0,636.45,438.56,1.0,11.2,14.1,1
01420500,4720,12,2000-01-01,2019-12-31,24.700000000000003,2.011942869873087,0.09953194386083204,-0.011741121854425603,4632,4512,0.9296016539062254,26.7,0.0037277881595817247,BEAVER KILL AT COOKS FALLS NY,627.0,41.946477,-74.979609,NY,Non-ref,NorthEast,27.0,8.13,5.89,0.0,6.3,,0
01421000,7001,19,2000-01-01,2019-12-31,23.900000000000002,2.127415272179466,0.1330765916806474,0.05084133472106312,6820,6680,0.9183503376757363,26.0,0.005118330449255669,EAST BR DELAWARE R AT FISHS EDDY NY,2029.5,41.973143,-75.174058,NY,Non-ref,NorthEast,43.0,374.08,257.86,1.0,11.1,20.9,1
01425000,7008,19,2000-01-01,2019-12-31,16.0,2.1346734656399398,0.2618255765688126,0.002033246476581681,6782,6655,0.7036728186288445,24.2,0.010819238701190604,WEST BR DELAWARE RIVER AT STILESVILLE NY,1180.6,42.074806,-75.396009,NY,Non-ref,NorthEast,22.0,472.58,315.96,1.0,2.1,2.1,1
01426500,7272,20,2000-01-01,2019-12-31,17.15,1.9742586690281854,0.17145120293207528,0.0284736237585628,7209,7151,0.8388428348390201,20.5,0.00836347331375977,WEST BRANCH DELAWARE RIVER AT HALE EDDY NY,1539.3,42.00314,-75.383508,NY,Non-ref,NorthEast,29.0,365.01,243.47,2.0,6.1,6.9,1
01427207,4832,13,2006-07-28,2019-12-31,23.1,2.1108632277362798,0.1640067225357163,0.0547338805325528,4754,4669,0.9169295911828561,25.6,0.0064065125990514175,DELAWARE RIVER AT LORDVILLE NY,4117.5,41.86731,-75.213783,PA,Non-ref,NorthEast,84.0,321.91,218.79,3.0,3.7,25.7,1
01427510,7254,20,2000-01-01,2019-12-31,26.4,2.2092249190276703,0.11297032696960428,0.04013840105456481,7176,7113,0.9293978515823572,28.599999999999998,0.003950011432503646,DELAWARE RIVER AT CALLICOON NY,4725.0,41.756755,-75.05739,PA,Non-ref,NorthEast,103.0,281.7,191.64,3.0,4.2,36.8,1
01428500,7152,20,2000-01-01,2019-12-31,27.5,2.2754241431625277,0.13802976945064196,0.05286073352105219,6990,6927,0.9340843731144342,30.1,0.0045857066262671746,DELAWARE R ABOVE LACKAWAXEN R NR BARRYVILLE NY,5242.8,41.508978,-74.985723,PA,Non-ref,NorthEast,124.0,255.84,174.19,3.0,4.4,63.8,1
01431500,4490,12,2007-08-23,2019-12-31,27.0,1.9479816056905959,0.1041293615361468,0.10588316393951337,4436,4376,0.9486005600700764,28.7,0.00362820075038839,"Lackawaxen River at Hawley, PA",748.7,41.4762,-75.172119,PA,Non-ref,NorthEast,48.0,248.17,30.28,3.0,4.9,17.1,1
01432110,4515,12,2007-07-27,2019-12-31,22.049999999999997,1.6520498805599246,0.0789849284500836,0.07646388616882394,4460,4401,0.9525424567579615,25.5,0.0030974481745130824,"Lackawaxen River at Rowland, PA",1528.2,41.475923,-75.036281,PA,Non-ref,NorthEast,91.0,364.75,133.31,6.0,7.9,12.5,1
01436690,7244,20,2000-01-01,2019-12-31,21.5,1.8698811430429674,0.09767064837222135,0.05758272861398829,7153,7100,0.9293645433440323,23.6,0.004138586795433108,NEVERSINK RIVER AT BRIDGEVILLE NY,443.0,41.638064,-74.616883,NY,Non-ref,NorthEast,14.0,431.03,320.25,2.0,2.7,3.7,1
01463500,6967,20,2000-01-01,2019-12-31,28.9,2.11239205726813,0.15937609842913916,0.05157685024313341,6624,6553,0.943887410545776,30.7,0.005191403857626683,DELAWARE RIVER AT TRENTON NJ,17579.8,40.221667,-74.778056,NJ,Non-ref,NorthEast,648.0,174.97,102.84,35.0,4.7,44.2,1
01480400,7259,20,2000-01-01,2019-12-31,23.6,2.3737825959066776,0.20854679770818177,0.017546696507005632,7183,7123,0.8710032299733488,29.8,0.006998214688194019,"Birch Run near Wagontown, PA",12.0,40.027326,-75.844945,PA,Non-ref,SEPlains,1.0,337.99,125.47,1.0,0.4,0.4,1
01480500,7260,20,2000-01-01,2019-12-31,24.65,2.165528455978137,0.059082516403766244,0.05026380567930336,7189,7131,0.9168270539489073,26.9,0.0021963760744894514,"West Branch Brandywine Creek at Coatesville, PA",119.4,39.985661,-75.827447,PA,Non-ref,SEPlains,2.0,47.0,23.08,1.0,3.1,5.1,1
01481500,4764,13,2006-10-01,2019-12-31,28.0,2.2551850296888305,0.11032755894866877,0.038379305673128666,4658,4599,0.9262818560431565,30.900000000000002,0.003570471163387339,"BRANDYWINE CREEK AT WILMINGTON, DE",824.0,39.769417,-75.573278,DE,Non-ref,SEPlains,22.0,60.1,16.28,4.0,3.2,27.9,1
01608500,5117,14,2005-10-27,2019-12-31,29.95,2.3007326887382544,0.08574192913457739,0.03799617101944031,5027,4970,0.9363687295084396,32.1,0.002671088135033563,"SOUTH BRANCH POTOMAC RIVER NEAR SPRINGFIELD, WV",3784.1,39.447039,-78.654182,WV,Non-ref,EastHghlnds,32.0,14.02,0.99,30.0,45.1,58.2,1
01611500,4486,12,2007-04-27,2019-12-31,29.3,2.1805537933609567,0.10564574420771976,0.05565118856862409,4321,4274,0.9437784629919266,30.8,0.0034300566301207714,"CACAPON RIVER NEAR GREAT CACAPON, WV",1748.5,39.582316,-78.309731,WV,Ref,EastHghlnds,9.0,8.14,0.96,2.0,43.9,79.1,1
01646305,4287,12,2007-11-30,2019-12-31,25.0,2.230510249870633,0.10314542756689381,0.07889199276284939,4139,4079,0.9026464404218122,26.5,0.0038922802855431626,"DEAD RUN AT WHANN AVENUE NEAR MCLEAN, VA",5.4,38.95978,-77.17567,VA,Non-ref,SEPlains,0.0,0.0,0.0,0.0,,,0
01649190,4306,12,2007-10-01,2019-12-31,25.4,2.219414187053839,0.07616481609284476,0.0679254237880829,4118,4053,0.9148918986289967,27.099999999999998,0.002810509818924161,"PAINT BRANCH NEAR COLLEGE PARK, MARYLAND",34.0,39.033139,-76.964278,MD,Non-ref,SEPlains,0.0,0.0,0.0,0.0,,,0
01649500,5375,14,2003-12-18,2019-12-31,28.75,2.355689386120363,0.0601627916081442,0.015831244857464958,5134,4965,0.9196691890640448,30.8,0.0019533373898748116,"NORTH EAST BRANCH ANACOSTIA RIVER AT RIVERDALE, MD",188.1,38.96025,-76.925972,MD,Non-ref,SEPlains,8.0,9.17,3.08,0.0,2.2,,0
01656903,4350,12,2007-09-30,2019-12-31,25.65,2.2255713117887814,0.14682042655186764,0.08611723609080135,4225,4139,0.9040677663325732,29.6,0.004960149545671204,"FLATLICK BRANCH ABOVE FROG BRANCH AT CHANTILLY, VA",10.9,38.88239,-77.431905,VA,Non-ref,SEPlains,0.0,0.0,0.0,0.0,,,0
02011400,6143,16,2000-01-01,2019-12-31,25.85,2.3037285245218793,0.059559474706542055,0.06253059600896148,6028,5898,0.9128900156414383,28.2,0.0021120381101610657,"JACKSON RIVER NEAR BACOVA, VA",407.7,38.042347,-79.881444,VA,Ref,EastHghlnds,1.0,0.19,0.08,0.0,3.3,,0
02011500,5870,14,2000-01-01,2019-12-31,25.150000000000002,2.131802101049163,0.13649896858141666,0.09047845409383562,5591,5415,0.916951582644053,28.1,0.004857614540263938,"BACK CREEK NEAR MOUNTAIN GROVE, VA",348.0,38.069569,-79.897,VA,Non-ref,EastHghlnds,2.0,240.91,240.91,2.0,16.4,16.4,1
02077200,6776,16,2000-01-01,2019-12-31,26.299999999999997,2.4422682833723868,0.04160472818254354,0.016965045011079885,6469,6231,0.8923686836486721,28.4,0.0014649552176951952,"HYCO CREEK NEAR LEASBURG, NC",121.7,36.397778,-79.196667,NC,Ref,SEPlains,6.0,1.44,0.87,0.0,1.4,,0
02077303,6230,15,2000-01-01,2019-12-31,21.8,1.740646080217432,0.2291964989570639,0.04469490089119389,5887,5623,0.924135801342492,27.6,0.008304220976705213,"HYCO R BL ABAY D NR MCGEHEES MILL, NC",526.7,36.5225,-78.9975,NC,Non-ref,SEPlains,11.0,242.96,189.0,4.0,0.0,0.0,1
02110500,4548,12,2007-04-27,2019-12-31,26.05,2.2215414624855594,0.16360373701434364,0.07415744104018139,4444,4378,0.9081497434331465,32.099999999999994,0.005096689626615068,"WACCAMAW RIVER NEAR LONGS, SC",2908.3,33.912672,-78.715017,SC,Ref,SECstPlain,3.0,0.13,0.11,0.0,30.6,,0
