station_id,year,annual_minimum_degC,annual_maximum_degC,annual_mean_degC,annual_amplitude_degC,n_days
B1,2006,1.0,20.6,10.253698630136986,19.6,365
B1,2007,1.6,18.0,9.7613698630137,16.4,365
B1,2008,0.6,18.1,9.028415300546447,17.5,366
B1,2009,0.1,18.5,9.482191780821918,18.4,365
B1,2010,0.4,18.6,9.369041095890411,18.200000000000003,365
B1,2011,1.0,17.7,9.18027397260274,16.7,365
B1,2012,1.1,18.2,9.398360655737706,17.099999999999998,366
B1,2013,0.2,18.2,9.625205479452056,18.0,365
B1,2014,1.4,18.0,9.281917808219179,16.6,365
B1,2015,1.0,18.4,9.633150684931506,17.4,365
B1,2016,1.1,18.6,9.955737704918032,17.5,366
B1,2017,1.8,18.5,9.858356164383563,16.7,365
B1,2018,1.6,17.7,9.895342465753425,16.099999999999998,365
B1,2019,1.6,18.6,9.79178082191781,17.0,365
B1,2020,1.5,18.1,9.759289617486338,16.6,366
S2,2006,5.2,20.5,12.706027397260273,15.3,365
S2,2007,5.4,19.5,12.612602739726029,14.1,365
S2,2008,6.0,18.5,12.06448087431694,12.5,366
S2,2009,4.8,20.3,12.676986301369862,15.5,365
S2,2010,4.6,19.9,12.377808219178082,15.299999999999999,365
S2,2011,4.8,19.3,12.294246575342468,14.5,365
S2,2012,4.8,19.7,12.132513661202186,14.899999999999999,366
S2,2013,4.8,19.7,12.25260273972603,14.899999999999999,365
S2,2014,4.6,19.3,12.304109589041095,14.700000000000001,365
S2,2015,4.0,19.6,12.64986301369863,15.600000000000001,365
S2,2016,4.2,19.3,12.538524590163933,15.100000000000001,366
S2,2017,5.0,19.0,12.486027397260276,14.0,365
S2,2018,4.5,19.1,12.422191780821919,14.600000000000001,365
S2,2019,4.0,19.5,12.292602739726028,15.5,365
S2,2020,5.0,18.9,12.417213114754095,13.899999999999999,366
P3,2006,9.5,23.0,16.494246575342466,13.5,365
P3,2007,9.7,22.6,16.263835616438353,12.900000000000002,365
P3,2008,9.9,21.6,15.809562841530052,11.700000000000001,366
P3,2009,9.1,22.2,16.218630136986302,13.1,365
P3,2010,8.7,22.8,16.135068493150687,14.100000000000001,365
P3,2011,9.3,21.6,16.172876712328765,12.3,365
P3,2012,10.3,22.0,16.047814207650273,11.7,366
P3,2013,9.7,22.9,16.695890410958903,13.2,365
P3,2014,9.6,23.2,16.946027397260274,13.6,365
P3,2015,12.4,23.1,17.83178082191781,10.700000000000001,365
P3,2016,12.0,22.3,17.50765027322404,10.3,366
P3,2017,12.5,22.3,17.437534246575343,9.8,365
P3,2018,11.8,22.4,16.80958904109589,10.599999999999998,365
P3,2019,11.5,21.8,16.642191780821918,10.3,365
P3,2020,12.5,22.1,17.68879781420765,9.600000000000001,366
