analysis,station_id,gap_length,best_model,mean_skill,skill_ci_lower,skill_ci_upper,mean_MAE_degC,mean_climatology_MAE_degC,n_anchors,n_anchor_year_units,R2_donor,rho,predicted_skill,calibration,best_exceeds_budget,best_lower_ci_exceeds_budget,prediction_error
original_training_climatology,B1,1.0,linear,0.6350197414418275,0.5342274889440195,0.8761260460631144,0.1275000512599945,0.7224999666213989,20,20,0.464408182714103,0.9192380781443478,0.711872497363564,frozen_2006_2015,False,False,-0.07685275592173646
original_training_climatology,B1,3.0,pchip,0.6376081294503102,0.5931724073797849,0.8904727110249758,0.161438101057993,0.6974999924500783,20,20,0.464408182714103,0.9192380781443478,0.711872497363564,frozen_2006_2015,False,False,-0.07426436791325375
original_training_climatology,B1,7.0,random_forest,0.2121693740544314,0.1596352705828232,0.3303011483184734,0.44152494004166165,0.6882142509732927,20,20,0.464408182714103,0.8398283074979274,0.6027183579030126,frozen_2006_2015,False,False,-0.3905489838485813
original_training_climatology,B1,10.0,random_forest,0.2641901306979951,0.2206951713315428,0.3904926202026983,0.4306379535283436,0.6807499921321869,20,20,0.464408182714103,0.7565245428063807,0.5214011256869683,frozen_2006_2015,False,False,-0.2572109949889732
original_training_climatology,B1,14.0,random_forest,0.3074449595266916,0.2428511702408922,0.3571280824577643,0.44821931210425453,0.7044642499514988,20,20,0.464408182714103,0.6436597757732339,0.4399131777968407,frozen_2006_2015,False,False,-0.1324682182701491
original_training_climatology,B1,21.0,random_forest,0.3086134305055478,0.2572855686914858,0.3517856031915817,0.46485729413327903,0.734999961796261,20,20,0.464408182714103,0.47065948161768356,0.3542854100073374,frozen_2006_2015,False,False,-0.045671979501789584
original_training_climatology,B1,30.0,random_forest,0.3036464771107471,0.2183796207725166,0.3318576786479763,0.4724939308131605,0.7571666431427002,20,20,0.464408182714103,0.33039413436756704,0.30925658715426496,frozen_2006_2015,False,False,-0.0056101100435178575
original_training_climatology,B1,45.0,random_forest,0.2922009810331453,0.167489036436747,0.3122653913565559,0.4841447741120503,0.7706666524542704,20,20,0.464408182714103,0.23482067560734626,0.28862184251167644,frozen_2006_2015,True,False,0.00357913852146885
original_training_climatology,B1,60.0,random_forest,0.3018800199164397,0.1690413658745556,0.35936152287251,0.4757818786242637,0.7492083216210207,20,20,0.464408182714103,0.20383523448072974,0.2835234696937228,frozen_2006_2015,True,False,0.018356550222716927
original_training_climatology,B1,90.0,random_forest,0.2496693283344928,0.0605889222763594,0.3370607382739554,0.47939031669208265,0.6991110970576603,20,20,0.464408182714103,0.12716030053504845,0.27409956897254417,frozen_2006_2015,False,False,-0.02443024063805138
original_training_climatology,B1,120.0,random_forest,0.2465993772447863,0.1169630165956597,0.3041079151430453,0.49397819069185295,0.7055208216607571,20,20,0.464408182714103,0.12311751174057174,0.273726388708896,frozen_2006_2015,False,False,-0.027127011464109674
original_training_climatology,B1,150.0,random_forest,0.2477087603940593,0.0984405713416561,0.3260736052686206,0.5046269403100052,0.7220666540861129,20,20,0.464408182714103,0.16417792542130813,0.278089156528601,frozen_2006_2015,False,False,-0.030380396134541687
original_training_climatology,B1,180.0,random_forest,0.2477531401261384,0.0660588183753336,0.3414303938041716,0.5061928915687719,0.7175138778818978,20,20,0.464408182714103,0.198934559227593,0.2827860896819612,frozen_2006_2015,False,False,-0.035032949555822784
original_training_climatology,B1,240.0,random_forest,0.2825353093961594,0.0723287463915007,0.392212460290663,0.49734693939136393,0.7263229056199391,20,20,0.464408182714103,0.1414192667683625,0.2755137699943365,frozen_2006_2015,True,False,0.007021539401822874
original_training_climatology,B1,365.0,random_forest,0.3084850596478705,0.0933014808311365,0.4044292094598587,0.504916381297337,0.7450753291828992,20,20,0.464408182714103,0.13414755758326258,0.27477345695073774,frozen_2006_2015,True,False,0.03371160269713275
original_training_climatology,P3,1.0,pchip,0.911615489728444,0.8582807687507538,0.9493316218773676,0.05311899173306252,1.2924999475479126,20,20,0.10631928223226639,0.9703421623058993,0.7714760294555219,frozen_2006_2015,True,True,0.14013946027292212
original_training_climatology,P3,3.0,linear,0.809147381796271,0.5920934519560928,0.9219724698754406,0.1366666316986084,1.2799999634424846,20,20,0.10631928223226639,0.9703421623058993,0.7714760294555219,frozen_2006_2015,True,False,0.03767135234074914
original_training_climatology,P3,7.0,kalman,0.7063594131445277,0.3179836320714466,0.8868079664403613,0.164117926640329,1.2860714537756783,20,20,0.10631928223226639,0.9468548484457834,0.6959186355937563,frozen_2006_2015,True,False,0.01044077755077133
original_training_climatology,P3,10.0,kalman,0.6947659993565992,0.3452570898576354,0.8522334369990228,0.18901657413025336,1.2932500410079957,20,20,0.10631928223226639,0.9240671301905723,0.6386598579410401,frozen_2006_2015,True,False,0.05610614141555914
original_training_climatology,P3,14.0,pchip,0.706143948263089,0.4704852582777183,0.8106289563640451,0.21952894364656594,1.3025000061307634,20,20,0.10631928223226639,0.8937173544720678,0.5758885950204684,frozen_2006_2015,True,False,0.1302553532426206
original_training_climatology,P3,21.0,kalman,0.6728616117499194,0.5020193598535921,0.7765678490788638,0.28416080761095885,1.3078571319580077,20,20,0.10631928223226639,0.8421238387905372,0.49018937295159903,frozen_2006_2015,True,True,0.1826722387983204
original_training_climatology,P3,30.0,linear,0.5834328192875831,0.4827755589645081,0.6323342881836277,0.3684031938737439,1.306166684627533,20,20,0.10631928223226639,0.7866566725001072,0.41635162747142285,frozen_2006_2015,True,True,0.1670811918161602
original_training_climatology,P3,45.0,kalman,0.5924299494645494,0.5490736244669434,0.616541329429103,0.3862469367279244,1.3131666564941407,20,20,0.10631928223226639,0.723378596774736,0.3472837405059771,frozen_2006_2015,True,True,0.2451462089585723
