station_id,year,annual_minimum_degC,annual_maximum_degC,annual_mean_degC,annual_amplitude_degC,n_days
P3,2006,9.5,23.0,16.494246575342466,13.5,365
P3,2007,9.7,22.6,16.263835616438353,12.900000000000002,365
P3,2008,9.9,21.6,15.809562841530052,11.700000000000001,366
P3,2009,9.1,22.2,16.218630136986302,13.1,365
P3,2010,8.7,22.8,16.135068493150687,14.100000000000001,365
P3,2011,9.3,21.6,16.172876712328765,12.3,365
P3,2012,10.3,22.0,16.047814207650273,11.7,366
P3,2013,9.7,22.9,16.695890410958903,13.2,365
P3,2014,9.6,23.2,16.946027397260274,13.6,365
P3,2015,12.4,23.1,17.83178082191781,10.700000000000001,365
