station_id,donors,gap_length,average_boundary_distance_days,effective_acf_lag_days,seasonal_variance_fraction,anomaly_sd_degC,R2_donor,rho,donor_component,memory_component,R2_avail,predicted_skill,calibration,post_hoc_state_control
B1,"S2,P3",1,0.25,1.0,0.9699357511616263,0.9223165595695759,0.464408182714103,0.9192380781443478,0.464408182714103,0.4525743595103875,0.9169825422244905,0.711872497363564,frozen_2006_2015,False
B1,"S2,P3",3,0.75,1.0,0.9699357511616263,0.9223165595695759,0.464408182714103,0.9192380781443478,0.464408182714103,0.4525743595103875,0.9169825422244905,0.711872497363564,frozen_2006_2015,False
B1,"S2,P3",7,1.75,1.75,0.9699357511616263,0.9223165595695759,0.464408182714103,0.8398283074979274,0.464408182714103,0.3777591141386183,0.8421672968527213,0.6027183579030126,frozen_2006_2015,False
B1,"S2,P3",10,2.5,2.5,0.9699357511616263,0.9223165595695759,0.464408182714103,0.7565245428063807,0.464408182714103,0.3065349347921959,0.7709431175062988,0.5214011256869683,frozen_2006_2015,False
B1,"S2,P3",14,3.5,3.5,0.9699357511616263,0.9223165595695759,0.464408182714103,0.6436597757732339,0.464408182714103,0.22189456888026363,0.6863027515943666,0.4399131777968407,frozen_2006_2015,False
B1,"S2,P3",21,5.25,5.25,0.9699357511616263,0.9223165595695759,0.464408182714103,0.47065948161768356,0.464408182714103,0.1186444855565045,0.5830526682706075,0.3542854100073374,frozen_2006_2015,False
B1,"S2,P3",30,7.5,7.5,0.9699357511616263,0.9223165595695759,0.464408182714103,0.33039413436756704,0.464408182714103,0.05846535489612338,0.5228735376102264,0.30925658715426496,frozen_2006_2015,False
B1,"S2,P3",45,11.25,11.25,0.9699357511616263,0.9223165595695759,0.464408182714103,0.23482067560734626,0.464408182714103,0.029532934334414895,0.4939411170485179,0.28862184251167644,frozen_2006_2015,False
B1,"S2,P3",60,15.0,15.0,0.9699357511616263,0.9223165595695759,0.464408182714103,0.20383523448072974,0.464408182714103,0.022253198806175253,0.48666138152027827,0.2835234696937228,frozen_2006_2015,False
B1,"S2,P3",90,22.5,22.5,0.9699357511616263,0.9223165595695759,0.464408182714103,0.12716030053504845,0.464408182714103,0.008660381520050787,0.4730685642341538,0.27409956897254417,frozen_2006_2015,False
B1,"S2,P3",120,30.0,30.0,0.9699357511616263,0.9223165595695759,0.464408182714103,0.12311751174057174,0.464408182714103,0.008118458828075225,0.4725266415421782,0.273726388708896,frozen_2006_2015,False
B1,"S2,P3",150,37.5,37.5,0.9699357511616263,0.9223165595695759,0.464408182714103,0.16417792542130813,0.464408182714103,0.01443655136431028,0.47884473407841327,0.278089156528601,frozen_2006_2015,False
B1,"S2,P3",180,45.0,45.0,0.9699357511616263,0.9223165595695759,0.464408182714103,0.198934559227593,0.464408182714103,0.021196024132205137,0.4856042068463081,0.2827860896819612,frozen_2006_2015,False
B1,"S2,P3",240,60.0,60.0,0.9699357511616263,0.9223165595695759,0.464408182714103,0.1414192667683625,0.464408182714103,0.010711519818077981,0.475119702532181,0.2755137699943365,frozen_2006_2015,False
B1,"S2,P3",365,91.25,91.25,0.9699357511616263,0.9223165595695759,0.464408182714103,0.13414755758326258,0.464408182714103,0.00963827854271356,0.47404646125681654,0.27477345695073774,frozen_2006_2015,False
S2,"B1,P3",1,0.25,1.0,0.9715366488242987,0.766818598303544,0.4698037657024676,0.9231094002676072,0.4698037657024676,0.4517966286983788,0.9216003944008464,0.7200007042881115,frozen_2006_2015,False
S2,"B1,P3",3,0.75,1.0,0.9715366488242987,0.766818598303544,0.4698037657024676,0.9231094002676072,0.4698037657024676,0.4517966286983788,0.9216003944008464,0.7200007042881115,frozen_2006_2015,False
S2,"B1,P3",7,1.75,1.75,0.9715366488242987,0.766818598303544,0.4698037657024676,0.8545597301218019,0.4698037657024676,0.38718764062144406,0.8569914063239117,0.6218352294619602,frozen_2006_2015,False
S2,"B1,P3",10,2.5,2.5,0.9715366488242987,0.766818598303544,0.4698037657024676,0.7844669843736555,0.4698037657024676,0.32627663859342876,0.7960804042958964,0.5484254261983924,frozen_2006_2015,False
S2,"B1,P3",14,3.5,3.5,0.9715366488242987,0.766818598303544,0.4698037657024676,0.6899503228861668,0.4698037657024676,0.2523900811636962,0.7221938468661638,0.47292680476632454,frozen_2006_2015,False
S2,"B1,P3",21,5.25,5.25,0.9715366488242987,0.766818598303544,0.4698037657024676,0.5338258299274423,0.4698037657024676,0.15109002974083743,0.620893795443305,0.38428399033588956,frozen_2006_2015,False
S2,"B1,P3",30,7.5,7.5,0.9715366488242987,0.766818598303544,0.4698037657024676,0.3854171259926298,0.4698037657024676,0.07875872122526538,0.548562486927733,0.32810900209017013,frozen_2006_2015,False
S2,"B1,P3",45,11.25,11.25,0.9715366488242987,0.766818598303544,0.4698037657024676,0.24421330918435158,0.4698037657024676,0.031620977843921746,0.5014247435463893,0.29390138333685234,frozen_2006_2015,False
S2,"B1,P3",60,15.0,15.0,0.9715366488242987,0.766818598303544,0.4698037657024676,0.176886890880067,0.4698037657024676,0.01658929521703822,0.48639306091950585,0.2833362440582794,frozen_2006_2015,False
S2,"B1,P3",90,22.5,22.5,0.9715366488242987,0.766818598303544,0.4698037657024676,0.12445689203929627,0.4698037657024676,0.008212484102002107,0.4780162498044697,0.27751557096672996,frozen_2006_2015,False
