subset,provider,method,n,n_networks,station_gap_spearman,network_spearman,calibration_intercept,calibration_slope,r2,rmse
direct_874,chmi,empirical,276,15,0.9699262282216292,0.932142857142857,-0.008680193791114291,1.0494377538306137,0.94810738714388,0.24354886664404146
direct_874,chmi,simple_fitperiod,276,15,0.9294741798775704,0.7142857142857142,-0.12494388292892696,1.2199339044513295,0.7550634026381335,0.5291273177701945
direct_874,chmi,simple_devonly,276,15,0.9251922775074557,0.7178571428571427,-0.13158267582149258,1.1050877097306284,0.7926523572551138,0.48683623474159704
direct_874,nve_hydapi,empirical,164,10,0.9592871960772814,0.8181818181818182,0.013584519107869158,1.0919717080180456,0.8149239935034847,0.49264283511213325
direct_874,nve_hydapi,simple_fitperiod,164,10,0.8623862446097968,0.6121212121212121,-0.43000464976194214,1.2570011509680037,0.6267633732229155,0.6995990946901759
direct_874,nve_hydapi,simple_devonly,164,10,0.8567573082311971,0.6848484848484848,-0.4196916038233581,1.1401550180674729,0.6231483442540886,0.7029789566663432
direct_874,usgs,empirical,434,32,0.9136150531153224,0.752932551319648,0.2541629505590716,0.8460944735330578,0.7068293626126947,0.536766617793828
direct_874,usgs,simple_fitperiod,434,32,0.8130819499946601,0.1942815249266862,0.11470516459632535,1.090172114885485,0.5679826176041832,0.6515921951676059
direct_874,usgs,simple_devonly,434,32,0.7917131429070534,0.219941348973607,0.12506443505085932,0.9983599228485894,0.6083497575547934,0.6204038195643707
all_1446,chmi,empirical,478,15,0.6935783481127858,0.9428571428571427,0.33227580939899215,1.0985346542145222,0.13604242757829577,1.7219868373433846
all_1446,chmi,simple_fitperiod,478,15,0.9280135414522385,0.7285714285714285,-0.25711598578435435,1.3165351245644887,0.8092521085800707,0.8091210364666996
all_1446,chmi,simple_devonly,478,15,0.9214202636904565,0.7499999999999999,-0.23240271804521,1.164094183048279,0.8631120880804274,0.6854348300251015
all_1446,nve_hydapi,empirical,265,10,0.7721683536534151,0.7212121212121211,0.05931414836085024,1.1037783421879026,0.38493509710666396,1.0347443674284127
all_1446,nve_hydapi,simple_fitperiod,265,10,0.8747095010252905,0.7696969696969697,-0.31313917341274516,1.1157716206508783,0.7627569520596652,0.6426423551701526
all_1446,nve_hydapi,simple_devonly,265,10,0.8665149150749945,0.8181818181818182,-0.2672982546587747,0.9820558275069928,0.7301326721052485,0.6854057643026171
all_1446,usgs,empirical,703,32,0.7212916353948375,0.6359970674486803,0.36103641325171026,0.8266177437228313,0.2701242942994365,1.0792333938699348
all_1446,usgs,simple_fitperiod,703,32,0.7776374437558649,0.4596774193548387,0.18619351595048128,1.012761374216462,0.6580127251660697,0.7387472786462161
all_1446,usgs,simple_devonly,703,32,0.7546837990916937,0.4670087976539589,0.22887548802493327,0.8996271994973589,0.6728259330966757,0.7225707165850354
