network_id,station_id,gap_length,prediction,observed,n_placements,sources,tier,all_placements_same_tier,panel,effective_support,distance_to_nearest_supported_cell
huc8_01070004,01095220,7.0,0.7285488113404385,0.7977622591464648,20,station_gap_season,station_gap_season,True,development,20.0,0.0
huc8_01070004,01095220,14.0,1.7166782035998238,0.8021224991079153,20,network_mean_fallback,network_mean_fallback,True,development,640.0,7.0
huc8_01070004,01095220,30.0,1.0895565629648665,1.1078641985058784,20,station_gap_season,station_gap_season,True,development,20.0,0.0
huc8_01070004,01095220,60.0,1.7166782035998238,1.348113890270392,20,network_mean_fallback,network_mean_fallback,True,development,640.0,30.0
huc8_01070004,01095220,90.0,1.5249654720103922,1.526022318429417,20,station_gap_season,station_gap_season,True,development,20.0,0.0
huc8_01070004,01095220,180.0,3.1830870423242823,2.7984465131825873,20,station_gap_season,station_gap_season,True,development,20.0,0.0
huc8_01070004,01095220,365.0,1.7166782035998238,7.6693389450282226,20,network_mean_fallback,network_mean_fallback,True,development,640.0,185.0
huc8_01070004,01095375,7.0,0.7683936219124922,0.6146038443701607,20,station_gap_season,station_gap_season,True,development,20.0,0.0
huc8_01070004,01095375,14.0,1.7166782035998238,0.8943794345855712,20,network_mean_fallback,network_mean_fallback,True,development,640.0,7.0
huc8_01070004,01095375,30.0,1.0668741994285336,1.0409152640203634,20,station_gap_season,station_gap_season,True,development,20.0,0.0
huc8_01070004,01095375,60.0,1.7166782035998238,1.1982230092336734,20,network_mean_fallback,network_mean_fallback,True,development,640.0,30.0
huc8_01070004,01095375,90.0,1.6989346985667944,1.4123060591767231,20,station_gap_season,station_gap_season,True,development,20.0,0.0
huc8_01070004,01095375,180.0,3.2022339659422685,2.7708434727638958,20,station_gap_season,station_gap_season,True,development,20.0,0.0
huc8_01070004,01095375,365.0,1.7166782035998238,8.022887498725154,20,network_mean_fallback,network_mean_fallback,True,development,640.0,185.0
huc8_01070004,01095434,7.0,0.7747554886746885,0.7468270870617457,20,network_gap,network_gap,True,development,160.0,100.0
huc8_01070004,01095434,14.0,1.7166782035998238,0.9223558945740973,20,network_mean_fallback,network_mean_fallback,True,development,640.0,107.0
huc8_01070004,01095434,30.0,1.049758104611887,0.8528550128340721,20,network_gap,network_gap,True,development,160.0,100.0
huc8_01070004,01095434,60.0,1.7166782035998238,0.8919326978524527,20,network_mean_fallback,network_mean_fallback,True,development,640.0,130.0
huc8_01070004,01095434,90.0,1.6742890151879704,0.9630574808783001,20,network_gap,network_gap,True,development,160.0,100.0
huc8_01070004,01095434,180.0,3.367910205924749,1.5256463930176365,20,network_gap,network_gap,True,development,160.0,100.0
huc8_01070004,01095434,365.0,1.7166782035998238,3.2942818548434403,20,network_mean_fallback,network_mean_fallback,True,development,640.0,285.0
huc8_01090001,01104370,7.0,0.8789658823667892,0.506656365096569,20,network_gap,network_gap,True,development,400.0,100.0
huc8_01090001,01104370,14.0,1.4479098669479191,0.4534076357952185,20,network_mean_fallback,network_mean_fallback,True,development,1499.0,107.0
huc8_01090001,01104370,30.0,1.1094371108268075,0.49439451856414474,20,network_gap,network_gap,True,development,400.0,100.0
huc8_01090001,01104370,60.0,1.4479098669479191,0.5526312283699711,20,network_mean_fallback,network_mean_fallback,True,development,1499.0,130.0
huc8_01090001,01104370,90.0,1.50138611597841,0.5573227006461885,20,network_gap,network_gap,True,development,399.0,100.0
huc8_01090001,01104370,180.0,2.586675443340355,0.6674977495024602,20,network_gap,network_gap,True,development,300.0,100.0
huc8_01090001,01104415,7.0,0.8274586793979897,0.5470567214488982,20,station_gap_season,station_gap_season,True,development,20.0,0.0
huc8_01090001,01104415,14.0,1.4479098669479191,0.6149399681602205,20,network_mean_fallback,network_mean_fallback,True,development,1499.0,7.0
huc8_01090001,01104415,30.0,0.7633449810132384,0.6984828131993612,20,station_gap_season,station_gap_season,True,development,20.0,0.0
huc8_01090001,01104415,60.0,1.4479098669479191,0.8360061295429866,20,network_mean_fallback,network_mean_fallback,True,development,1499.0,30.0
huc8_01090001,01104415,90.0,0.8521320947973109,0.8643488128052818,20,station_gap_season,station_gap_season,True,development,20.0,0.0
huc8_01090001,01104415,180.0,1.951294666712307,1.7338836403157978,20,station_gap_season,station_gap_season,True,development,20.0,0.0
huc8_01090001,01104420,7.0,0.8789658823667892,0.6577477076223919,20,network_gap,network_gap,True,development,400.0,100.0
huc8_01090001,01104420,14.0,1.4479098669479191,0.5707233744433948,20,network_mean_fallback,network_mean_fallback,True,development,1499.0,107.0
huc8_01090001,01104420,30.0,1.1094371108268075,0.6441618981162707,20,network_gap,network_gap,True,development,400.0,100.0
huc8_01090001,01104420,60.0,1.4479098669479191,0.8760299790650606,20,network_mean_fallback,network_mean_fallback,True,development,1499.0,130.0
huc8_01090001,01104420,90.0,1.50138611597841,0.97278833473391,20,network_gap,network_gap,True,development,399.0,100.0
huc8_01090001,01104420,180.0,2.586675443340355,1.5616447091235055,20,network_gap,network_gap,True,development,300.0,100.0
