panel,tier,n_station_gaps,n_networks,pooled_spearman,network_spearman,network_r2,within_network_spearman_mean,within_network_spearman_n_networks_ge3units,calibration_intercept,calibration_slope,pooled_r2,tier_code,tier_name
second,station_gap_season,841,57,0.9680692431126677,0.887218045112782,0.8368780981113126,0.9584721219416517,57.0,0.0528919852620806,0.972605149391242,0.8947971790668282,station_gap_season,exact local support
second,station_gap,9,2,-0.18333333333333335,-0.9999999999999999,-18.996187525886075,0.8999999999999999,2.0,3.3245782363233616,-0.14011797058689393,-9.577492428585218,station_gap,station-duration support
second,network_gap,0,0,,,,,,,,,network_gap,network-duration support
second,network_mean_fallback,596,57,0.33867414425130205,0.5624189784806846,-0.04285277136611154,,0.0,0.25209511151464425,1.157382752309723,-0.044728743525355386,network_mean_fallback,cross-duration fallback
second,unavailable,0,0,,,,,,,,,unavailable,unavailable
first,station_gap_season,673,42,0.966068350038769,0.953650433514302,0.8478822695483051,0.9637402734816403,42.0,0.08861657204300218,0.9119835869136736,0.9145668433168179,station_gap_season,exact local support
first,station_gap,0,0,,,,,,,,,station_gap,station-duration support
first,network_gap,107,12,0.7923536520798761,0.8391608391608393,-0.3280481179832271,0.6998809706809315,12.0,0.11463548021954915,0.6137099716521999,-0.046998140828096835,network_gap,network-duration support
first,network_mean_fallback,660,42,0.18298157338921028,0.5040920508872864,-0.4793972154858115,,0.0,0.8183419637607001,0.6926192942987277,-0.13898686896290924,network_mean_fallback,cross-duration fallback
first,unavailable,0,0,,,,,,,,,unavailable,unavailable
development,station_gap_season,635,51,0.952177809063671,0.9113122171945701,0.8145089492385311,0.876479988332453,50.0,0.04952598173744968,0.9102886956927838,0.8945939292288645,station_gap_season,exact local support
development,station_gap,5,1,0.3,,-inf,0.3,1.0,1.955488044085727,-0.27641203543117726,-4.050428524369355,station_gap,station-duration support
development,network_gap,183,18,0.41429287937724185,0.1413828689370485,-3.8696333945994654,0.7342284016403694,18.0,0.43306294614877405,0.41996201827205015,-0.7403556412111578,network_gap,network-duration support
development,network_mean_fallback,637,51,0.47449102874164917,0.6366515837104073,0.2027891475727147,0.12342608593406883,3.0,0.20190012525074005,1.1120520721489675,0.05817576603190633,network_mean_fallback,cross-duration fallback
development,unavailable,0,0,,,,,,,,,unavailable,unavailable
