panel,subset,method_a,method_b,n_units,n_networks,repeats,skipped_degenerate_draws,delta_pooled_spearman_mean,delta_pooled_spearman_ci95,fraction_delta_pooled_positive,delta_network_spearman_mean,delta_network_spearman_ci95,fraction_delta_network_positive,delta_calibration_slope_mean,delta_calibration_slope_ci95
second,direct_874,empirical,r4_network,874,57,2000,0,0.6682288828236631,"[0.5728634719584345, 0.758810696716845]",1.0,0.07701359621418538,"[-0.0014941773312235867, 0.17742053613594452]",0.972,0.16111123263585023,"[0.02380697377786812, 0.33626519190209375]"
second,direct_874,empirical,r8_simple,874,57,2000,0,0.09819238674967201,"[0.058882207111151504, 0.1420103351944342]",1.0,0.5522011451193392,"[0.3088055620553791, 0.813540610431201]",1.0,-0.22098589334388533,"[-0.3436220175818807, -0.09992323376646567]"
second,direct_874,empirical,r6_station_gap,874,57,2000,0,0.0029225970876063318,"[-0.00037295557944299056, 0.006765419442315445]",0.9585,0.04174908668768268,"[-0.0005881089985713293, 0.1154312028894274]",0.9705,0.014355727167147286,"[-0.008556670437236985, 0.03477711688902057]"
second,direct_874,empirical,r5_network_gap,874,57,2000,0,0.04362321810574983,"[0.029102939364151318, 0.06038781955944001]",1.0,0.04174908668768268,"[-0.0005881089985713293, 0.1154312028894274]",0.9705,-0.004605171889185329,"[-0.030113644441846703, 0.018579238525812874]"
second,direct_874,empirical,r4_network,874,57,2000,0,0.6682288828236631,"[0.5728634719584345, 0.758810696716845]",1.0,0.07701359621418538,"[-0.0014941773312235867, 0.17742053613594452]",0.972,0.16111123263585023,"[0.02380697377786812, 0.33626519190209375]"
second,direct_874,empirical,r12_stack,874,57,2000,0,0.040104169028572986,"[0.0007324783475328416, 0.08826801333986722]",0.9775,0.08790402071202176,"[-0.10614559641151514, 0.31979595808868816]",0.7905,-0.019779168120731376,"[-0.12099861236304353, 0.09988288422271324]"
second,direct_874,r11_surface,empirical,874,57,2000,0,-0.04621835774474714,"[-0.09763490321917909, -0.0041524145501845465]",0.0135,-0.11500143457328471,"[-0.3440425350970964, 0.08113880699222284]",0.136,0.39203220467037514,"[0.21042292199532328, 0.5419242951285205]"
second,direct_874,r11_surface,r4_network,874,57,2000,0,0.6220105250789161,"[0.5038543007705151, 0.7308205499269971]",1.0,-0.03798783835909933,"[-0.2488142636976089, 0.16172563498519268]",0.367,0.5531434373062255,"[0.31952462809792637, 0.777988268587223]"
second,direct_874,r11_surface,r6_station_gap,874,57,2000,0,-0.0432957606571408,"[-0.09564080710861707, -0.0017117127968940425]",0.0195,-0.07325234788560203,"[-0.2823600214389623, 0.10983334751786739]",0.2345,0.4063879318375224,"[0.22416546296764828, 0.5500354854240247]"
second,direct_874,r11_surface,r8_simple,874,57,2000,0,0.05197402900492487,"[0.019482847183166972, 0.08339703818744727]",0.999,0.43719971054605444,"[0.1544398796702036, 0.7241286845820719]",0.9985,0.17104631132648984,"[0.05528902052036219, 0.28175973918965824]"
second,direct_874,r11_surface,r12_stack,874,57,2000,0,-0.006114188716174153,"[-0.014045682961631964, 0.0011442245913484653]",0.054,-0.02709741386126295,"[-0.0721160987641647, 0.014157110064208313]",0.1005,0.37225303654964376,"[0.30255804245160034, 0.42973229505652666]"
second,direct_874,r12_stack,r4_network,874,57,2000,0,0.6281247137950902,"[0.5088830479719003, 0.7374093072026141]",1.0,-0.010890424497836382,"[-0.2256511150556901, 0.1840401257479227]",0.4655,0.1808904007565816,"[0.010137555461582216, 0.36706105966704083]"
second,all_1446,empirical,r4_network,1446,57,2000,0,0.4290337690457734,"[0.364437266035195, 0.4886722009987688]",1.0,-0.05696974188856245,"[-0.14396433456086472, 0.006943668052280612]",0.0485,-0.022568150543153684,"[-0.2109790937888389, 0.1754708104585778]"
second,all_1446,empirical,r8_simple,1446,57,2000,0,-0.09654786780835231,"[-0.15797059825312876, -0.027504316553495587]",0.002,0.10884271127177732,"[-0.1262204994699799, 0.3560479194246544]",0.81,-0.20099443803510775,"[-0.3194795958059418, -0.08416370333278923]"
second,all_1446,empirical,r6_station_gap,1446,57,2000,0,0.0045672304069261475,"[0.0011486605319366405, 0.008952109882810824]",0.9985,-0.010670847192212495,"[-0.034928292822327615, 0.007600925048629272]",0.133,0.011400002101914431,"[-0.013146778494324319, 0.03277162164616321]"
second,all_1446,empirical,r5_network_gap,1446,57,2000,0,0.02973699132071581,"[0.019895629169455493, 0.04116268459325596]",1.0,-0.010670847192212495,"[-0.034928292822327615, 0.007600925048629272]",0.133,-0.00837016584620542,"[-0.03577714286111268, 0.014892792400831946]"
second,all_1446,empirical,r4_network,1446,57,2000,0,0.4290337690457734,"[0.364437266035195, 0.4886722009987688]",1.0,-0.05696974188856245,"[-0.14396433456086472, 0.006943668052280612]",0.0485,-0.022568150543153684,"[-0.2109790937888389, 0.1754708104585778]"
second,all_1446,empirical,r12_stack,1446,57,2000,0,-0.1663566083634566,"[-0.2247578418696413, -0.10433356618452536]",0.0,-0.046372525430624534,"[-0.25369396524818744, 0.1774994519265817]",0.3305,-0.250571832395134,"[-0.3890521340951783, -0.08884630801153069]"
second,all_1446,r11_surface,empirical,1446,57,2000,0,0.1546390418466283,"[0.08935053818040499, 0.2146594858263825]",1.0,-0.03908060648018268,"[-0.24247841297868683, 0.14458268590048037]",0.3495,0.7855604815772776,"[0.5148578883625424, 1.0144821404066555]"
second,all_1446,r11_surface,r4_network,1446,57,2000,0,0.5836728108924016,"[0.47116474908034717, 0.6869400856504838]",1.0,-0.09605034836874513,"[-0.29395245058303426, 0.06665612396132982]",0.1255,0.762992331034124,"[0.44606572838348, 1.0870407370704576]"
second,all_1446,r11_surface,r6_station_gap,1446,57,2000,0,0.15920627225355446,"[0.09469889746217333, 0.2200527756533609]",1.0,-0.04975145367239517,"[-0.25294296041465714, 0.13288050749073776]",0.3045,0.796960483679192,"[0.5247446255464552, 1.021070449631087]"
second,all_1446,r11_surface,r8_simple,1446,57,2000,0,0.058091174038275975,"[0.020398379759150962, 0.09425302640652944]",0.999,0.06976210479159463,"[-0.09287808323200032, 0.2534573067163444]",0.7805,0.5845660435421699,"[0.3916312658498788, 0.7576964683739035]"
second,all_1446,r11_surface,r12_stack,1446,57,2000,0,-0.011717566516828284,"[-0.0202357568739196, -0.004444290526051312]",0.003,-0.0854531319108072,"[-0.16728470738122633, -0.010641568291629497]",0.011,0.5349886491821438,"[0.41316661255116766, 0.6417830814594063]"
