panel,subset,normalization,rung,normalized_rmse,n_units
second,amp_15nets,temp_sd,r1_global_mean,0.3218473403046575,478
second,amp_15nets,temp_iqr,r1_global_mean,0.1740243513229576,478
second,amp_15nets,temp_sd,r2_gap_only,0.16558932525397338,478
second,amp_15nets,temp_iqr,r2_gap_only,0.08929390934093219,478
second,amp_15nets,temp_sd,r3_gap_season,0.24438626518892145,478
second,amp_15nets,temp_iqr,r3_gap_season,0.13189913243591025,478
second,amp_15nets,temp_sd,r4_network_mean,0.3041963404431945,478
second,amp_15nets,temp_iqr,r4_network_mean,0.16428354645862894,478
second,amp_15nets,temp_sd,r5_network_x_horizon,0.2783982185598203,478
second,amp_15nets,temp_iqr,r5_network_x_horizon,0.1503203796672087,478
second,amp_15nets,temp_sd,r6_station_x_horizon,0.2759866779498758,478
second,amp_15nets,temp_iqr,r6_station_x_horizon,0.1489642311742305,478
second,amp_15nets,temp_sd,r7_empirical_curve,0.2761419944955262,478
second,amp_15nets,temp_iqr,r7_empirical_curve,0.14905250254050334,478
second,amp_15nets,temp_sd,r8_simple_routeA,0.13883301792534508,478
second,amp_15nets,temp_iqr,r8_simple_routeA,0.07516628260452891,478
second,amp_15nets,temp_sd,r10_blocked_cv_mean,0.1316641051352749,478
second,amp_15nets,temp_iqr,r10_blocked_cv_mean,0.07100574503321205,478
second,amp_15nets,temp_sd,r11_risk_surface,0.22476684788416038,478
second,amp_15nets,temp_iqr,r11_risk_surface,0.12178663654610652,478
second,amp_15nets,temp_sd,r12_meta_stack,0.13429948168372932,478
second,amp_15nets,temp_iqr,r12_meta_stack,0.0734730929651887,478
first,clim_mae_219stations,climatology_mae,r1_global_mean,1.319779701382976,1440
first,clim_mae_219stations,climatology_mae,r2_gap_only,1.160819417373677,1440
first,clim_mae_219stations,climatology_mae,r3_gap_season,1.1464289703147545,1440
first,clim_mae_219stations,climatology_mae,r4_network_mean,1.208411360934936,1440
first,clim_mae_219stations,climatology_mae,r5_network_x_horizon,1.2200126223483705,1440
first,clim_mae_219stations,climatology_mae,r6_station_x_horizon,1.2008578866938937,1440
first,clim_mae_219stations,climatology_mae,r7_empirical_curve,1.2015609857914313,1440
first,clim_mae_219stations,climatology_mae,r8_simple_routeA,1.3372433566485389,1440
first,clim_mae_219stations,climatology_mae,r10_blocked_cv_mean,1.148388395413018,1440
first,clim_mae_219stations,climatology_mae,r11_risk_surface,0.6969757910863732,1440
first,clim_mae_219stations,climatology_mae,r12_meta_stack,1.419032296938785,1440
