label,n_units,n_networks,pooled_spearman,network_spearman,within_network_spearman_median,within_network_fraction_defined,calibration_slope,calibration_intercept,r2,rmse
second_874_direct_r1_global_mean,874,57,,,,0.0,0.6882559616736532,0.6331475584600259,-0.07698903466253659,1.093449754901741
second_874_direct_r2_gap_only,874,57,0.8328829569476695,0.3143262944257263,0.950033737592567,1.0,1.2588513505568446,-0.12488705815203752,0.6440143112425156,0.6286507821917833
second_874_direct_r3_gap_season,874,57,0.7903513648877816,0.09318531783484767,0.9084732316131584,1.0,1.3221823553125835,-0.16593684997529265,0.4648620499228818,0.7707722423818056
second_874_direct_r4_network_mean,874,57,0.28056603807096653,0.7273139745916516,,0.0,0.7843285678036103,0.40057119613225983,0.04444461224757934,1.0299618142217695
second_874_direct_r5_network_x_horizon,874,57,0.9022443037118801,0.7632227119522946,0.9458889376416987,1.0,0.9425775343878021,0.14189161821409088,0.7261984889681432,0.5513293478650391
second_874_direct_r6_station_x_horizon,874,57,0.942387181142527,0.7632227119522946,0.9676470588235294,1.0,0.9235488385105983,0.16699005066716033,0.7893171425417872,0.48362393992916336
second_874_direct_r7_empirical_curve,874,57,0.9453454523265827,0.8049001814882034,0.965034965034965,1.0,0.9383308686836279,0.13832261354048767,0.8132326629922993,0.4553482313539534
second_874_direct_r8_simple_routeA,874,57,0.8458749473414598,0.2475369458128079,0.9370629370629372,1.0,1.157066094206701,-0.046502461201509686,0.6477252800223124,0.625365516479053
second_874_direct_r10_blocked_cv_mean,874,57,0.8328829569476695,0.04777955908399269,0.950033737592567,1.0,1.2458355041864924,-0.13433220274876945,0.6470471302475258,0.6259671599635394
second_874_direct_r11_risk_surface,874,57,0.8979489243053846,0.6887477313974593,0.9510489510489512,1.0,1.3257930459959986,-0.18863840501702536,0.6563141032941116,0.6176949436860687
second_874_direct_r12_meta_stack,874,57,0.8938128516283703,0.646227638060669,0.9510489510489512,1.0,1.019396272579803,0.10090304524928058,0.7465915020619923,0.5304003208607072
second_874_direct_r12_meta_stack_lono,874,57,0.8954750984135482,0.663793103448276,0.9558823529411766,1.0,1.0495019146806956,0.09934597617249892,0.7382014235364722,0.539109309173713
second_1446_full_r1_global_mean,1446,57,,,,0.0,0.757436585727376,0.6967889152393285,-0.09816715261232556,1.5852632983585573
second_1446_full_r2_gap_only,1446,57,0.8190161140297816,0.5480025463930508,0.9417406436121916,1.0,1.4497260776192276,-0.31838173544115905,0.6686272420090664,0.8708143590026476
second_1446_full_r3_gap_season,1446,57,0.7990124870767848,0.44972044694209096,0.9237095055056896,1.0,1.8399547970892807,-0.6770757425961852,0.3565688336214431,1.2134397766674583
second_1446_full_r4_network_mean,1446,57,0.31437597437006376,0.7719730360383719,,0.0,0.9738234614362508,0.30246705456070466,0.013046025763862379,1.5028499820669574
second_1446_full_r5_network_x_horizon,1446,57,0.7106855442347498,0.7255639097744361,0.6314241104948161,1.0,0.958204228646371,0.28219580990846355,0.2129506206548859,1.3420483757232942
second_1446_full_r6_station_x_horizon,1446,57,0.7352879319087869,0.7255639097744361,0.687485612961007,1.0,0.9384671267038125,0.30774800640324496,0.23145833920780579,1.3261751556557644
second_1446_full_r7_empirical_curve,1446,57,0.7399228649476387,0.715452424163858,0.6824564070504819,1.0,0.9502513594290952,0.2862046930270103,0.23847087348229312,1.3201109690332493
second_1446_full_r8_simple_routeA,1446,57,0.8346255703753276,0.6046149857402127,0.9381499726327313,1.0,1.1503174400140002,-0.054772613286336765,0.7564136389267573,0.7466097621559827
second_1446_full_r10_blocked_cv_mean,1446,57,0.8190161140297816,0.586379681325056,0.9417406436121916,1.0,1.1697488744784903,-0.0591908335534244,0.7599138179156522,0.7412262021034055
second_1446_full_r11_risk_surface,1446,57,0.8927996015324269,0.674358309567021,0.9402597402597404,1.0,1.729725315404635,-0.5085233694256392,0.47526242056121437,1.095817581837708
second_1446_full_r12_meta_stack,1446,57,0.8919776648500053,0.7503889032927146,0.9504643962848297,1.0,1.1485481814422192,-0.02073995371892393,0.7776244168089589,0.7133632470083847
second_1446_full_r12_meta_stack_lono,1446,57,0.8941385328183119,0.7547316567280271,0.9504442925495558,1.0,1.193453514415997,-0.031262388610724716,0.7598173874966421,0.7413750436088302
