panel,horizon,n_units,n_networks,rung,network_spearman,pooled_spearman
second,7,224,57,r1_global_mean,,
second,7,224,57,r2_gap_only,,
second,7,224,57,r3_gap_season,0.0027550441794650616,-0.015040457005599243
second,7,224,57,r4_network_mean,0.5220378532538242,0.4184277104797759
second,7,224,57,r5_network_x_horizon,0.9383588281047446,0.7229343927268539
second,7,224,57,r6_station_x_horizon,0.9384236453201971,0.9123542600896862
second,7,224,57,r7_empirical_curve,0.9320715582058596,0.9132906256673073
second,7,224,57,r8_simple_routeA,0.3744490536686544,0.4086322869955158
second,7,224,57,r10_blocked_cv_mean,,
second,7,224,57,r11_risk_surface,0.6925719471091523,0.61621289771514
second,7,224,57,r12_meta_stack,0.7582317863624579,0.6976629842909693
second,14,224,57,r1_global_mean,,
second,14,224,57,r2_gap_only,,
second,14,224,57,r3_gap_season,-0.08158568711083396,-0.09073135284216784
second,14,224,57,r4_network_mean,0.5451127819548872,0.48228926900283436
second,14,224,57,r5_network_x_horizon,0.5451127819548872,0.48228926900283436
second,14,224,57,r6_station_x_horizon,0.5451127819548872,0.48228926900283436
second,14,224,57,r7_empirical_curve,0.5451127819548872,0.48228926900283436
second,14,224,57,r8_simple_routeA,0.3555224267565466,0.46378176382660696
second,14,224,57,r10_blocked_cv_mean,,
second,14,224,57,r11_risk_surface,0.7336660617059892,0.6640294682895581
second,14,224,57,r12_meta_stack,0.7325641690432979,0.7379478966474483
second,30,224,57,r1_global_mean,,
second,30,224,57,r2_gap_only,-0.13203999405827355,
second,30,224,57,r3_gap_season,-0.15399825167404535,-0.14865054353729334
second,30,224,57,r4_network_mean,0.6221804511278196,0.5132199588083873
second,30,224,57,r5_network_x_horizon,0.9154135338345866,0.7495422185518488
second,30,224,57,r6_station_x_horizon,0.9154135338345866,0.9044245142002991
second,30,224,57,r7_empirical_curve,0.9156728026963963,0.9039173606662397
second,30,224,57,r8_simple_routeA,0.15296862846772102,0.2557505872304079
second,30,224,57,r10_blocked_cv_mean,,
second,30,224,57,r11_risk_surface,0.7706118745138709,0.7216506512919071
second,30,224,57,r12_meta_stack,0.659061446720249,0.6511413623745463
second,60,224,57,r1_global_mean,,
second,60,224,57,r2_gap_only,,
second,60,224,57,r3_gap_season,-0.11779196939243965,-0.12163369014994732
second,60,224,57,r4_network_mean,0.6978869587762511,0.5910902450233819
second,60,224,57,r5_network_x_horizon,0.6978869587762511,0.5910902450233819
second,60,224,57,r6_station_x_horizon,0.6978869587762511,0.5910902450233819
second,60,224,57,r7_empirical_curve,0.6978869587762511,0.5910902450233819
second,60,224,57,r8_simple_routeA,0.09929997407311382,0.23255818919496055
second,60,224,57,r10_blocked_cv_mean,,
second,60,224,57,r11_risk_surface,0.7424163857920664,0.7170862694853728
second,60,224,57,r12_meta_stack,0.6405237231008556,0.616436045270126
second,90,220,56,r1_global_mean,,
second,90,220,56,r2_gap_only,,
second,90,220,56,r3_gap_season,-0.05305076132857259,-0.05694366779007885
second,90,220,56,r4_network_mean,0.6601503759398497,0.5190040505275022
second,90,220,56,r5_network_x_horizon,0.8425837320574164,0.6533175094471854
second,90,220,56,r6_station_x_horizon,0.8434723171565277,0.8512485736456974
second,90,220,56,r7_empirical_curve,0.8647983595352017,0.8729106149221094
second,90,220,56,r8_simple_routeA,0.042925495557074506,0.2770605703724156
second,90,220,56,r10_blocked_cv_mean,,
second,90,220,56,r11_risk_surface,0.7143540669856459,0.6575894693541752
second,90,220,56,r12_meta_stack,0.6035543403964456,0.6396409392380383
second,180,206,53,r1_global_mean,,
second,180,206,53,r2_gap_only,,
second,180,206,53,r3_gap_season,0.0669381843518031,0.020549147844496338
second,180,206,53,r4_network_mean,0.6085308821157878,0.4721781728822069
second,180,206,53,r5_network_x_horizon,0.6027253668763102,0.4514682786972499
second,180,206,53,r6_station_x_horizon,0.603451056281245,0.6479806331260128
second,180,206,53,r7_empirical_curve,0.6594097726173197,0.6826758148033891
second,180,206,53,r8_simple_routeA,0.16400580551523947,0.3387913668077162
second,180,206,53,r10_blocked_cv_mean,,
second,180,206,53,r11_risk_surface,0.46524754071923885,0.47803162117733466
second,180,206,53,r12_meta_stack,0.4829866150620867,0.5513814960859613
second,365,124,30,r1_global_mean,,
second,365,124,30,r2_gap_only,0.22926441754812296,
second,365,124,30,r3_gap_season,-0.30492832719086277,-0.18832561554637553
second,365,124,30,r4_network_mean,0.7357063403781979,0.5066637032979502
second,365,124,30,r5_network_x_horizon,0.7357063403781979,0.5066637032979502
second,365,124,30,r6_station_x_horizon,0.7357063403781979,0.5066637032979502
second,365,124,30,r7_empirical_curve,0.7357063403781979,0.5066637032979502
second,365,124,30,r8_simple_routeA,0.13370411568409346,0.2451927616050354
second,365,124,30,r10_blocked_cv_mean,,
second,365,124,30,r11_risk_surface,0.26985539488320354,0.4110904799370574
second,365,124,30,r12_meta_stack,0.2827586206896551,0.4622627852084971
first,7,219,42,r1_global_mean,,
