panel,subset,rung,residualized_pooled_spearman
second,874_direct,r1_global_mean,
second,874_direct,r2_gap_only,0.8964636221220627
second,874_direct,r3_gap_season,0.8706132917344025
second,874_direct,r4_network_mean,0.002404262281259956
second,874_direct,r5_network_x_horizon,0.8889370462489226
second,874_direct,r6_station_x_horizon,0.9298324622924237
second,874_direct,r7_empirical_curve,0.9358954218739222
second,874_direct,r8_simple_routeA,0.8957689876866078
second,874_direct,r10_blocked_cv_mean,0.8765490075299138
second,874_direct,r11_risk_surface,0.9034499381578105
second,874_direct,r12_meta_stack,0.9117895860224294
second,1446_full,r1_global_mean,
second,1446_full,r2_gap_only,0.9038191132650403
second,1446_full,r3_gap_season,0.8345122900768244
second,1446_full,r4_network_mean,0.04514118534841491
second,1446_full,r5_network_x_horizon,0.5751643634369035
second,1446_full,r6_station_x_horizon,0.6032787705218047
second,1446_full,r7_empirical_curve,0.6072931774184498
second,1446_full,r8_simple_routeA,0.90755287970127
second,1446_full,r10_blocked_cv_mean,0.9114203680232354
second,1446_full,r11_risk_surface,0.8764648203461284
second,1446_full,r12_meta_stack,0.9121667822311667
first,858_direct,r1_global_mean,
first,858_direct,r2_gap_only,0.832850870911135
first,858_direct,r3_gap_season,0.830440889326698
first,858_direct,r4_network_mean,-0.008301101211172876
first,858_direct,r5_network_x_horizon,0.7421718462305201
first,858_direct,r6_station_x_horizon,0.8001585802621083
first,858_direct,r7_empirical_curve,0.8015022674917314
first,858_direct,r8_simple_routeA,0.8493945962047454
first,858_direct,r10_blocked_cv_mean,0.8215687811304127
first,858_direct,r11_risk_surface,0.9055249366689858
first,858_direct,r12_meta_stack,0.861889968089263
first,780_supported,r1_global_mean,
first,780_supported,r2_gap_only,0.8468527516891057
first,780_supported,r3_gap_season,0.8195612859277814
first,780_supported,r4_network_mean,-0.0415363643372296
first,780_supported,r5_network_x_horizon,0.8784667084541994
first,780_supported,r6_station_x_horizon,0.9294913248065788
first,780_supported,r7_empirical_curve,0.9317342598016767
first,780_supported,r8_simple_routeA,0.8615648359306715
first,780_supported,r10_blocked_cv_mean,0.8443097363962291
first,780_supported,r11_risk_surface,0.9246186110500839
first,780_supported,r12_meta_stack,0.8757056975548091
first,1440_full,r1_global_mean,
first,1440_full,r2_gap_only,0.8586915742575473
first,1440_full,r3_gap_season,0.8096320355016361
first,1440_full,r4_network_mean,-0.0035290883349367347
first,1440_full,r5_network_x_horizon,0.4759848078616814
first,1440_full,r6_station_x_horizon,0.5125640436924277
first,1440_full,r7_empirical_curve,0.5036383647640937
first,1440_full,r8_simple_routeA,0.8623124778063003
first,1440_full,r10_blocked_cv_mean,0.858837558620958
first,1440_full,r11_risk_surface,0.9101238888417407
first,1440_full,r12_meta_stack,0.8752721560242959
