panel,subset,rung,baseline,networks_both_defined,fraction_rung_beats,median_within_delta
second,874_direct,r7_empirical_curve,r4_network_mean,0,,
second,874_direct,r11_risk_surface,r4_network_mean,0,,
second,874_direct,r12_meta_stack,r4_network_mean,0,,
second,1446_full,r7_empirical_curve,r4_network_mean,0,,
second,1446_full,r11_risk_surface,r4_network_mean,0,,
second,1446_full,r12_meta_stack,r4_network_mean,0,,
first,858_direct,r7_empirical_curve,r5_network_x_horizon,42,0.7857142857142857,0.04402694094553311
first,858_direct,r11_risk_surface,r5_network_x_horizon,42,0.8809523809523809,0.05391822612992653
first,858_direct,r12_meta_stack,r5_network_x_horizon,42,0.6190476190476191,0.01985690468461021
first,780_supported,r7_empirical_curve,r5_network_x_horizon,42,0.7380952380952381,0.04358591028978143
first,780_supported,r11_risk_surface,r5_network_x_horizon,42,0.8571428571428571,0.04952570033885567
first,780_supported,r12_meta_stack,r5_network_x_horizon,42,0.5,0.0004025585810284449
first,1440_full,r7_empirical_curve,r5_network_x_horizon,42,0.7619047619047619,0.044105351403011306
first,1440_full,r11_risk_surface,r5_network_x_horizon,42,1.0,0.3475816111654795
first,1440_full,r12_meta_stack,r5_network_x_horizon,42,1.0,0.31887110888772185
second,874_direct,r7_empirical_curve,r7_empirical_curve,57,0.0,0.0
second,874_direct,r11_risk_surface,r7_empirical_curve,57,0.2807017543859649,-0.018575851393188736
second,874_direct,r12_meta_stack,r7_empirical_curve,57,0.3508771929824561,-0.008823529411764897
second,1446_full,r7_empirical_curve,r7_empirical_curve,57,0.0,0.0
second,1446_full,r11_risk_surface,r7_empirical_curve,57,0.9649122807017544,0.25869278095409365
second,1446_full,r12_meta_stack,r7_empirical_curve,57,0.9824561403508771,0.2620372835032706
first,858_direct,r7_empirical_curve,r7_empirical_curve,42,0.0,0.0
first,858_direct,r11_risk_surface,r7_empirical_curve,42,0.4523809523809524,-0.006993006993006978
first,858_direct,r12_meta_stack,r7_empirical_curve,42,0.30952380952380953,-0.027446032228641115
first,780_supported,r7_empirical_curve,r7_empirical_curve,42,0.0,0.0
first,780_supported,r11_risk_surface,r7_empirical_curve,42,0.42857142857142855,-0.008007781691992233
first,780_supported,r12_meta_stack,r7_empirical_curve,42,0.23809523809523808,-0.03496503496503489
first,1440_full,r7_empirical_curve,r7_empirical_curve,42,0.0,0.0
first,1440_full,r11_risk_surface,r7_empirical_curve,42,1.0,0.2913610579466643
first,1440_full,r12_meta_stack,r7_empirical_curve,42,1.0,0.2639066432534282
