source_family,target_family,panel,granularity,n_units,unit_spearman,unit_p_value,n_networks,network_spearman,network_p_value,calibration_slope,calibration_intercept,n_units_used
pchip_or_linear,pchip_or_linear,first_confirmation,station_gap,119,0.952912690499929,1.8085037023615491e-62,8,0.9761904761904763,3.3143960262001043e-05,0.6900220264034039,0.4749175347537496,119
pchip_or_linear,pchip_or_linear,second_confirmation,station_gap,59,0.8262419637638809,7.842840047309653e-16,4,0.0,1.0,-0.10043783743928258,2.1927474245631644,59
pchip_or_linear,seasonal_boundary_ridge,first_confirmation,station_gap,119,0.935757014670275,8.586531871146455e-55,8,0.9285714285714287,0.0008629681828999769,0.758901805618624,0.30677282551056745,119
pchip_or_linear,donor_blup_ridge,first_confirmation,station_gap,119,0.8005483549351945,8.773860330444144e-28,8,0.9047619047619048,0.0020082755054294677,1.0185622656703333,-0.3126058168707582,119
pchip_or_linear,xgboost_b_d,first_confirmation,station_gap,119,0.8993661871528275,7.434524645800031e-44,8,0.9047619047619048,0.0020082755054294677,0.7126857715071371,0.1147435970859816,119
pchip_or_linear,xgboost_b_d,second_confirmation,station_gap,23,0.8478260869565217,3.2715095793645124e-07,4,0.19999999999999998,0.8,0.15488072957776008,0.9661305479612757,23
pchip_or_linear,bilstm,first_confirmation,station_gap,99,0.29453308596165734,0.0030835091570453723,8,0.6190476190476191,0.1017330374542646,6.848514880879364,-2.691377034009963,99
pchip_or_linear,bilstm,second_confirmation,station_gap,0,,,0,,,,,0
pchip_or_linear,air2stream,second_confirmation,station_gap,23,-0.03952569169960475,0.8578929386002241,4,-0.7999999999999999,0.20000000000000007,-0.14078778100467523,1.188433772852807,23
seasonal_boundary_ridge,pchip_or_linear,first_confirmation,station_gap,119,0.9059393248824955,1.736922443084986e-45,8,0.9761904761904763,3.3143960262001043e-05,0.6954685633714199,0.5450715340650117,119
seasonal_boundary_ridge,pchip_or_linear,second_confirmation,station_gap,59,0.8250146113383988,9.416469192503926e-16,4,0.6000000000000001,0.3999999999999999,-0.030160056772107726,2.013654872407311,59
seasonal_boundary_ridge,seasonal_boundary_ridge,first_confirmation,station_gap,119,0.9194060675117505,3.0668691091060357e-49,8,0.9285714285714287,0.0008629681828999769,0.7657954629943425,0.38270816554736736,119
seasonal_boundary_ridge,donor_blup_ridge,first_confirmation,station_gap,119,0.799437402079476,1.1727855218049176e-27,8,0.9047619047619048,0.0020082755054294677,1.0080478289302173,-0.1839605515966118,119
seasonal_boundary_ridge,xgboost_b_d,first_confirmation,station_gap,119,0.8634026491952715,1.4648189375137246e-36,8,0.9047619047619048,0.0020082755054294677,0.7066654758561767,0.20294902527173794,119
seasonal_boundary_ridge,xgboost_b_d,second_confirmation,station_gap,23,0.8814229249011858,2.7817398148580085e-08,4,0.39999999999999997,0.6,0.262174635685564,0.7700164189402283,23
seasonal_boundary_ridge,bilstm,first_confirmation,station_gap,99,0.22278293135435992,0.02666106584950057,8,0.5476190476190477,0.1600256425388966,8.71757578146152,-3.8880057554448593,99
seasonal_boundary_ridge,bilstm,second_confirmation,station_gap,0,,,0,,,,,0
seasonal_boundary_ridge,air2stream,second_confirmation,station_gap,23,-0.05434782608695652,0.8054580956761178,4,-0.39999999999999997,0.6,-0.09183653833990739,1.041616655304065,23
donor_blup_ridge,pchip_or_linear,first_confirmation,station_gap,119,0.7680743483834213,2.141406126952098e-24,8,0.9285714285714287,0.0008629681828999769,0.5403952647311301,0.8731612842374513,119
donor_blup_ridge,pchip_or_linear,second_confirmation,station_gap,59,0.6921098772647577,1.2698068549259892e-09,4,0.39999999999999997,0.6,-0.09130560567063105,2.078736435756388,59
donor_blup_ridge,seasonal_boundary_ridge,first_confirmation,station_gap,119,0.786946303945307,2.715762788220164e-26,8,0.9761904761904763,3.3143960262001043e-05,0.6129211049937219,0.723715035472878,119
donor_blup_ridge,donor_blup_ridge,first_confirmation,station_gap,119,0.9178749465888051,8.815949618022648e-49,8,0.9523809523809524,0.00026040002438725105,0.8708825015806053,0.1923244046729926,119
donor_blup_ridge,xgboost_b_d,first_confirmation,station_gap,119,0.8617789488676827,2.7838930224469954e-36,8,0.9285714285714287,0.0008629681828999769,0.6082742582835989,0.4692662437902395,119
donor_blup_ridge,xgboost_b_d,second_confirmation,station_gap,23,0.7845849802371542,9.341612326806136e-06,4,0.7999999999999999,0.20000000000000007,0.4877780229918075,0.6140166837100822,23
donor_blup_ridge,bilstm,first_confirmation,station_gap,99,0.2557081014223871,0.010631865157673767,8,0.7380952380952381,0.03655276105286081,6.098073892939284,-0.42420614112427063,99
donor_blup_ridge,bilstm,second_confirmation,station_gap,0,,,0,,,,,0
donor_blup_ridge,air2stream,second_confirmation,station_gap,23,-0.24209486166007904,0.2657271000486689,4,0.0,1.0,-0.029641885981319168,0.882642869302338,23
xgboost_b_d,pchip_or_linear,development_validation,station_gap,640,0.6594338456636859,4.1572550801427074e-81,51,0.46361990950226245,0.0006116982289782523,0.5992817342187793,1.1930044473322516,640
