source_family,target_family,metric,value
1_linear_pchip_boundary,2_seasonal_boundary_ridge,station_gap_spearman,0.9039810119754017
1_linear_pchip_boundary,2_seasonal_boundary_ridge,network_spearman,0.8787878787878788
1_linear_pchip_boundary,2_seasonal_boundary_ridge,station_gap_slope,0.5991343732170128
1_linear_pchip_boundary,2_seasonal_boundary_ridge,network_slope,0.5696197690510397
1_linear_pchip_boundary,2_seasonal_boundary_ridge,n_units,92.0
1_linear_pchip_boundary,2_seasonal_boundary_ridge,n_networks,10.0
1_linear_pchip_boundary,2_seasonal_boundary_ridge,n_placements,1840.0
1_linear_pchip_boundary,3_donor_covariance_ridge,station_gap_spearman,0.8394957076584004
1_linear_pchip_boundary,3_donor_covariance_ridge,network_spearman,0.8666666666666665
1_linear_pchip_boundary,3_donor_covariance_ridge,station_gap_slope,0.4441509912435034
1_linear_pchip_boundary,3_donor_covariance_ridge,network_slope,0.4727116207624262
1_linear_pchip_boundary,3_donor_covariance_ridge,n_units,92.0
1_linear_pchip_boundary,3_donor_covariance_ridge,n_networks,10.0
1_linear_pchip_boundary,3_donor_covariance_ridge,n_placements,1840.0
1_linear_pchip_boundary,4_xgboost,station_gap_spearman,0.8780697002527987
1_linear_pchip_boundary,4_xgboost,network_spearman,0.7696969696969697
1_linear_pchip_boundary,4_xgboost,station_gap_slope,0.6439826036476676
1_linear_pchip_boundary,4_xgboost,network_slope,0.5255733713465666
1_linear_pchip_boundary,4_xgboost,n_units,143.0
1_linear_pchip_boundary,4_xgboost,n_networks,10.0
1_linear_pchip_boundary,4_xgboost,n_placements,2111.0
1_linear_pchip_boundary,5_bilstm,station_gap_spearman,0.07510227936879017
1_linear_pchip_boundary,5_bilstm,network_spearman,0.6
1_linear_pchip_boundary,5_bilstm,station_gap_slope,0.38564284240177443
1_linear_pchip_boundary,5_bilstm,network_slope,2.2570475986826684
1_linear_pchip_boundary,5_bilstm,n_units,117.0
1_linear_pchip_boundary,5_bilstm,n_networks,10.0
1_linear_pchip_boundary,5_bilstm,n_placements,261.0
1_linear_pchip_boundary,1_linear_pchip_boundary,station_gap_spearman,0.916580485242457
1_linear_pchip_boundary,1_linear_pchip_boundary,network_spearman,0.9515151515151514
1_linear_pchip_boundary,1_linear_pchip_boundary,station_gap_slope,0.897653634464188
1_linear_pchip_boundary,1_linear_pchip_boundary,network_slope,0.7255060329243547
1_linear_pchip_boundary,1_linear_pchip_boundary,n_units,143.0
1_linear_pchip_boundary,1_linear_pchip_boundary,n_networks,10.0
1_linear_pchip_boundary,1_linear_pchip_boundary,n_placements,2111.0
1_pchip_record_variant,2_seasonal_boundary_ridge,station_gap_spearman,0.8612271319143687
1_pchip_record_variant,2_seasonal_boundary_ridge,network_spearman,0.8909090909090909
1_pchip_record_variant,2_seasonal_boundary_ridge,station_gap_slope,0.5244061139846222
1_pchip_record_variant,2_seasonal_boundary_ridge,network_slope,0.5541289531962903
1_pchip_record_variant,2_seasonal_boundary_ridge,n_units,92.0
1_pchip_record_variant,2_seasonal_boundary_ridge,n_networks,10.0
1_pchip_record_variant,2_seasonal_boundary_ridge,n_placements,1840.0
1_pchip_record_variant,3_donor_covariance_ridge,station_gap_spearman,0.7419971333014811
1_pchip_record_variant,3_donor_covariance_ridge,network_spearman,0.7575757575757575
1_pchip_record_variant,3_donor_covariance_ridge,station_gap_slope,0.36946246266960425
1_pchip_record_variant,3_donor_covariance_ridge,network_slope,0.39792819859902573
1_pchip_record_variant,3_donor_covariance_ridge,n_units,92.0
1_pchip_record_variant,3_donor_covariance_ridge,n_networks,10.0
1_pchip_record_variant,3_donor_covariance_ridge,n_placements,1840.0
1_pchip_record_variant,4_xgboost,station_gap_spearman,0.8912841852982698
1_pchip_record_variant,4_xgboost,network_spearman,0.8060606060606059
1_pchip_record_variant,4_xgboost,station_gap_slope,0.5942216801594195
1_pchip_record_variant,4_xgboost,network_slope,0.4743288411365893
1_pchip_record_variant,4_xgboost,n_units,143.0
1_pchip_record_variant,4_xgboost,n_networks,10.0
1_pchip_record_variant,4_xgboost,n_placements,1946.0
1_pchip_record_variant,5_bilstm,station_gap_spearman,-0.015577934631119903
1_pchip_record_variant,5_bilstm,network_spearman,0.24848484848484845
1_pchip_record_variant,5_bilstm,station_gap_slope,0.1361922082676213
1_pchip_record_variant,5_bilstm,network_slope,0.6301615578731118
1_pchip_record_variant,5_bilstm,n_units,117.0
1_pchip_record_variant,5_bilstm,n_networks,10.0
1_pchip_record_variant,5_bilstm,n_placements,255.0
1_pchip_record_variant,1_linear_pchip_boundary,station_gap_spearman,0.9362708887356774
1_pchip_record_variant,1_linear_pchip_boundary,network_spearman,0.9878787878787878
1_pchip_record_variant,1_linear_pchip_boundary,station_gap_slope,0.850542121034679
1_pchip_record_variant,1_linear_pchip_boundary,network_slope,0.7264141525182946
1_pchip_record_variant,1_linear_pchip_boundary,n_units,143.0
1_pchip_record_variant,1_linear_pchip_boundary,n_networks,10.0
1_pchip_record_variant,1_linear_pchip_boundary,n_placements,1946.0
2_seasonal_boundary_ridge,2_seasonal_boundary_ridge,station_gap_spearman,0.9033491053126397
2_seasonal_boundary_ridge,2_seasonal_boundary_ridge,network_spearman,0.8303030303030302
2_seasonal_boundary_ridge,2_seasonal_boundary_ridge,station_gap_slope,0.6635287481360456
2_seasonal_boundary_ridge,2_seasonal_boundary_ridge,network_slope,0.6430961378120166
2_seasonal_boundary_ridge,2_seasonal_boundary_ridge,n_units,92.0
2_seasonal_boundary_ridge,2_seasonal_boundary_ridge,n_networks,10.0
2_seasonal_boundary_ridge,2_seasonal_boundary_ridge,n_placements,1840.0
2_seasonal_boundary_ridge,3_donor_covariance_ridge,station_gap_spearman,0.8446742598215249
2_seasonal_boundary_ridge,3_donor_covariance_ridge,network_spearman,0.8666666666666665
2_seasonal_boundary_ridge,3_donor_covariance_ridge,station_gap_slope,0.4968234018812629
2_seasonal_boundary_ridge,3_donor_covariance_ridge,network_slope,0.5407578169606971
2_seasonal_boundary_ridge,3_donor_covariance_ridge,n_units,92.0
2_seasonal_boundary_ridge,3_donor_covariance_ridge,n_networks,10.0
2_seasonal_boundary_ridge,3_donor_covariance_ridge,n_placements,1840.0
2_seasonal_boundary_ridge,4_xgboost,station_gap_spearman,0.8498883745362618
2_seasonal_boundary_ridge,4_xgboost,network_spearman,0.7454545454545454
2_seasonal_boundary_ridge,4_xgboost,station_gap_slope,0.6893458714057391
2_seasonal_boundary_ridge,4_xgboost,network_slope,0.5913867736781353
2_seasonal_boundary_ridge,4_xgboost,n_units,143.0
2_seasonal_boundary_ridge,4_xgboost,n_networks,10.0
2_seasonal_boundary_ridge,4_xgboost,n_placements,2111.0
2_seasonal_boundary_ridge,5_bilstm,station_gap_spearman,0.052638283205203126
2_seasonal_boundary_ridge,5_bilstm,network_spearman,0.5515151515151515
2_seasonal_boundary_ridge,5_bilstm,station_gap_slope,0.3495517711091647
2_seasonal_boundary_ridge,5_bilstm,network_slope,2.252215311926672
2_seasonal_boundary_ridge,5_bilstm,n_units,117.0
2_seasonal_boundary_ridge,5_bilstm,n_networks,10.0
2_seasonal_boundary_ridge,5_bilstm,n_placements,261.0
2_seasonal_boundary_ridge,1_linear_pchip_boundary,station_gap_spearman,0.8863759479956662
2_seasonal_boundary_ridge,1_linear_pchip_boundary,network_spearman,0.9515151515151514
2_seasonal_boundary_ridge,1_linear_pchip_boundary,station_gap_slope,0.9666889716100978
2_seasonal_boundary_ridge,1_linear_pchip_boundary,network_slope,0.8123837458444172
2_seasonal_boundary_ridge,1_linear_pchip_boundary,n_units,143.0
2_seasonal_boundary_ridge,1_linear_pchip_boundary,n_networks,10.0
2_seasonal_boundary_ridge,1_linear_pchip_boundary,n_placements,2111.0
3_donor_covariance_ridge,2_seasonal_boundary_ridge,station_gap_spearman,0.7672271627390843
