network_id,seed,n_features,fit_years,validation_years,score_years,n_training_windows,n_validation_windows,epochs_ran,best_epoch,best_validation_loss,hit_epoch_limit
arso_drava,0,3,2015|2016|2017|2018,2019,2020|2021,24,8,40,40,0.1139993071556091,True
arso_drava,1,3,2015|2016|2017|2018,2019,2020|2021,24,8,40,40,0.2055598199367523,True
arso_drava,2,3,2015|2016|2017|2018,2019,2020|2021,24,8,31,25,0.2929964065551758,False
arso_kamniska_bistrica,0,3,2016|2017|2018,2019,2020|2021,24,8,20,14,0.235667809844017,False
arso_kamniska_bistrica,1,3,2016|2017|2018,2019,2020|2021,24,8,36,30,0.3959822356700897,False
arso_kamniska_bistrica,2,3,2016|2017|2018,2019,2020|2021,24,8,40,40,0.2160105556249618,True
foen_aare_aaregebiet,0,9,2000|2001|2002|2003|2004|2005|2006|2007|2008|2009,2010|2011|2012,2013|2014|2015|2016|2017|2018,24,8,40,40,0.1913057565689087,True
foen_aare_aaregebiet,1,9,2000|2001|2002|2003|2004|2005|2006|2007|2008|2009,2010|2011|2012,2013|2014|2015|2016|2017|2018,24,8,21,15,0.8565897941589355,False
foen_aare_aaregebiet,2,9,2000|2001|2002|2003|2004|2005|2006|2007|2008|2009,2010|2011|2012,2013|2014|2015|2016|2017|2018,24,8,7,1,1.058708906173706,False
gkd_bayern_alz,0,1,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995,1996|1997|1998|1999|2000|2001,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,24,8,40,37,0.5721308588981628,True
gkd_bayern_alz,1,1,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995,1996|1997|1998|1999|2000|2001,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,24,8,7,1,0.7238489985466003,False
gkd_bayern_alz,2,1,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995,1996|1997|1998|1999|2000|2001,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,24,8,7,1,1.0098708868026731,False
gkd_bayern_fraenkische_saale,0,1,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996,1997|1998|1999|2000|2001|2002,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,24,8,7,1,1.0096185207366943,False
gkd_bayern_fraenkische_saale,1,1,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996,1997|1998|1999|2000|2001|2002,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,24,8,7,1,0.7840594053268433,False
gkd_bayern_fraenkische_saale,2,1,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996,1997|1998|1999|2000|2001|2002,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,24,8,10,4,0.8755900859832764,False
huc8_02040102,0,2,2000|2001|2002|2003|2004|2005|2006|2007|2008|2009,2010|2011|2012,2013|2014|2015|2016|2017|2018,24,8,40,40,0.3870726227760315,True
huc8_02040102,1,2,2000|2001|2002|2003|2004|2005|2006|2007|2008|2009,2010|2011|2012,2013|2014|2015|2016|2017|2018,24,8,40,40,0.5874417424201965,True
huc8_02040102,2,2,2000|2001|2002|2003|2004|2005|2006|2007|2008|2009,2010|2011|2012,2013|2014|2015|2016|2017|2018,24,8,40,40,0.2430232167243957,True
huc8_03010107,0,3,2000|2001|2002|2003|2004|2005|2006|2007|2008|2009,2010|2011|2012,2013|2014|2015|2016|2017|2018,24,8,40,38,0.1715939939022064,True
huc8_03010107,1,3,2000|2001|2002|2003|2004|2005|2006|2007|2008|2009,2010|2011|2012,2013|2014|2015|2016|2017|2018,24,8,40,38,0.2360274046659469,True
huc8_03010107,2,3,2000|2001|2002|2003|2004|2005|2006|2007|2008|2009,2010|2011|2012,2013|2014|2015|2016|2017|2018,24,8,30,24,0.1922458857297897,False
lubw_neckar,0,8,1975|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993,1994|1995|1996|1997|1998|1999,2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010,24,8,40,40,0.7447719573974609,True
lubw_neckar,1,8,1975|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993,1994|1995|1996|1997|1998|1999,2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010,24,8,19,13,0.8693003058433533,False
lubw_neckar,2,8,1975|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993,1994|1995|1996|1997|1998|1999,2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010,24,8,34,28,1.305428385734558,False
lubw_rhein,0,3,1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002,2003|2004|2005|2006,2007|2008|2009|2010|2011|2012|2013|2014,24,8,37,31,0.2492018043994903,False
lubw_rhein,1,3,1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002,2003|2004|2005|2006,2007|2008|2009|2010|2011|2012|2013|2014,24,8,40,40,0.2132401466369629,True
lubw_rhein,2,3,1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002,2003|2004|2005|2006,2007|2008|2009|2010|2011|2012|2013|2014,24,8,40,39,0.2025759667158126,True
rws_rijn_lek_nederrijn,0,3,2017|2018|2019,2020,2021|2022,24,8,40,40,0.1547087281942367,True
rws_rijn_lek_nederrijn,1,3,2017|2018|2019,2020,2021|2022,24,8,32,26,0.3039024770259857,False
rws_rijn_lek_nederrijn,2,3,2017|2018|2019,2020,2021|2022,24,8,40,39,0.2551357746124267,True
