mechanism,network_id,station_id,gap_length,trial_mean_mae_deg_c,n_trial_placements,network_trial_mean_mae_deg_c
a_uniform_block,gkd_bayern_main,24064003,7,0.28981431211744035,12,0.5896753132579818
a_uniform_block,gkd_bayern_main,24064003,14,0.46320207970482974,12,0.5896753132579818
a_uniform_block,gkd_bayern_main,24064003,30,0.6009051186508602,12,0.5896753132579818
a_uniform_block,gkd_bayern_main,24064003,60,1.004779742558797,12,0.5896753132579818
a_uniform_block,gkd_bayern_main,24064003,90,,0,0.5896753132579818
a_uniform_block,gkd_bayern_main,24064003,180,,0,0.5896753132579818
a_uniform_block,gkd_bayern_main,24064003,365,,0,0.5896753132579818
a_uniform_block,gkd_bayern_main,24010004,7,0.43036264975865673,12,0.8932572086510205
a_uniform_block,gkd_bayern_main,24010004,14,0.816692097130276,12,0.8932572086510205
a_uniform_block,gkd_bayern_main,24010004,30,0.9794678955607942,12,0.8932572086510205
a_uniform_block,gkd_bayern_main,24010004,60,1.3465061921543544,12,0.8932572086510205
a_uniform_block,gkd_bayern_main,24010004,90,,0,0.8932572086510205
a_uniform_block,gkd_bayern_main,24010004,180,,0,0.8932572086510205
a_uniform_block,gkd_bayern_main,24010004,365,,0,0.8932572086510205
a_uniform_block,gkd_bayern_main,24022003,7,0.26653636183057505,12,0.6356038722194849
a_uniform_block,gkd_bayern_main,24022003,14,0.49471064153171723,12,0.6356038722194849
a_uniform_block,gkd_bayern_main,24022003,30,0.6919473321239153,12,0.6356038722194849
a_uniform_block,gkd_bayern_main,24022003,60,1.0892211533917322,12,0.6356038722194849
a_uniform_block,gkd_bayern_main,24022003,90,,0,0.6356038722194849
a_uniform_block,gkd_bayern_main,24022003,180,,0,0.6356038722194849
a_uniform_block,gkd_bayern_main,24022003,365,,0,0.6356038722194849
a_uniform_block,gkd_bayern_main,24042000,7,0.2529263121741159,12,0.6067659488012866
a_uniform_block,gkd_bayern_main,24042000,14,0.45451578384354,12,0.6067659488012866
a_uniform_block,gkd_bayern_main,24042000,30,0.6588910274373161,12,0.6067659488012866
a_uniform_block,gkd_bayern_main,24042000,60,1.0607306717501748,12,0.6067659488012866
a_uniform_block,gkd_bayern_main,24042000,90,,0,0.6067659488012866
a_uniform_block,gkd_bayern_main,24042000,180,,0,0.6067659488012866
a_uniform_block,gkd_bayern_main,24042000,365,,0,0.6067659488012866
a_uniform_block,gkd_bayern_main,24012203,7,0.3656555652618409,12,0.8202255496696113
a_uniform_block,gkd_bayern_main,24012203,14,0.7286158940621785,12,0.8202255496696113
a_uniform_block,gkd_bayern_main,24012203,30,0.8632484386861324,12,0.8202255496696113
a_uniform_block,gkd_bayern_main,24012203,60,1.3233823006682928,12,0.8202255496696113
a_uniform_block,gkd_bayern_main,24012203,90,,0,0.8202255496696113
a_uniform_block,gkd_bayern_main,24012203,180,,0,0.8202255496696113
a_uniform_block,gkd_bayern_main,24012203,365,,0,0.8202255496696113
a_uniform_block,gkd_bayern_main,24078008,7,0.27530554022107806,12,0.5887166366170322
a_uniform_block,gkd_bayern_main,24078008,14,0.49652113744190757,12,0.5887166366170322
a_uniform_block,gkd_bayern_main,24078008,30,0.5804415228631761,12,0.5887166366170322
a_uniform_block,gkd_bayern_main,24078008,60,1.0025983459419674,12,0.5887166366170322
a_uniform_block,gkd_bayern_main,24078008,90,,0,0.5887166366170322
a_uniform_block,gkd_bayern_main,24078008,180,,0,0.5887166366170322
a_uniform_block,gkd_bayern_main,24078008,365,,0,0.5887166366170322
a_uniform_block,huc8_17090004,14159200,7,0.3013688257762364,12,0.42554920763187304
a_uniform_block,huc8_17090004,14159200,14,0.30373654365539554,12,0.42554920763187304
a_uniform_block,huc8_17090004,14159200,30,0.4478276740180122,12,0.42554920763187304
a_uniform_block,huc8_17090004,14159200,60,0.5221828648779128,12,0.42554920763187304
a_uniform_block,huc8_17090004,14159200,90,0.5526301298318085,12,0.42554920763187304
a_uniform_block,huc8_17090004,14159200,180,,0,0.42554920763187304
a_uniform_block,huc8_17090004,14159200,365,,0,0.42554920763187304
a_uniform_block,huc8_17090004,14162500,7,0.27032212075733,12,0.3745471821096207
a_uniform_block,huc8_17090004,14162500,14,0.30473978462673373,12,0.3745471821096207
a_uniform_block,huc8_17090004,14162500,30,0.4277582200368244,12,0.3745471821096207
a_uniform_block,huc8_17090004,14162500,60,0.44786523673269474,12,0.3745471821096207
a_uniform_block,huc8_17090004,14162500,90,0.4220505483945211,12,0.3745471821096207
a_uniform_block,huc8_17090004,14162500,180,,0,0.3745471821096207
a_uniform_block,huc8_17090004,14162500,365,,0,0.3745471821096207
a_uniform_block,huc8_17090004,14159500,7,0.4713375727335613,12,0.66202319338082
a_uniform_block,huc8_17090004,14159500,14,0.3286219182468596,12,0.66202319338082
a_uniform_block,huc8_17090004,14159500,30,0.7062080298529733,12,0.66202319338082
a_uniform_block,huc8_17090004,14159500,60,0.9018990764353009,12,0.66202319338082
a_uniform_block,huc8_17090004,14159500,90,0.9020493696354053,12,0.66202319338082
a_uniform_block,huc8_17090004,14159500,180,,0,0.66202319338082
a_uniform_block,huc8_17090004,14159500,365,,0,0.66202319338082
a_uniform_block,huc8_17090004,14162200,7,0.3117595990498861,12,0.5631696215924763
a_uniform_block,huc8_17090004,14162200,14,0.32939035040991654,12,0.5631696215924763
a_uniform_block,huc8_17090004,14162200,30,0.5553052414788141,12,0.5631696215924763
a_uniform_block,huc8_17090004,14162200,60,0.7398937896887462,12,0.5631696215924763
a_uniform_block,huc8_17090004,14162200,90,0.8794991273350187,12,0.5631696215924763
a_uniform_block,huc8_17090004,14162200,180,,0,0.5631696215924763
a_uniform_block,huc8_17090004,14162200,365,,0,0.5631696215924763
a_uniform_block,huc8_17090004,14163900,7,0.2848906596501669,12,0.4194200978594482
a_uniform_block,huc8_17090004,14163900,14,0.3363718049866813,12,0.4194200978594482
a_uniform_block,huc8_17090004,14163900,30,0.45116368320253164,12,0.4194200978594482
a_uniform_block,huc8_17090004,14163900,60,0.5162196425596872,12,0.4194200978594482
a_uniform_block,huc8_17090004,14163900,90,0.5084546988981742,12,0.4194200978594482
a_uniform_block,huc8_17090004,14163900,180,,0,0.4194200978594482
a_uniform_block,huc8_17090004,14163900,365,,0,0.4194200978594482
a_uniform_block,huc8_17090004,14161100,7,0.41688882907231634,12,0.6217544753059507
a_uniform_block,huc8_17090004,14161100,14,0.5835804067906879,12,0.6217544753059507
a_uniform_block,huc8_17090004,14161100,30,0.6715147060818142,12,0.6217544753059507
a_uniform_block,huc8_17090004,14161100,60,0.7973760108153026,12,0.6217544753059507
a_uniform_block,huc8_17090004,14161100,90,0.6394124237696329,12,0.6217544753059507
a_uniform_block,huc8_17090004,14161100,180,,0,0.6217544753059507
a_uniform_block,huc8_17090004,14161100,365,,0,0.6217544753059507
a_uniform_block,huc8_17090004,14164900,7,0.4049170687085106,12,0.5325631945688258
a_uniform_block,huc8_17090004,14164900,14,0.4862209393864588,12,0.5325631945688258
a_uniform_block,huc8_17090004,14164900,30,0.5070988127920363,12,0.5325631945688258
a_uniform_block,huc8_17090004,14164900,60,0.6133973817030589,12,0.5325631945688258
a_uniform_block,huc8_17090004,14164900,90,0.6511817702540647,12,0.5325631945688258
a_uniform_block,huc8_17090004,14164900,180,,0,0.5325631945688258
a_uniform_block,huc8_17090004,14164900,365,,0,0.5325631945688258
a_uniform_block,gkd_bayern_donau,10046105,7,0.5639426061794872,12,1.013912142618308
a_uniform_block,gkd_bayern_donau,10046105,14,0.831971640246255,12,1.013912142618308
a_uniform_block,gkd_bayern_donau,10046105,30,1.080808819267485,12,1.013912142618308
a_uniform_block,gkd_bayern_donau,10046105,60,1.2143437529272503,12,1.013912142618308
a_uniform_block,gkd_bayern_donau,10046105,90,1.3784938944710623,12,1.013912142618308
a_uniform_block,gkd_bayern_donau,10046105,180,,0,1.013912142618308
a_uniform_block,gkd_bayern_donau,10046105,365,,0,1.013912142618308
a_uniform_block,gkd_bayern_donau,10091008,7,0.49129745507878897,12,0.9242863723709391
a_uniform_block,gkd_bayern_donau,10091008,14,0.7933994429452079,12,0.9242863723709391
a_uniform_block,gkd_bayern_donau,10091008,30,0.7933864267667134,12,0.9242863723709391
a_uniform_block,gkd_bayern_donau,10091008,60,1.1917275158108935,12,0.9242863723709391
a_uniform_block,gkd_bayern_donau,10091008,90,1.3516210212530912,12,0.9242863723709391
a_uniform_block,gkd_bayern_donau,10091008,180,,0,0.9242863723709391
a_uniform_block,gkd_bayern_donau,10091008,365,,0,0.9242863723709391
a_uniform_block,gkd_bayern_donau,10081004,7,0.38087535713400156,12,0.7536966185240597
a_uniform_block,gkd_bayern_donau,10081004,14,0.6541788986751013,12,0.7536966185240597
a_uniform_block,gkd_bayern_donau,10081004,30,0.7202510262860192,12,0.7536966185240597
a_uniform_block,gkd_bayern_donau,10081004,60,0.9339100417536166,12,0.7536966185240597
a_uniform_block,gkd_bayern_donau,10081004,90,1.0792677687715602,12,0.7536966185240597
a_uniform_block,gkd_bayern_donau,10081004,180,,0,0.7536966185240597
a_uniform_block,gkd_bayern_donau,10081004,365,,0,0.7536966185240597
a_uniform_block,gkd_bayern_donau,10074009,7,0.49436975142785483,12,0.9078999840777427
a_uniform_block,gkd_bayern_donau,10074009,14,0.8374327358745391,12,0.9078999840777427
a_uniform_block,gkd_bayern_donau,10074009,30,0.8817632226149241,12,0.9078999840777427
a_uniform_block,gkd_bayern_donau,10074009,60,1.1290317227960462,12,0.9078999840777427
a_uniform_block,gkd_bayern_donau,10074009,90,1.1969024876753491,12,0.9078999840777427
a_uniform_block,gkd_bayern_donau,10074009,180,,0,0.9078999840777427
a_uniform_block,gkd_bayern_donau,10074009,365,,0,0.9078999840777427
a_uniform_block,gkd_bayern_donau,10089006,7,0.381050703940647,12,0.730181559331715
a_uniform_block,gkd_bayern_donau,10089006,14,0.5627009360563188,12,0.730181559331715
