network_id,station_id,reason,train_days_fit_years,n_donors
gkd_bayern_main,24006007,insufficient_training,0,14
gkd_bayern_main,24028000,insufficient_training,0,14
gkd_bayern_main,24043800,insufficient_training,0,14
gkd_bayern_main,24050009,insufficient_training,0,14
huc8_17090004,14161500,insufficient_training,271,15
huc8_17090004,14158500,insufficient_training,0,15
huc8_17090004,14158740,insufficient_training,0,15
gkd_bayern_isar,16000708,insufficient_training,0,0
gkd_bayern_isar,16003207,insufficient_training,0,4
gkd_bayern_isar,16008007,insufficient_training,0,4
huc8_02040104,01435000,insufficient_training,325,5
huc8_02040104,01433500,insufficient_training,0,5
